Log Date and Time Tue, 31 Mar 2009 16:21:47
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 21:54:29', '733496.91284070781')
(29, '64.2', '66.9', '69.6', 'Mon, 30 Mar 2009 21:59:19', '733496.91619874304')
(30, '64.2', '66.2', '68.2', 'Mon, 30 Mar 2009 21:59:29', '733496.91631444462')
(31, '64.2', '66.2', '68.2', 'Mon, 30 Mar 2009 21:59:39', '733496.91643033177')
(32, '64.2', '65.5', '68.2', 'Mon, 30 Mar 2009 21:59:49', '733496.91654603335')
(33, '64.2', '64.8', '67.5', 'Mon, 30 Mar 2009 21:59:59', '733496.91666173446')
(34, '64.2', '64.2', '66.8', 'Mon, 30 Mar 2009 22:00:09', '733496.91677743651')
(35, '64.2', '64.2', '66.8', 'Mon, 30 Mar 2009 22:00:19', '733496.91689332377')
(36, '64.2', '63.5', '66.2', 'Mon, 30 Mar 2009 22:00:29', '733496.91700902500')
(37, '64.2', '63.5', '66.2', 'Mon, 30 Mar 2009 22:00:39', '733496.91712472669')
(38, '64.2', '63.5', '65.5', 'Mon, 30 Mar 2009 22:00:49', '733496.91724042804')
(39, '64.2', '62.8', '64.8', 'Mon, 30 Mar 2009 22:00:59', '733496.91735631507')
(40, '64.2', '62.8', '64.8', 'Mon, 30 Mar 2009 22:01:09', '733496.91747201700')
(41, '64.2', '62.8', '64.8', 'Mon, 30 Mar 2009 22:01:19', '733496.91758771858')
(42, '64.2', '62.8', '64.8', 'Mon, 30 Mar 2009 22:01:29', '733496.91770342051')
(43, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:01:39', '733496.91781930753')
(44, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:01:49', '733496.91793500911')
(45, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:01:59', '733496.91805071069')
(46, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:02:09', '733496.91816641251')
(47, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:02:19', '733496.91828211385')
(48, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:02:29', '733496.91839800077')
(49, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:02:39', '733496.91851370281')
(50, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:02:49', '733496.91862940416')
(51, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:02:59', '733496.91874510574')
(52, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:03:09', '733496.91886099253')
(53, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:03:19', '733496.91897669411')
(54, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:03:29', '733496.91909239604')
(55, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:03:39', '733496.91920809844')
(56, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:03:49', '733496.91932398442')
(57, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:03:59', '733496.91943968600')
(58, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:04:09', '733496.91955538816')
(59, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:04:19', '733496.91967108927')
(60, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:04:29', '733496.91978697700')
(61, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:04:39', '733496.91990267811')
(62, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:04:49', '733496.92001837969')
(63, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:04:59', '733496.92013408139')
(64, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:05:09', '733496.92024996842')
(65, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:05:19', '733496.92036567011')
(66, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:05:29', '733496.92048137169')
(67, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:05:39', '733496.92059707351')
(68, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:05:49', '733496.92071296007')
(69, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:05:59', '733496.92082866188')
(70, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:06:09', '733496.92094436381')
(71, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:06:19', '733496.92106006539')
(72, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:06:29', '733496.92117595242')
(73, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:06:39', '733496.92129165411')
(74, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:06:49', '733496.92140735558')
(75, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:06:59', '733496.92152324249')
(76, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:07:09', '733496.92163894407')
(77, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:07:19', '733496.92175483098')
(78, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:07:29', '733496.92187053279')
(79, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:07:39', '733496.92198641994')
(80, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:07:49', '733496.92210212117')
(81, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:07:59', '733496.92221800785')
(82, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:08:09', '733496.92233371094')
(83, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:08:19', '733496.92244959646')
(84, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:08:29', '733496.92256529815')
(85, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:08:39', '733496.92268118542')
(86, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:08:49', '733496.92279688688')
(87, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:08:59', '733496.92291277368')
(88, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:09:09', '733496.92302847572')
(89, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:09:19', '733496.92314436333')
(90, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:09:29', '733496.92326006410')
(91, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:09:39', '733496.92337595136')
(92, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:09:49', '733496.92349165364')
(93, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:09:59', '733496.92360753939')
(94, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:10:09', '733496.92372324085')
(95, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:10:19', '733496.92383912776')
(96, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:10:29', '733496.92395482981')
(97, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:10:39', '733496.92407071660')
(98, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:10:49', '733496.92418641807')
(99, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:10:59', '733496.92430230603')
(100, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:11:09', '733496.92441800679')
(101, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:11:19', '733496.92453389335')
(102, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:11:29', '733496.92464959540')
(103, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:11:39', '733496.92476548231')
(104, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:11:49', '733496.92488118366')
(105, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:11:59', '733496.92499707092')
(106, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:12:09', '733496.92511277297')
(107, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:12:19', '733496.92522865930')
(108, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:12:29', '733496.92534436076')
(109, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:12:39', '733496.92546024779')
(110, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:12:49', '733496.92557594960')
(111, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:12:59', '733496.92569183616')
(112, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:13:09', '733496.92580753809')
(113, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:13:19', '733496.92592342477')
(114, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:13:29', '733496.92603912635')
(115, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:13:39', '733496.92615501361')
(116, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:13:49', '733496.92627071496')
(117, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:13:59', '733496.92638660199')
(118, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:14:09', '733496.92650230497')
(119, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:14:19', '733496.92661819048')
(120, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:14:29', '733496.92673389253')
(121, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:14:39', '733496.92684977886')
(122, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:14:49', '733496.92696548067')
(123, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:14:59', '733496.92708136747')
(124, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:15:09', '733496.92719706940')
(125, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:15:19', '733496.92731295619')
(126, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:15:29', '733496.92742865812')
(127, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:15:39', '733496.92754454480')
(128, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:15:49', '733496.92766024650')
(129, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:15:59', '733496.92777613329')
(130, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:16:09', '733496.92789183522')
(131, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:16:19', '733496.92800772167')
(132, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:16:29', '733496.92812342371')
(133, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:16:39', '733496.92823931121')
(134, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:16:49', '733496.92835501186')
(135, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:16:59', '733496.92847089889')
(136, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:17:09', '733496.92858660081')
(137, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:17:19', '733496.92870248843')
(138, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:17:29', '733496.92881818907')
(139, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:17:39', '733496.92893407622')
(140, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:17:49', '733496.92904977780')
(141, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:17:59', '733496.92916548031')
(142, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:18:09', '733496.92928118142')
(143, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:18:19', '733496.92939706787')
(144, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:18:29', '733496.92951276968')
(145, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:18:39', '733496.92962847429')
(146, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:18:49', '733496.92974417272')
(147, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:18:59', '733496.92986005975')
(148, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:19:09', '733496.92997576215')
(149, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:19:19', '733496.93009146408')
(150, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:19:29', '733496.93020716496')
(151, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:19:39', '733496.93032305164')
(152, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:19:49', '733496.93043875333')
(153, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:19:59', '733496.93055445584')
(154, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:20:09', '733496.93067015684')
(155, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:20:19', '733496.93078604375')
(156, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:20:29', '733496.93090174568')
(157, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:20:39', '733496.93101744866')
(158, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:20:49', '733496.93113314849')
(159, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:20:59', '733496.93124903552')
(160, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:21:09', '733496.93136473885')
(161, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:21:19', '733496.93148043973')
(162, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:21:29', '733496.93159616506')
(163, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:21:39', '733496.93171202741')
(164, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:21:49', '733496.93182772910')
(165, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:21:59', '733496.93194343173')
(166, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:22:09', '733496.93205913296')
(167, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:22:19', '733496.93217501917')
(168, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:22:29', '733496.93229090679')
(169, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:22:39', '733496.93240660848')
(170, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:22:49', '733496.93252249504')
(171, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:22:59', '733496.93263819651')
(172, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:23:09', '733496.93275408365')
(173, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:23:19', '733496.93286978523')
(174, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:23:29', '733496.93298567168')
(175, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:23:39', '733496.93310137372')
(176, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:23:49', '733496.93321726052')
(177, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:23:59', '733496.93333296233')
(178, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:24:09', '733496.93344884913')
(179, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:24:19', '733496.93356455048')
(180, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:24:29', '733496.93368043867')
(181, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:24:39', '733496.93379613932')
(182, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:24:49', '733496.93391202635')
(183, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:24:59', '733496.93402772758')
(184, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:25:10', '733496.93414361449')
(185, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:25:20', '733496.93425931619')
(186, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:25:30', '733496.93437520345')
(187, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:25:40', '733496.93449090514')
(188, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:25:50', '733496.93460679171')
(189, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:26:00', '733496.93472249433')
(190, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:26:10', '733496.93483838032')
(191, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:26:20', '733496.93495408166')
(192, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:26:30', '733496.93506996857')
(193, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:26:40', '733496.93518567050')
(194, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:26:50', '733496.93530155753')
(195, '64.2', '62.8', '64.2', 'Mon, 30 Mar 2009 22:27:00', '733496.93541726028')
(196, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:27:10', '733496.93553314649')
(197, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:27:20', '733496.93564884737')
(198, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:27:30', '733496.93576473440')
(199, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:27:40', '733496.93588043586')
(200, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:27:50', '733496.93599632301')
(201, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:28:00', '733496.93611202622')
(202, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:28:10', '733496.93622791162')
(203, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:28:20', '733496.93634361320')
(204, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:28:30', '733496.93645949999')
(205, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:28:40', '733496.93657520192')
(206, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:28:50', '733496.93669108849')
(207, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:29:00', '733496.93680679111')
(208, '64.2', '62.6', '64.2', 'Mon, 30 Mar 2009 22:29:10', '733496.93692267733')
(209, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:29:20', '733496.93703837902')
(210, '64.0', '62.8', '64.0', 'Mon, 30 Mar 2009 22:29:30', '733496.93715426582')
(211, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:29:40', '733496.93726996728')
(212, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:29:50', '733496.93738585396')
(213, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:30:00', '733496.93750155787')
(214, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:30:10', '733496.93761744280')
(215, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:30:20', '733496.93773314427')
(216, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:30:30', '733496.93784907763')
(217, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:30:40', '733496.93796473392')
(218, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:30:50', '733496.93808043445')
(219, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:31:00', '733496.93819632242')
(220, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:31:10', '733496.93831225589')
(221, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:31:20', '733496.93842791044')
(222, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:31:30', '733496.93854361202')
(223, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:31:40', '733496.93865949963')
(224, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:31:50', '733496.93877524650')
(225, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:32:00', '733496.93889108836')
(226, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:32:10', '733496.93900697445')
(227, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:32:20', '733496.93912267545')
(228, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:32:30', '733496.93923842371')
(229, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:32:40', '733496.93935431074')
(230, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:32:50', '733496.93946996587')
(231, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:33:00', '733496.93958585395')
(232, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:33:10', '733496.93970160128')
(233, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:33:20', '733496.93981748796')
(234, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:33:30', '733496.93993314309')
(235, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:33:40', '733496.94004903035')
(236, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:33:50', '733496.94016477780')
(237, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:34:00', '733496.94028066588')
(238, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:34:10', '733496.94039632007')
(239, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:34:20', '733496.94051220664')
(240, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:34:30', '733496.94062795502')
(241, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:34:40', '733496.94074384181')
(242, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:34:50', '733496.94085949694')
(243, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:35:00', '733496.94097538572')
(244, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:35:10', '733496.94109113235')
(245, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:35:20', '733496.94120701926')
(246, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:35:30', '733496.94132267416')
(247, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:35:40', '733496.94143860741')
(248, '64.0', '62.4', '64.0', 'Mon, 30 Mar 2009 22:35:50', '733496.94155430899')
(249, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:36:00', '733496.94167019730')
(250, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:36:10', '733496.94178585138')
(251, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:36:20', '733496.94190178439')
(252, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:36:30', '733496.94201748632')
(253, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:36:40', '733496.94213337323')
(254, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:36:50', '733496.94224902824')
(255, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:37:00', '733496.94236496324')
(256, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:37:10', '733496.94248066342')
(257, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:37:20', '733496.94259655010')
(258, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:37:30', '733496.94271220569')
(259, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:37:40', '733496.94282813906')
(260, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:37:50', '733496.94294384017')
(261, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:38:00', '733496.94305972871')
(262, '64.0', '62.4', '64.0', 'Mon, 30 Mar 2009 22:38:10', '733496.94317538291')
(263, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:38:20', '733496.94329131569')
(264, '64.0', '62.4', '64.0', 'Mon, 30 Mar 2009 22:38:30', '733496.94340701820')
(265, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:38:40', '733496.94352290418')
(266, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:38:50', '733496.94363855978')
(267, '64.0', '62.6', '64.0', 'Mon, 30 Mar 2009 22:39:00', '733496.94375449407')
(268, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:39:10', '733496.94387019472')
(269, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:39:20', '733496.94398608257')
(270, '63.7', '62.4', '63.7', 'Mon, 30 Mar 2009 22:39:30', '733496.94410173700')
(271, '63.7', '62.4', '63.7', 'Mon, 30 Mar 2009 22:39:40', '733496.94421767024')
(272, '64.0', '62.4', '64.0', 'Mon, 30 Mar 2009 22:39:50', '733496.94433337194')
(273, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:40:00', '733496.94444926013')
(274, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:40:10', '733496.94456496020')
(275, '63.7', '62.6', '63.7', 'Mon, 30 Mar 2009 22:40:20', '733496.94468084711')
