Log Date and Time Wed, 10 Oct 2012 00:44:13
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '69.3', '2084.0', '2046.6', 'Tue, 09 Oct 2012 21:59:41', '734785.91645312705')
(39, '70.5', '1969.9', '1975.7', 'Tue, 09 Oct 2012 22:19:12', '734785.93000566459')
(40, '70.7', '1972.4', '1975.2', 'Tue, 09 Oct 2012 22:19:42', '734785.93035317585')
(41, '70.7', '1971.6', '1975.2', 'Tue, 09 Oct 2012 22:20:12', '734785.93070069922')
(42, '70.7', '1973.1', '1974.5', 'Tue, 09 Oct 2012 22:20:42', '734785.93104823376')
(43, '70.9', '1977.0', '1973.9', 'Tue, 09 Oct 2012 22:21:12', '734785.93139576842')
(44, '70.9', '1978.0', '1973.2', 'Tue, 09 Oct 2012 22:21:42', '734785.93174329202')
(45, '71.2', '1979.5', '1974.2', 'Tue, 09 Oct 2012 22:22:12', '734785.93209082691')
(46, '71.2', '1980.7', '1974.2', 'Tue, 09 Oct 2012 22:22:42', '734785.93243835017')
(47, '71.2', '1980.7', '1974.2', 'Tue, 09 Oct 2012 22:23:12', '734785.93278586201')
(48, '71.2', '1981.5', '1974.2', 'Tue, 09 Oct 2012 22:23:42', '734785.93313338468')
(49, '71.2', '1981.2', '1974.9', 'Tue, 09 Oct 2012 22:24:12', '734785.93348091946')
(50, '71.4', '1981.5', '1974.4', 'Tue, 09 Oct 2012 22:24:42', '734785.93382844224')
(51, '71.2', '1981.5', '1972.7', 'Tue, 09 Oct 2012 22:25:12', '734785.93417595408')
(52, '71.2', '1980.7', '1972.7', 'Tue, 09 Oct 2012 22:25:42', '734785.93452348851')
(53, '71.2', '1980.0', '1971.2', 'Tue, 09 Oct 2012 22:26:12', '734785.93487101176')
(54, '71.4', '1979.2', '1970.7', 'Tue, 09 Oct 2012 22:26:42', '734785.93521853455')
(55, '71.4', '1979.8', '1970.7', 'Tue, 09 Oct 2012 22:27:12', '734785.93556608178')
(56, '71.4', '1980.0', '1970.7', 'Tue, 09 Oct 2012 22:27:42', '734785.93591359258')
(57, '71.4', '1979.0', '1969.2', 'Tue, 09 Oct 2012 22:28:12', '734785.93626109359')
(58, '71.2', '1979.8', '1969.0', 'Tue, 09 Oct 2012 22:28:42', '734785.93660863978')
(59, '70.9', '1979.8', '1968.0', 'Tue, 09 Oct 2012 22:29:13', '734785.93695615151')
(60, '70.9', '1979.2', '1967.3', 'Tue, 09 Oct 2012 22:29:43', '734785.93730354821')
(61, '70.9', '1977.8', '1966.5', 'Tue, 09 Oct 2012 22:30:13', '734785.93765105924')
(62, '70.9', '1978.5', '1966.5', 'Tue, 09 Oct 2012 22:30:43', '734785.93799858261')
(63, '70.9', '1977.8', '1966.5', 'Tue, 09 Oct 2012 22:31:13', '734785.93834611715')
(64, '70.9', '1976.3', '1966.5', 'Tue, 09 Oct 2012 22:31:43', '734785.93869364087')
(65, '70.9', '1978.0', '1965.1', 'Tue, 09 Oct 2012 22:32:13', '734785.93904115271')
(66, '70.9', '1976.5', '1964.3', 'Tue, 09 Oct 2012 22:32:43', '734785.93938868633')
(67, '70.9', '1975.1', '1964.3', 'Tue, 09 Oct 2012 22:33:13', '734785.93973619875')
(68, '70.9', '1975.3', '1964.3', 'Tue, 09 Oct 2012 22:33:43', '734785.94008374563')
(69, '70.9', '1974.5', '1964.3', 'Tue, 09 Oct 2012 22:34:13', '734785.94043126830')
(70, '71.2', '1973.8', '1963.8', 'Tue, 09 Oct 2012 22:34:43', '734785.94077880401')
(71, '71.2', '1973.3', '1963.8', 'Tue, 09 Oct 2012 22:35:13', '734785.94112631527')
(72, '71.2', '1973.3', '1963.1', 'Tue, 09 Oct 2012 22:35:43', '734785.94147383911')
(73, '71.2', '1972.8', '1961.6', 'Tue, 09 Oct 2012 22:36:13', '734785.94182134990')
(74, '71.2', '1972.1', '1961.6', 'Tue, 09 Oct 2012 22:36:43', '734785.94216888468')
(75, '71.2', '1972.1', '1960.2', 'Tue, 09 Oct 2012 22:37:13', '734785.94251639710')
(76, '71.2', '1971.6', '1960.2', 'Tue, 09 Oct 2012 22:37:43', '734785.94286390778')
(77, '71.2', '1970.1', '1959.4', 'Tue, 09 Oct 2012 22:38:13', '734785.94321142032')
(78, '71.4', '1970.8', '1958.9', 'Tue, 09 Oct 2012 22:38:43', '734785.94355895475')
(79, '71.4', '1970.1', '1958.9', 'Tue, 09 Oct 2012 22:39:13', '734785.94390646683')
(80, '71.4', '1970.8', '1957.4', 'Tue, 09 Oct 2012 22:39:43', '734785.94425398973')
(81, '71.2', '1969.3', '1956.5', 'Tue, 09 Oct 2012 22:40:13', '734785.94460152497')
(82, '71.4', '1969.3', '1956.7', 'Tue, 09 Oct 2012 22:40:43', '734785.94494905963')
(83, '71.4', '1968.8', '1956.7', 'Tue, 09 Oct 2012 22:41:13', '734785.94529657124')
(84, '71.6', '1969.6', '1956.2', 'Tue, 09 Oct 2012 22:41:43', '734785.94564410555')
(85, '71.6', '1970.3', '1956.2', 'Tue, 09 Oct 2012 22:42:13', '734785.94599161774')
(86, '71.6', '1969.3', '1955.5', 'Tue, 09 Oct 2012 22:42:43', '734785.94633915252')
(87, '71.6', '1969.3', '1955.5', 'Tue, 09 Oct 2012 22:43:13', '734785.94668668718')
(88, '71.6', '1969.3', '1956.2', 'Tue, 09 Oct 2012 22:43:43', '734785.94703421055')
(89, '71.6', '1968.6', '1955.5', 'Tue, 09 Oct 2012 22:44:13', '734785.94738172356')
(90, '71.6', '1968.6', '1954.7', 'Tue, 09 Oct 2012 22:44:43', '734785.94772924623')
(91, '71.8', '1964.2', '1954.2', 'Tue, 09 Oct 2012 22:45:13', '734785.94807678007')
(92, '71.8', '1961.5', '1952.0', 'Tue, 09 Oct 2012 22:45:43', '734785.94842429191')
(93, '71.6', '1957.8', '1949.6', 'Tue, 09 Oct 2012 22:46:13', '734785.94877183810')
(94, '71.8', '1956.3', '1948.3', 'Tue, 09 Oct 2012 22:46:43', '734785.94911936147')
(95, '71.8', '1955.1', '1946.1', 'Tue, 09 Oct 2012 22:47:13', '734785.94946688530')
(96, '71.8', '1954.1', '1945.4', 'Tue, 09 Oct 2012 22:47:43', '734785.94981424557')
(97, '71.8', '1952.6', '1944.7', 'Tue, 09 Oct 2012 22:48:13', '734785.95016176952')
(98, '71.8', '1952.6', '1943.9', 'Tue, 09 Oct 2012 22:48:43', '734785.95050900278')
(99, '71.6', '1951.7', '1942.2', 'Tue, 09 Oct 2012 22:49:13', '734785.95085650333')
(100, '71.6', '1950.0', '1943.0', 'Tue, 09 Oct 2012 22:49:44', '734785.95120399154')
(101, '71.6', '1950.7', '1942.2', 'Tue, 09 Oct 2012 22:50:14', '734785.95155154960')
(102, '71.6', '1950.0', '1942.2', 'Tue, 09 Oct 2012 22:50:44', '734785.95189908415')
(103, '71.8', '1949.5', '1942.5', 'Tue, 09 Oct 2012 22:51:14', '734785.95224657294')
(104, '71.8', '1948.7', '1940.3', 'Tue, 09 Oct 2012 22:51:44', '734785.95259410748')
(105, '72.0', '1948.7', '1939.8', 'Tue, 09 Oct 2012 22:52:14', '734785.95294156147')
(106, '72.0', '1948.0', '1938.3', 'Tue, 09 Oct 2012 22:52:44', '734785.95328906190')
(107, '72.0', '1947.8', '1938.3', 'Tue, 09 Oct 2012 22:53:14', '734785.95363660809')
(108, '72.0', '1948.7', '1938.3', 'Tue, 09 Oct 2012 22:53:44', '734785.95398385392')
(109, '72.0', '1948.0', '1938.3', 'Tue, 09 Oct 2012 22:54:14', '734785.95433138858')
(110, '72.0', '1947.3', '1937.6', 'Tue, 09 Oct 2012 22:54:44', '734785.95467892371')
(111, '72.0', '1947.5', '1937.6', 'Tue, 09 Oct 2012 22:55:14', '734785.95502618060')
(112, '72.3', '1947.0', '1935.6', 'Tue, 09 Oct 2012 22:55:44', '734785.95537370327')
(113, '72.3', '1946.2', '1937.0', 'Tue, 09 Oct 2012 22:56:14', '734785.95572121581')
(114, '72.3', '1946.5', '1936.3', 'Tue, 09 Oct 2012 22:56:44', '734785.95606873871')
(115, '72.5', '1947.2', '1937.3', 'Tue, 09 Oct 2012 22:57:14', '734785.95641627384')
(116, '72.7', '1946.7', '1938.3', 'Tue, 09 Oct 2012 22:57:44', '734785.95676378452')
(117, '72.7', '1946.9', '1936.1', 'Tue, 09 Oct 2012 22:58:14', '734785.95711131929')
(118, '72.7', '1947.9', '1935.3', 'Tue, 09 Oct 2012 22:58:44', '734785.95745880785')
(119, '72.7', '1948.2', '1935.3', 'Tue, 09 Oct 2012 22:59:14', '734785.95780634275')
(120, '72.7', '1948.9', '1937.5', 'Tue, 09 Oct 2012 22:59:44', '734785.95815384015')
(121, '72.7', '1949.9', '1936.8', 'Tue, 09 Oct 2012 23:00:14', '734785.95850137807')
(122, '72.7', '1949.9', '1938.3', 'Tue, 09 Oct 2012 23:00:44', '734785.95884891297')
(123, '73.0', '1950.8', '1940.0', 'Tue, 09 Oct 2012 23:01:14', '734785.95919643634')
(124, '73.0', '1957.4', '1942.2', 'Tue, 09 Oct 2012 23:01:44', '734785.95954394771')
(125, '73.0', '1973.9', '1946.6', 'Tue, 09 Oct 2012 23:02:14', '734785.95989147155')
(126, '73.0', '1988.9', '1953.2', 'Tue, 09 Oct 2012 23:02:44', '734785.96023900597')
(127, '73.2', '2001.5', '1957.1', 'Tue, 09 Oct 2012 23:03:14', '734785.96058651782')
(128, '73.4', '2009.7', '1962.5', 'Tue, 09 Oct 2012 23:03:44', '734785.96093404037')
(129, '73.4', '2017.4', '1964.7', 'Tue, 09 Oct 2012 23:04:14', '734785.96128157526')
(130, '73.4', '2024.1', '1969.9', 'Tue, 09 Oct 2012 23:04:44', '734785.96162909642')
(131, '73.6', '2015.1', '1970.8', 'Tue, 09 Oct 2012 23:05:14', '734785.96197659965')
(132, '73.6', '2008.2', '1970.8', 'Tue, 09 Oct 2012 23:05:44', '734785.96232414560')
(133, '73.6', '2006.5', '1970.1', 'Tue, 09 Oct 2012 23:06:14', '734785.96267168038')
(134, '73.6', '2007.7', '1970.1', 'Tue, 09 Oct 2012 23:06:44', '734785.96301920363')
(135, '73.6', '2007.7', '1970.8', 'Tue, 09 Oct 2012 23:07:14', '734785.96336671489')
(136, '73.6', '2007.7', '1971.6', 'Tue, 09 Oct 2012 23:07:44', '734785.96371426154')
(137, '73.6', '2007.7', '1971.6', 'Tue, 09 Oct 2012 23:08:14', '734785.96406178526')
(138, '73.8', '2008.2', '1971.1', 'Tue, 09 Oct 2012 23:08:44', '734785.96440928499')
(139, '73.8', '2008.2', '1971.8', 'Tue, 09 Oct 2012 23:09:14', '734785.96475683141')
(140, '73.6', '2009.0', '1971.6', 'Tue, 09 Oct 2012 23:09:45', '734785.96510435466')
(141, '73.6', '2009.5', '1972.3', 'Tue, 09 Oct 2012 23:10:15', '734785.96545168094')
(142, '73.6', '2010.2', '1973.0', 'Tue, 09 Oct 2012 23:10:45', '734785.96579920372')
(143, '73.4', '2010.7', '1973.6', 'Tue, 09 Oct 2012 23:11:15', '734785.96614672686')
(144, '73.4', '2012.2', '1973.6', 'Tue, 09 Oct 2012 23:11:45', '734785.96649425069')
(145, '73.4', '2011.5', '1975.8', 'Tue, 09 Oct 2012 23:12:15', '734785.96684177429')
(146, '73.2', '2012.2', '1974.8', 'Tue, 09 Oct 2012 23:12:45', '734785.96718928521')
(147, '73.4', '2014.5', '1976.5', 'Tue, 09 Oct 2012 23:13:15', '734785.96753683186')
(148, '73.2', '2015.2', '1977.7', 'Tue, 09 Oct 2012 23:13:45', '734785.96788437793')
(149, '73.2', '2015.9', '1977.7', 'Tue, 09 Oct 2012 23:14:15', '734785.96823189023')
(150, '73.2', '2017.4', '1977.7', 'Tue, 09 Oct 2012 23:14:45', '734785.96857941314')
(151, '73.2', '2018.4', '1978.5', 'Tue, 09 Oct 2012 23:15:15', '734785.96892694826')
(152, '73.2', '2018.2', '1978.5', 'Tue, 09 Oct 2012 23:15:45', '734785.96927446034')
(153, '73.2', '2018.4', '1980.0', 'Tue, 09 Oct 2012 23:16:15', '734785.96962198312')
(154, '73.2', '2019.9', '1979.2', 'Tue, 09 Oct 2012 23:16:45', '734785.96996951813')
(155, '73.2', '2020.1', '1982.2', 'Tue, 09 Oct 2012 23:17:15', '734785.97031702928')
(156, '73.4', '2020.1', '1981.7', 'Tue, 09 Oct 2012 23:17:45', '734785.97066456452')
(157, '73.4', '2020.4', '1982.4', 'Tue, 09 Oct 2012 23:18:15', '734785.97101204109')
(158, '73.4', '2021.1', '1981.7', 'Tue, 09 Oct 2012 23:18:45', '734785.97135957563')
(159, '73.6', '2020.1', '1984.1', 'Tue, 09 Oct 2012 23:19:15', '734785.97170708771')
(160, '73.6', '2022.4', '1984.1', 'Tue, 09 Oct 2012 23:19:45', '734785.97205461143')
(161, '73.4', '2023.6', '1984.6', 'Tue, 09 Oct 2012 23:20:15', '734785.97240214609')
(162, '73.4', '2023.4', '1984.6', 'Tue, 09 Oct 2012 23:20:45', '734785.97274965723')
(163, '73.4', '2024.9', '1985.4', 'Tue, 09 Oct 2012 23:21:15', '734785.97309719212')
(164, '73.2', '2025.6', '1985.1', 'Tue, 09 Oct 2012 23:21:45', '734785.97344471561')
(165, '73.2', '2026.4', '1985.9', 'Tue, 09 Oct 2012 23:22:15', '734785.97379225027')
(166, '73.4', '2025.6', '1986.1', 'Tue, 09 Oct 2012 23:22:45', '734785.97413977387')
(167, '73.4', '2027.1', '1986.1', 'Tue, 09 Oct 2012 23:23:15', '734785.97448730841')
(168, '73.4', '2028.1', '1986.9', 'Tue, 09 Oct 2012 23:23:45', '734785.97483482026')
(169, '73.4', '2027.9', '1987.6', 'Tue, 09 Oct 2012 23:24:15', '734785.97518233489')
(170, '73.4', '2029.6', '1987.6', 'Tue, 09 Oct 2012 23:24:45', '734785.97552986804')
(171, '73.6', '2029.6', '1989.3', 'Tue, 09 Oct 2012 23:25:15', '734785.97587739036')
(172, '73.4', '2029.8', '1989.1', 'Tue, 09 Oct 2012 23:25:45', '734785.97622492467')
(173, '73.6', '2030.6', '1991.5', 'Tue, 09 Oct 2012 23:26:15', '734785.97657242464')
(174, '73.8', '2031.8', '1992.5', 'Tue, 09 Oct 2012 23:26:45', '734785.97691997385')
(175, '74.1', '2031.8', '1992.0', 'Tue, 09 Oct 2012 23:27:15', '734785.97726748290')
(176, '74.1', '2030.8', '1992.0', 'Tue, 09 Oct 2012 23:27:45', '734785.97761501744')
(177, '73.8', '2033.0', '1994.7', 'Tue, 09 Oct 2012 23:28:15', '734785.97796237923')
(178, '74.1', '2034.5', '1994.2', 'Tue, 09 Oct 2012 23:28:45', '734785.97830991319')
(179, '74.1', '2033.8', '1993.5', 'Tue, 09 Oct 2012 23:29:16', '734785.97865744773')
(180, '74.1', '2035.5', '1995.7', 'Tue, 09 Oct 2012 23:29:46', '734785.97900494747')
(181, '74.1', '2036.5', '1996.4', 'Tue, 09 Oct 2012 23:30:16', '734785.97935249552')
(182, '74.3', '2035.7', '1998.2', 'Tue, 09 Oct 2012 23:30:46', '734785.97970001772')
(183, '74.5', '2036.8', '1999.1', 'Tue, 09 Oct 2012 23:31:16', '734785.98004751757')
(184, '74.5', '2037.7', '1997.7', 'Tue, 09 Oct 2012 23:31:46', '734785.98039504082')
(185, '74.8', '2038.0', '1998.6', 'Tue, 09 Oct 2012 23:32:16', '734785.98074258748')
(186, '74.8', '2037.7', '1998.6', 'Tue, 09 Oct 2012 23:32:46', '734785.98109008721')
(187, '75.0', '2038.5', '1999.6', 'Tue, 09 Oct 2012 23:33:16', '734785.98143759905')
(188, '75.0', '2038.5', '1999.6', 'Tue, 09 Oct 2012 23:33:46', '734785.98178511078')
(189, '75.2', '2039.0', '2000.6', 'Tue, 09 Oct 2012 23:34:16', '734785.98213263368')
(190, '75.2', '2038.0', '2000.6', 'Tue, 09 Oct 2012 23:34:46', '734785.98248015740')
(191, '75.2', '2039.5', '1999.8', 'Tue, 09 Oct 2012 23:35:16', '734785.98282770312')
(192, '75.2', '2039.5', '1999.8', 'Tue, 09 Oct 2012 23:35:46', '734785.98317521531')
(193, '75.2', '2041.0', '2001.3', 'Tue, 09 Oct 2012 23:36:16', '734785.98352273460')
(194, '75.2', '2041.7', '2001.3', 'Tue, 09 Oct 2012 23:36:46', '734785.98387026123')
(195, '75.2', '2041.7', '2002.1', 'Tue, 09 Oct 2012 23:37:16', '734785.98421779659')
(196, '75.2', '2041.7', '2002.1', 'Tue, 09 Oct 2012 23:37:46', '734785.98456533137')
(197, '75.4', '2043.2', '2003.8', 'Tue, 09 Oct 2012 23:38:16', '734785.98491284321')
(198, '75.4', '2043.7', '2004.5', 'Tue, 09 Oct 2012 23:38:46', '734785.98526035517')
(199, '75.4', '2043.7', '2004.5', 'Tue, 09 Oct 2012 23:39:16', '734785.98560787737')
(200, '75.4', '2044.5', '2004.5', 'Tue, 09 Oct 2012 23:39:46', '734785.98595537851')
(201, '75.4', '2046.0', '2004.5', 'Tue, 09 Oct 2012 23:40:16', '734785.98630291305')
(202, '75.4', '2045.0', '2007.5', 'Tue, 09 Oct 2012 23:40:46', '734785.98665042454')
(203, '75.4', '2046.7', '2009.0', 'Tue, 09 Oct 2012 23:41:16', '734785.98699793639')
(204, '75.4', '2048.2', '2009.0', 'Tue, 09 Oct 2012 23:41:46', '734785.98734548269')
(205, '75.4', '2048.4', '2008.2', 'Tue, 09 Oct 2012 23:42:16', '734785.98769299441')
(206, '75.4', '2048.4', '2009.7', 'Tue, 09 Oct 2012 23:42:46', '734785.98804052931')
(207, '75.4', '2050.2', '2009.7', 'Tue, 09 Oct 2012 23:43:16', '734785.98838805198')
(208, '75.4', '2048.7', '2010.5', 'Tue, 09 Oct 2012 23:43:46', '734785.98873558757')
(209, '75.4', '2048.7', '2010.5', 'Tue, 09 Oct 2012 23:44:16', '734785.98908311094')
(210, '75.4', '2050.2', '2011.2', 'Tue, 09 Oct 2012 23:44:46', '734785.98943062290')
(211, '75.7', '2050.2', '2012.2', 'Tue, 09 Oct 2012 23:45:16', '734785.98977815872')
(212, '75.7', '2051.9', '2013.0', 'Tue, 09 Oct 2012 23:45:46', '734785.99012569210')
(213, '75.7', '2050.2', '2013.0', 'Tue, 09 Oct 2012 23:46:16', '734785.99047320650')
(214, '75.4', '2053.2', '2012.7', 'Tue, 09 Oct 2012 23:46:46', '734785.99082071555')
(215, '75.4', '2053.2', '2013.5', 'Tue, 09 Oct 2012 23:47:16', '734785.99116827536')
(216, '75.4', '2053.2', '2013.5', 'Tue, 09 Oct 2012 23:47:46', '734785.99151579873')
(217, '75.4', '2055.7', '2013.5', 'Tue, 09 Oct 2012 23:48:16', '734785.99186329881')
(218, '75.4', '2054.9', '2014.2', 'Tue, 09 Oct 2012 23:48:47', '734785.99221083312')
(219, '75.4', '2054.4', '2017.2', 'Tue, 09 Oct 2012 23:49:17', '734785.99255836802')
(220, '75.4', '2056.9', '2015.7', 'Tue, 09 Oct 2012 23:49:47', '734785.99290589173')
(221, '75.7', '2057.6', '2016.7', 'Tue, 09 Oct 2012 23:50:17', '734785.99325341464')
(222, '75.7', '2057.1', '2016.7', 'Tue, 09 Oct 2012 23:50:47', '734785.99360096070')
(223, '76.3', '2058.1', '2018.1', 'Tue, 09 Oct 2012 23:51:17', '734785.99394847290')
(224, '76.8', '2058.1', '2018.6', 'Tue, 09 Oct 2012 23:51:47', '734785.99429600744')
(225, '77.0', '2058.4', '2018.8', 'Tue, 09 Oct 2012 23:52:17', '734785.99464353046')
(226, '77.2', '2058.4', '2019.1', 'Tue, 09 Oct 2012 23:52:47', '734785.99499078735')
(227, '77.5', '2059.9', '2018.6', 'Tue, 09 Oct 2012 23:53:17', '734785.99533833470')
(228, '77.7', '2059.3', '2021.8', 'Tue, 09 Oct 2012 23:53:47', '734785.99568586901')
(229, '77.5', '2059.9', '2020.0', 'Tue, 09 Oct 2012 23:54:17', '734785.99603339226')
(230, '77.2', '2061.6', '2020.5', 'Tue, 09 Oct 2012 23:54:47', '734785.99638090411')
(231, '77.2', '2060.9', '2021.3', 'Tue, 09 Oct 2012 23:55:17', '734785.99672843830')
(232, '77.2', '2060.6', '2022.0', 'Tue, 09 Oct 2012 23:55:47', '734785.99707596179')
(233, '77.0', '2061.4', '2021.1', 'Tue, 09 Oct 2012 23:56:17', '734785.99742348539')
(234, '76.8', '2062.6', '2021.6', 'Tue, 09 Oct 2012 23:56:47', '734785.99777101993')
(235, '76.5', '2062.6', '2021.3', 'Tue, 09 Oct 2012 23:57:17', '734785.99811852025')
(236, '76.5', '2063.4', '2022.1', 'Tue, 09 Oct 2012 23:57:47', '734785.99846605444')
(237, '76.5', '2064.9', '2022.8', 'Tue, 09 Oct 2012 23:58:17', '734785.99881357804')
(238, '76.5', '2064.9', '2023.6', 'Tue, 09 Oct 2012 23:58:47', '734785.99916107801')
(239, '76.5', '2063.4', '2025.1', 'Tue, 09 Oct 2012 23:59:17', '734785.99950861267')
(240, '76.5', '2065.6', '2024.3', 'Tue, 09 Oct 2012 23:59:47', '734785.99985614838')
(241, '76.5', '2067.1', '2025.1', 'Wed, 10 Oct 2012 00:00:17', '734786.00020367082')
(242, '76.3', '2066.4', '2024.8', 'Wed, 10 Oct 2012 00:00:47', '734786.00055118289')
(243, '76.3', '2065.6', '2026.3', 'Wed, 10 Oct 2012 00:01:17', '734786.00089869427')
(244, '76.3', '2066.4', '2027.8', 'Wed, 10 Oct 2012 00:01:47', '734786.00124625245')
(245, '76.3', '2066.9', '2030.0', 'Wed, 10 Oct 2012 00:02:17', '734786.00159375265')
(246, '76.5', '2067.1', '2031.8', 'Wed, 10 Oct 2012 00:02:47', '734786.00194127602')
(247, '76.8', '2068.1', '2032.8', 'Wed, 10 Oct 2012 00:03:17', '734786.00228878774')
(248, '76.8', '2069.9', '2031.3', 'Wed, 10 Oct 2012 00:03:47', '734786.00263633311')
(249, '77.0', '2069.3', '2030.8', 'Wed, 10 Oct 2012 00:04:17', '734786.00298385636')
(250, '77.2', '2070.1', '2030.2', 'Wed, 10 Oct 2012 00:04:47', '734786.00333137950')
(251, '77.2', '2070.9', '2030.2', 'Wed, 10 Oct 2012 00:05:17', '734786.00367891404')
(252, '77.2', '2070.9', '2031.0', 'Wed, 10 Oct 2012 00:05:47', '734786.00402642565')
(253, '77.5', '2071.1', '2031.2', 'Wed, 10 Oct 2012 00:06:17', '734786.00437394890')
(254, '77.5', '2071.6', '2031.2', 'Wed, 10 Oct 2012 00:06:47', '734786.00472148391')
(255, '77.5', '2072.4', '2032.7', 'Wed, 10 Oct 2012 00:07:17', '734786.00506883429')
(256, '77.5', '2072.1', '2032.7', 'Wed, 10 Oct 2012 00:07:47', '734786.00541636779')
(257, '77.5', '2073.6', '2032.0', 'Wed, 10 Oct 2012 00:08:17', '734786.00576389220')
(258, '77.5', '2073.6', '2033.5', 'Wed, 10 Oct 2012 00:08:48', '734786.00611142686')
(259, '77.5', '2073.6', '2033.5', 'Wed, 10 Oct 2012 00:09:18', '734786.00645893940')
(260, '77.5', '2074.4', '2034.2', 'Wed, 10 Oct 2012 00:09:48', '734786.00680645031')
(261, '77.5', '2073.4', '2035.0', 'Wed, 10 Oct 2012 00:10:18', '734786.00715399685')
(262, '77.5', '2073.9', '2035.0', 'Wed, 10 Oct 2012 00:10:48', '734786.00750153197')
(263, '77.2', '2075.2', '2036.9', 'Wed, 10 Oct 2012 00:11:18', '734786.00784898596')
(264, '77.2', '2075.9', '2035.5', 'Wed, 10 Oct 2012 00:11:48', '734786.00819650909')
(265, '77.2', '2076.2', '2038.4', 'Wed, 10 Oct 2012 00:12:18', '734786.00854403200')
