Log Date and Time Tue, 05 Aug 2008 08:19:22
Ambient Kiln Date Date2Num

(0, '81.27', '81.27', 'Mon, 04 Aug 2008 14:00:00', '733258.58333628008')
(27, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:21', '733258.58427360898')
(28, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:24', '733258.58430842648')
(29, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:27', '733258.58434304816')
(30, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:30', '733258.58437786589')
(31, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:33', '733258.58441267221')
(32, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:36', '733258.58444730483')
(33, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:39', '733258.58448211104')
(34, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:42', '733258.58451674366')
(35, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:45', '733258.58455155022')
(36, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:48', '733258.58458618273')
(37, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:51', '733258.58462098928')
(38, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:54', '733258.58465562179')
(39, '81.27', '81.27', 'Mon, 04 Aug 2008 14:01:57', '733258.58469042857')
(40, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:00', '733258.58472504956')
(41, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:03', '733258.58475986787')
(42, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:06', '733258.58479448850')
(43, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:09', '733258.58482930681')
(44, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:12', '733258.58486392768')
(45, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:15', '733258.58489874587')
(46, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:18', '733258.58493336709')
(47, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:21', '733258.58496818517')
(48, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:24', '733258.58500280546')
(49, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:27', '733258.58503762388')
(50, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:30', '733258.58507224452')
(51, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:33', '733258.58510706294')
(52, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:36', '733258.58514186891')
(53, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:39', '733258.58517650212')
(54, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:42', '733258.58521130809')
(55, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:45', '733258.58524594118')
(56, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:48', '733258.58528074727')
(57, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:51', '733258.58531538025')
(58, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:54', '733258.58535018633')
(59, '81.27', '81.27', 'Mon, 04 Aug 2008 14:02:57', '733258.58538481942')
(60, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:00', '733258.58541962563')
(61, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:03', '733258.58545424743')
(62, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:06', '733258.58548906469')
(63, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:09', '733258.58552368614')
(64, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:12', '733258.58555850328')
(65, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:15', '733258.58559331042')
(66, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:18', '733258.58562794246')
(67, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:21', '733258.58566274913')
(68, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:24', '733258.58569738152')
(69, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:27', '733258.58573218831')
(70, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:30', '733258.58576682082')
(71, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:33', '733258.58580162749')
(72, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:36', '733258.58583625988')
(73, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:39', '733258.58587106667')
(74, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:42', '733258.58590569894')
(75, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:45', '733258.58594050573')
(76, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:48', '733258.58597513812')
(77, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:51', '733258.58600994491')
(78, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:54', '733258.58604457742')
(79, '81.27', '81.27', 'Mon, 04 Aug 2008 14:03:57', '733258.58607938362')
(80, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:00', '733258.58611401659')
(81, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:03', '733258.58614882280')
(82, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:06', '733258.58618364029')
(83, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:09', '733258.58621826174')
(84, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:12', '733258.58625306783')
(85, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:15', '733258.58628770092')
(86, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:18', '733258.58632250701')
(87, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:21', '733258.58635714010')
(88, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:24', '733258.58639194630')
(89, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:27', '733258.58642657928')
(90, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:30', '733258.58646138536')
(91, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:33', '733258.58649601846')
(92, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:36', '733258.58653082431')
(93, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:39', '733258.58656545763')
(94, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:42', '733258.58660026314')
(95, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:45', '733258.58663489658')
(96, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:48', '733258.58666970232')
(97, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:51', '733258.58670433529')
(98, '81.05', '81.05', 'Mon, 04 Aug 2008 14:04:54', '733258.58673914126')
(99, '81.27', '81.27', 'Mon, 04 Aug 2008 14:04:57', '733258.58677377482')
(100, '81.27', '81.27', 'Mon, 04 Aug 2008 14:05:00', '733258.58680858067')
(101, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:03', '733258.58684321388')
(102, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:06', '733258.58687801962')
(103, '81.27', '81.27', 'Mon, 04 Aug 2008 14:05:09', '733258.58691283781')
(104, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:12', '733258.58694745891')
(105, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:15', '733258.58698226558')
(106, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:18', '733258.58701689809')
(107, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:21', '733258.58705170476')
(108, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:24', '733258.58708633715')
(109, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:27', '733258.58712114394')
(110, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:30', '733258.58715577633')
(111, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:33', '733258.58719058300')
(112, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:36', '733258.58722540003')
(113, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:39', '733258.58726002160')
(114, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:42', '733258.58729483909')
(115, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:45', '733258.58732946066')
(116, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:48', '733258.58736427838')
(117, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:51', '733258.58739889995')
(118, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:54', '733258.58743371733')
(119, '81.05', '81.05', 'Mon, 04 Aug 2008 14:05:57', '733258.58746833890')
(120, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:00', '733258.58750315674')
(121, '81.27', '81.27', 'Mon, 04 Aug 2008 14:06:03', '733258.58753777831')
(122, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:06', '733258.58757259569')
(123, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:09', '733258.58760721737')
(124, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:12', '733258.58764203475')
(125, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:15', '733258.58767665655')
(126, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:18', '733258.58771146263')
(127, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:21', '733258.58774609491')
(128, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:24', '733258.58778090111')
(129, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:27', '733258.58781553421')
(130, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:30', '733258.58785034029')
(131, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:33', '733258.58788497339')
(132, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:36', '733258.58791977935')
(133, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:39', '733258.58795459778')
(134, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:42', '733258.58798921842')
(135, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:45', '733258.58802403684')
(136, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:48', '733258.58805865771')
(137, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:51', '733258.58809347614')
(138, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:54', '733258.58812809677')
(139, '81.05', '81.05', 'Mon, 04 Aug 2008 14:06:57', '733258.58816291508')
(140, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:00', '733258.58819753618')
(141, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:03', '733258.58823235438')
(142, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:06', '733258.58826697455')
(143, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:09', '733258.58830179286')
(144, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:12', '733258.58833641373')
(145, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:15', '733258.58837123204')
(146, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:18', '733258.58840603800')
(147, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:21', '733258.58844065969')
(148, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:24', '733258.58847547730')
(149, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:27', '733258.58851009875')
(150, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:30', '733258.58854491636')
(151, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:33', '733258.58857953805')
(152, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:36', '733258.58861435542')
(153, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:39', '733258.58864897711')
(154, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:42', '733258.58868379460')
(155, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:45', '733258.58871841605')
(156, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:48', '733258.58875323390')
(157, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:51', '733258.58878785511')
(158, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:54', '733258.58882267307')
(159, '81.05', '81.05', 'Mon, 04 Aug 2008 14:07:57', '733258.58885729394')
(160, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:00', '733258.58889211167')
(161, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:03', '733258.58892673312')
(162, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:06', '733258.58896155050')
(163, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:09', '733258.58899635752')
(164, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:12', '733258.58903098979')
(165, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:15', '733258.58906579658')
(166, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:18', '733258.58910042897')
(167, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:21', '733258.58913523576')
(168, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:24', '733258.58916986804')
(169, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:27', '733258.58920467482')
(170, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:30', '733258.58923929569')
(171, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:33', '733258.58927411423')
(172, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:36', '733258.58930873498')
(173, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:39', '733258.58934355329')
(174, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:42', '733258.58937817405')
(175, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:45', '733258.58941299177')
(176, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:48', '733258.58944779786')
(177, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:51', '733258.58948243153')
(178, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:54', '733258.58951723704')
(179, '81.05', '81.05', 'Mon, 04 Aug 2008 14:08:57', '733258.58955187059')
(180, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:00', '733258.58958667645')
(181, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:03', '733258.58962131059')
(182, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:06', '733258.58965611516')
(183, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:09', '733258.58969074837')
(184, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:12', '733258.58972555457')
(185, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:15', '733258.58976018766')
(186, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:18', '733258.58979499375')
(187, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:21', '733258.58982980088')
(188, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:24', '733258.58986443304')
(189, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:27', '733258.58989923995')
(190, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:30', '733258.58993387152')
(191, '81.05', '81.05', 'Mon, 04 Aug 2008 14:09:33', '733258.58996867854')
(192, '81.05', '81.37', 'Mon, 04 Aug 2008 14:09:36', '733258.59000331117')
(193, '81.05', '81.37', 'Mon, 04 Aug 2008 14:09:39', '733258.59003811737')
(194, '81.05', '82.74', 'Mon, 04 Aug 2008 14:09:42', '733258.59007274953')
(195, '81.05', '83.43', 'Mon, 04 Aug 2008 14:09:45', '733258.59010755632')
(196, '81.05', '83.43', 'Mon, 04 Aug 2008 14:09:48', '733258.59014218871')
(197, '81.05', '83.43', 'Mon, 04 Aug 2008 14:09:51', '733258.59017699573')
(198, '81.05', '84.79', 'Mon, 04 Aug 2008 14:09:54', '733258.59021162800')
(199, '81.05', '84.79', 'Mon, 04 Aug 2008 14:09:57', '733258.59024643467')
(200, '81.05', '86.16', 'Mon, 04 Aug 2008 14:10:00', '733258.59028106707')
(201, '81.05', '86.85', 'Mon, 04 Aug 2008 14:10:03', '733258.59031587385')
(202, '81.05', '87.53', 'Mon, 04 Aug 2008 14:10:06', '733258.59035050613')
(203, '81.05', '88.21', 'Mon, 04 Aug 2008 14:10:09', '733258.59038531303')
(204, '81.05', '88.21', 'Mon, 04 Aug 2008 14:10:12', '733258.59042013041')
(205, '81.05', '89.58', 'Mon, 04 Aug 2008 14:10:15', '733258.59045475139')
(206, '81.05', '90.27', 'Mon, 04 Aug 2008 14:10:18', '733258.59048956912')
(207, '81.05', '90.95', 'Mon, 04 Aug 2008 14:10:21', '733258.59052419057')
(208, '81.05', '91.63', 'Mon, 04 Aug 2008 14:10:24', '733258.59055899654')
(209, '81.05', '91.63', 'Mon, 04 Aug 2008 14:10:27', '733258.59059362963')
(210, '80.82', '92.08', 'Mon, 04 Aug 2008 14:10:30', '733258.59062843572')
(211, '81.05', '93.69', 'Mon, 04 Aug 2008 14:10:33', '733258.59066306904')
(212, '81.05', '93.69', 'Mon, 04 Aug 2008 14:10:36', '733258.59069787490')
(213, '80.82', '94.14', 'Mon, 04 Aug 2008 14:10:39', '733258.59073250799')
(214, '81.05', '95.05', 'Mon, 04 Aug 2008 14:10:42', '733258.59076731408')
(215, '81.05', '95.74', 'Mon, 04 Aug 2008 14:10:45', '733258.59080213227')
(216, '81.05', '96.42', 'Mon, 04 Aug 2008 14:10:48', '733258.59083675325')
(217, '81.05', '97.11', 'Mon, 04 Aug 2008 14:10:51', '733258.59087157145')
(218, '81.05', '97.79', 'Mon, 04 Aug 2008 14:10:54', '733258.59090619232')
(219, '80.82', '97.56', 'Mon, 04 Aug 2008 14:10:57', '733258.59094101063')
(220, '81.05', '99.18', 'Mon, 04 Aug 2008 14:11:00', '733258.59097563103')
(221, '81.05', '99.86', 'Mon, 04 Aug 2008 14:11:03', '733258.59101044945')
(222, '80.82', '100.31', 'Mon, 04 Aug 2008 14:11:06', '733258.59104507067')
(223, '81.05', '100.54', 'Mon, 04 Aug 2008 14:11:09', '733258.59107988840')
(224, '80.82', '100.99', 'Mon, 04 Aug 2008 14:11:12', '733258.59111450927')
(225, '81.05', '101.91', 'Mon, 04 Aug 2008 14:11:15', '733258.59114932758')
(226, '81.05', '102.60', 'Mon, 04 Aug 2008 14:11:18', '733258.59118394856')
(227, '81.05', '102.60', 'Mon, 04 Aug 2008 14:11:21', '733258.59121876687')
(228, '81.05', '103.96', 'Mon, 04 Aug 2008 14:11:24', '733258.59125338751')
(229, '80.82', '103.73', 'Mon, 04 Aug 2008 14:11:27', '733258.59128819429')
(230, '81.05', '105.33', 'Mon, 04 Aug 2008 14:11:30', '733258.59132282680')
(231, '80.82', '104.41', 'Mon, 04 Aug 2008 14:11:33', '733258.59135763359')
(232, '80.82', '105.10', 'Mon, 04 Aug 2008 14:11:36', '733258.59139226598')
(233, '80.82', '105.78', 'Mon, 04 Aug 2008 14:11:39', '733258.59142707253')
(234, '81.05', '106.70', 'Mon, 04 Aug 2008 14:11:42', '733258.59146189026')
(235, '81.05', '107.40', 'Mon, 04 Aug 2008 14:11:45', '733258.59149651194')
(236, '80.82', '107.85', 'Mon, 04 Aug 2008 14:11:48', '733258.59153132944')
(237, '81.05', '108.09', 'Mon, 04 Aug 2008 14:11:51', '733258.59156595031')
(238, '80.82', '108.54', 'Mon, 04 Aug 2008 14:11:54', '733258.59160076804')
(239, '80.82', '109.22', 'Mon, 04 Aug 2008 14:11:57', '733258.59163538949')
(240, '81.05', '110.14', 'Mon, 04 Aug 2008 14:12:00', '733258.59167020721')
(241, '81.05', '110.14', 'Mon, 04 Aug 2008 14:12:03', '733258.59170482866')
(242, '81.05', '110.14', 'Mon, 04 Aug 2008 14:12:06', '733258.59173964628')
(243, '81.05', '111.51', 'Mon, 04 Aug 2008 14:12:09', '733258.59177426784')
(244, '80.82', '111.27', 'Mon, 04 Aug 2008 14:12:12', '733258.59180908534')
(245, '80.82', '111.27', 'Mon, 04 Aug 2008 14:12:15', '733258.59184370690')
(246, '81.05', '112.19', 'Mon, 04 Aug 2008 14:12:18', '733258.59187852463')
(247, '80.82', '112.66', 'Mon, 04 Aug 2008 14:12:21', '733258.59191314608')
(248, '81.05', '113.58', 'Mon, 04 Aug 2008 14:12:24', '733258.59194795205')
(249, '81.05', '114.26', 'Mon, 04 Aug 2008 14:12:27', '733258.59198258503')
(250, '81.05', '114.94', 'Mon, 04 Aug 2008 14:12:30', '733258.59201739158')
(251, '81.05', '114.94', 'Mon, 04 Aug 2008 14:12:33', '733258.59205202397')
(252, '80.82', '115.39', 'Mon, 04 Aug 2008 14:12:36', '733258.59208683029')
(253, '80.82', '116.08', 'Mon, 04 Aug 2008 14:12:39', '733258.59212146292')
(254, '81.05', '117.00', 'Mon, 04 Aug 2008 14:12:42', '733258.59215626912')
(255, '80.82', '117.45', 'Mon, 04 Aug 2008 14:12:45', '733258.59219090210')
(256, '81.05', '117.68', 'Mon, 04 Aug 2008 14:12:48', '733258.59222570818')
(257, '80.82', '118.15', 'Mon, 04 Aug 2008 14:12:51', '733258.59226034128')
(258, '80.82', '118.15', 'Mon, 04 Aug 2008 14:12:54', '733258.59229514725')
(259, '81.05', '119.07', 'Mon, 04 Aug 2008 14:12:57', '733258.59232978045')
(260, '81.05', '119.75', 'Mon, 04 Aug 2008 14:13:00', '733258.59236458654')
(261, '80.82', '120.20', 'Mon, 04 Aug 2008 14:13:03', '733258.59239921975')
(262, '81.05', '120.43', 'Mon, 04 Aug 2008 14:13:06', '733258.59243402549')
(263, '81.05', '121.80', 'Mon, 04 Aug 2008 14:13:09', '733258.59246865869')
(264, '80.82', '122.27', 'Mon, 04 Aug 2008 14:13:12', '733258.59250346466')
(265, '81.05', '122.50', 'Mon, 04 Aug 2008 14:13:15', '733258.59253828321')
(266, '81.05', '123.87', 'Mon, 04 Aug 2008 14:13:18', '733258.59257290408')
(267, '80.82', '123.64', 'Mon, 04 Aug 2008 14:13:21', '733258.59260771063')
(268, '80.82', '122.95', 'Mon, 04 Aug 2008 14:13:24', '733258.59264234244')
(269, '81.05', '123.87', 'Mon, 04 Aug 2008 14:13:27', '733258.59267714946')
(270, '81.05', '124.56', 'Mon, 04 Aug 2008 14:13:30', '733258.59271178173')
(271, '80.82', '125.01', 'Mon, 04 Aug 2008 14:13:33', '733258.59274658852')
(272, '80.82', '125.69', 'Mon, 04 Aug 2008 14:13:36', '733258.59278122080')
(273, '80.82', '126.39', 'Mon, 04 Aug 2008 14:13:39', '733258.59281602770')
(274, '80.82', '126.39', 'Mon, 04 Aug 2008 14:13:42', '733258.59285065997')
(275, '80.82', '126.39', 'Mon, 04 Aug 2008 14:13:45', '733258.59288546687')
(276, '80.82', '127.08', 'Mon, 04 Aug 2008 14:13:48', '733258.59292009904')
(277, '81.05', '127.31', 'Mon, 04 Aug 2008 14:13:51', '733258.59295490605')
(278, '80.82', '127.76', 'Mon, 04 Aug 2008 14:13:54', '733258.59298953833')
(279, '80.82', '128.44', 'Mon, 04 Aug 2008 14:13:57', '733258.59302434511')
(280, '80.82', '128.44', 'Mon, 04 Aug 2008 14:14:00', '733258.59305897751')
(281, '80.82', '129.15', 'Mon, 04 Aug 2008 14:14:03', '733258.59309378453')
(282, '81.05', '129.38', 'Mon, 04 Aug 2008 14:14:06', '733258.59312860179')
(283, '81.05', '130.06', 'Mon, 04 Aug 2008 14:14:09', '733258.59316322277')
(284, '81.05', '130.75', 'Mon, 04 Aug 2008 14:14:12', '733258.59319802886')
(285, '80.82', '130.51', 'Mon, 04 Aug 2008 14:14:15', '733258.59323266195')
(286, '80.82', '131.20', 'Mon, 04 Aug 2008 14:14:18', '733258.59326746792')
(287, '81.05', '131.43', 'Mon, 04 Aug 2008 14:14:21', '733258.59330210113')
(288, '81.05', '132.12', 'Mon, 04 Aug 2008 14:14:24', '733258.59333690710')
(289, '80.82', '132.58', 'Mon, 04 Aug 2008 14:14:27', '733258.59337154031')
(290, '80.82', '132.58', 'Mon, 04 Aug 2008 14:14:30', '733258.59340634639')
(291, '81.05', '133.50', 'Mon, 04 Aug 2008 14:14:33', '733258.59344097949')
(292, '81.05', '133.50', 'Mon, 04 Aug 2008 14:14:36', '733258.59347578534')
(293, '80.82', '133.27', 'Mon, 04 Aug 2008 14:14:39', '733258.59351041866')
(294, '81.05', '134.19', 'Mon, 04 Aug 2008 14:14:42', '733258.59354522452')
(295, '80.82', '134.64', 'Mon, 04 Aug 2008 14:14:45', '733258.59357985773')
(296, '80.82', '134.64', 'Mon, 04 Aug 2008 14:14:48', '733258.59361466381')
(297, '80.82', '135.34', 'Mon, 04 Aug 2008 14:14:51', '733258.59364948212')
(298, '81.05', '135.55', 'Mon, 04 Aug 2008 14:14:54', '733258.59368410218')
(299, '80.82', '136.02', 'Mon, 04 Aug 2008 14:14:57', '733258.59371892072')
(300, '80.82', '136.71', 'Mon, 04 Aug 2008 14:15:00', '733258.59375354159')
(301, '81.05', '137.62', 'Mon, 04 Aug 2008 14:15:03', '733258.59378835990')
(302, '80.82', '136.71', 'Mon, 04 Aug 2008 14:15:06', '733258.59382298053')
(303, '81.05', '137.62', 'Mon, 04 Aug 2008 14:15:09', '733258.59385778732')
(304, '80.82', '138.07', 'Mon, 04 Aug 2008 14:15:12', '733258.59389241971')
(305, '80.82', '138.07', 'Mon, 04 Aug 2008 14:15:15', '733258.59392722673')
(306, '80.82', '138.78', 'Mon, 04 Aug 2008 14:15:18', '733258.59396185889')
(307, '80.82', '139.46', 'Mon, 04 Aug 2008 14:15:21', '733258.59399666579')
