Log Date and Time Wed, 03 Dec 2008 14:28:11
Ambient Kiln Date Date2Num

(0, '58.77', '277.48', 'Tue, 02 Dec 2008 14:08:28', '733378.58922143898')
(94, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:10', '733378.59248523775')
(95, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:13', '733378.59252004384')
(96, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:16', '733378.59255467681')
(97, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:19', '733378.59258948301')
(98, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:22', '733378.59262411611')
(99, '58.77', '294.17', 'Tue, 02 Dec 2008 14:13:25', '733378.59265892301')
(100, '58.77', '294.87', 'Tue, 02 Dec 2008 14:13:28', '733378.59269355552')
(101, '58.77', '294.87', 'Tue, 02 Dec 2008 14:13:31', '733378.59272836149')
(102, '58.77', '295.56', 'Tue, 02 Dec 2008 14:13:34', '733378.59276317945')
(103, '58.77', '294.87', 'Tue, 02 Dec 2008 14:13:37', '733378.59279780055')
(104, '58.77', '295.56', 'Tue, 02 Dec 2008 14:13:40', '733378.59283261874')
(105, '58.77', '295.56', 'Tue, 02 Dec 2008 14:13:43', '733378.59286724019')
(106, '58.77', '295.56', 'Tue, 02 Dec 2008 14:13:46', '733378.59290205792')
(107, '58.77', '295.56', 'Tue, 02 Dec 2008 14:13:49', '733378.59293667867')
(108, '58.77', '295.56', 'Tue, 02 Dec 2008 14:13:52', '733378.59297149663')
(109, '58.77', '296.26', 'Tue, 02 Dec 2008 14:13:55', '733378.59300611762')
(110, '58.77', '296.26', 'Tue, 02 Dec 2008 14:13:58', '733378.59304092405')
(111, '58.77', '296.96', 'Tue, 02 Dec 2008 14:14:01', '733378.59307555691')
(112, '58.77', '296.26', 'Tue, 02 Dec 2008 14:14:04', '733378.59311036312')
(113, '58.77', '296.26', 'Tue, 02 Dec 2008 14:14:07', '733378.59314499609')
(114, '58.77', '296.26', 'Tue, 02 Dec 2008 14:14:10', '733378.59317980229')
(115, '58.77', '296.96', 'Tue, 02 Dec 2008 14:14:13', '733378.59321443620')
(116, '58.77', '296.26', 'Tue, 02 Dec 2008 14:14:16', '733378.59324924159')
(117, '58.77', '296.96', 'Tue, 02 Dec 2008 14:14:19', '733378.59328387538')
(118, '58.77', '297.64', 'Tue, 02 Dec 2008 14:14:22', '733378.59331868065')
(119, '58.77', '297.64', 'Tue, 02 Dec 2008 14:14:25', '733378.59335349966')
(120, '58.77', '297.64', 'Tue, 02 Dec 2008 14:14:28', '733378.59338811948')
(121, '58.77', '298.35', 'Tue, 02 Dec 2008 14:14:31', '733378.59342293872')
(122, '58.77', '298.35', 'Tue, 02 Dec 2008 14:14:34', '733378.59345755819')
(123, '58.77', '298.35', 'Tue, 02 Dec 2008 14:14:37', '733378.59349237615')
(124, '58.77', '297.64', 'Tue, 02 Dec 2008 14:14:40', '733378.59352699760')
(125, '58.77', '298.35', 'Tue, 02 Dec 2008 14:14:43', '733378.59356181521')
(126, '58.77', '297.64', 'Tue, 02 Dec 2008 14:14:46', '733378.59359643667')
(127, '58.77', '298.35', 'Tue, 02 Dec 2008 14:14:49', '733378.59363125428')
(128, '58.77', '299.03', 'Tue, 02 Dec 2008 14:14:52', '733378.59366587584')
(129, '58.77', '299.03', 'Tue, 02 Dec 2008 14:14:55', '733378.59370068181')
(130, '58.77', '299.73', 'Tue, 02 Dec 2008 14:14:58', '733378.59373531502')
(131, '58.77', '299.03', 'Tue, 02 Dec 2008 14:15:01', '733378.59377012099')
(132, '58.77', '299.73', 'Tue, 02 Dec 2008 14:15:04', '733378.59380475408')
(133, '58.77', '299.73', 'Tue, 02 Dec 2008 14:15:07', '733378.59383956017')
(134, '58.77', '300.43', 'Tue, 02 Dec 2008 14:15:10', '733378.59387419326')
(135, '58.77', '301.12', 'Tue, 02 Dec 2008 14:15:13', '733378.59390899958')
(136, '58.77', '301.12', 'Tue, 02 Dec 2008 14:15:16', '733378.59394363244')
(137, '58.77', '301.12', 'Tue, 02 Dec 2008 14:15:19', '733378.59397843771')
(138, '58.77', '301.82', 'Tue, 02 Dec 2008 14:15:22', '733378.59401307092')
(139, '58.77', '301.12', 'Tue, 02 Dec 2008 14:15:25', '733378.59404787712')
(140, '58.77', '301.82', 'Tue, 02 Dec 2008 14:15:28', '733378.59408251033')
(141, '58.77', '301.82', 'Tue, 02 Dec 2008 14:15:31', '733378.59411731618')
(142, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:34', '733378.59415194928')
(143, '58.77', '301.82', 'Tue, 02 Dec 2008 14:15:37', '733378.59418675536')
(144, '58.77', '301.82', 'Tue, 02 Dec 2008 14:15:40', '733378.59422138846')
(145, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:43', '733378.59425619466')
(146, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:46', '733378.59429082752')
(147, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:49', '733378.59432563360')
(148, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:52', '733378.59436026681')
(149, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:55', '733378.59439507278')
(150, '58.77', '302.50', 'Tue, 02 Dec 2008 14:15:58', '733378.59442969470')
(151, '58.77', '303.21', 'Tue, 02 Dec 2008 14:16:01', '733378.59446451196')
(152, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:04', '733378.59449931863')
(153, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:07', '733378.59453395056')
(154, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:10', '733378.59456875781')
(155, '58.77', '303.21', 'Tue, 02 Dec 2008 14:16:13', '733378.59460338985')
(156, '58.55', '302.99', 'Tue, 02 Dec 2008 14:16:16', '733378.59463819640')
(157, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:19', '733378.59467282880')
(158, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:22', '733378.59470763558')
(159, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:25', '733378.59474226797')
(160, '58.77', '303.91', 'Tue, 02 Dec 2008 14:16:28', '733378.59477707488')
(161, '58.77', '304.59', 'Tue, 02 Dec 2008 14:16:31', '733378.59481170704')
(162, '58.77', '304.59', 'Tue, 02 Dec 2008 14:16:34', '733378.59484651382')
(163, '58.77', '304.59', 'Tue, 02 Dec 2008 14:16:37', '733378.59488114633')
(164, '58.77', '305.29', 'Tue, 02 Dec 2008 14:16:40', '733378.59491595300')
(165, '58.77', '305.29', 'Tue, 02 Dec 2008 14:16:43', '733378.59495058551')
(166, '58.77', '305.29', 'Tue, 02 Dec 2008 14:16:46', '733378.59498539218')
(167, '58.77', '305.29', 'Tue, 02 Dec 2008 14:16:49', '733378.59502020979')
(168, '58.77', '306.00', 'Tue, 02 Dec 2008 14:16:52', '733378.59505483089')
(169, '58.77', '306.00', 'Tue, 02 Dec 2008 14:16:55', '733378.59508964885')
(170, '58.77', '306.00', 'Tue, 02 Dec 2008 14:16:58', '733378.59512427007')
(171, '58.77', '306.00', 'Tue, 02 Dec 2008 14:17:01', '733378.59515907604')
(172, '58.77', '306.00', 'Tue, 02 Dec 2008 14:17:04', '733378.59519370890')
(173, '58.77', '306.68', 'Tue, 02 Dec 2008 14:17:07', '733378.59522851510')
(174, '58.77', '306.68', 'Tue, 02 Dec 2008 14:17:10', '733378.59526314831')
(175, '58.77', '306.68', 'Tue, 02 Dec 2008 14:17:13', '733378.59529795439')
(176, '58.77', '306.68', 'Tue, 02 Dec 2008 14:17:16', '733378.59533258749')
(177, '58.77', '306.68', 'Tue, 02 Dec 2008 14:17:19', '733378.59536739322')
(178, '58.77', '307.38', 'Tue, 02 Dec 2008 14:17:22', '733378.59540202655')
(179, '58.77', '306.68', 'Tue, 02 Dec 2008 14:17:25', '733378.59543683252')
(180, '58.77', '307.38', 'Tue, 02 Dec 2008 14:17:28', '733378.59547146573')
(181, '58.77', '307.38', 'Tue, 02 Dec 2008 14:17:31', '733378.59550627170')
(182, '58.77', '307.38', 'Tue, 02 Dec 2008 14:17:34', '733378.59554090479')
(183, '58.77', '307.38', 'Tue, 02 Dec 2008 14:17:37', '733378.59557571029')
(184, '58.77', '308.07', 'Tue, 02 Dec 2008 14:17:40', '733378.59561034397')
(185, '58.77', '307.38', 'Tue, 02 Dec 2008 14:17:43', '733378.59564514970')
(186, '58.77', '308.77', 'Tue, 02 Dec 2008 14:17:46', '733378.59567978256')
(187, '58.77', '308.07', 'Tue, 02 Dec 2008 14:17:49', '733378.59571458853')
(188, '58.77', '308.77', 'Tue, 02 Dec 2008 14:17:52', '733378.59574922163')
(189, '58.77', '308.07', 'Tue, 02 Dec 2008 14:17:55', '733378.59578402771')
(190, '58.77', '308.77', 'Tue, 02 Dec 2008 14:17:58', '733378.59581866092')
(191, '58.77', '308.77', 'Tue, 02 Dec 2008 14:18:01', '733378.59585346677')
(192, '58.55', '309.25', 'Tue, 02 Dec 2008 14:18:04', '733378.59588827356')
(193, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:07', '733378.59592290584')
(194, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:10', '733378.59595771274')
(195, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:13', '733378.59599234536')
(196, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:16', '733378.59602715180')
(197, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:19', '733378.59606178419')
(198, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:22', '733378.59609659121')
(199, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:25', '733378.59613122349')
(200, '58.77', '310.86', 'Tue, 02 Dec 2008 14:18:28', '733378.59616602981')
(201, '58.77', '310.86', 'Tue, 02 Dec 2008 14:18:31', '733378.59620066220')
(202, '58.77', '310.86', 'Tue, 02 Dec 2008 14:18:34', '733378.59623546887')
(203, '58.77', '310.15', 'Tue, 02 Dec 2008 14:18:37', '733378.59627028648')
(204, '58.77', '310.86', 'Tue, 02 Dec 2008 14:18:40', '733378.59630490793')
(205, '58.77', '311.54', 'Tue, 02 Dec 2008 14:18:43', '733378.59633972577')
(206, '58.77', '311.54', 'Tue, 02 Dec 2008 14:18:46', '733378.59637434711')
(207, '58.77', '311.54', 'Tue, 02 Dec 2008 14:18:49', '733378.59640916460')
(208, '58.77', '310.86', 'Tue, 02 Dec 2008 14:18:52', '733378.59644378617')
(209, '58.77', '311.54', 'Tue, 02 Dec 2008 14:18:55', '733378.59647860390')
(210, '58.77', '311.54', 'Tue, 02 Dec 2008 14:18:58', '733378.59651322546')
(211, '58.77', '311.54', 'Tue, 02 Dec 2008 14:19:01', '733378.59654804296')
(212, '58.55', '311.34', 'Tue, 02 Dec 2008 14:19:04', '733378.59658266441')
(213, '58.77', '312.24', 'Tue, 02 Dec 2008 14:19:07', '733378.59661747073')
(214, '58.77', '312.24', 'Tue, 02 Dec 2008 14:19:10', '733378.59665210370')
(215, '58.77', '312.24', 'Tue, 02 Dec 2008 14:19:13', '733378.59668690991')
(216, '58.55', '312.73', 'Tue, 02 Dec 2008 14:19:16', '733378.59672154230')
(217, '58.77', '312.24', 'Tue, 02 Dec 2008 14:19:19', '733378.59675634827')
(218, '58.77', '312.24', 'Tue, 02 Dec 2008 14:19:22', '733378.59679098136')
(219, '58.55', '312.03', 'Tue, 02 Dec 2008 14:19:25', '733378.59682578745')
(220, '58.77', '312.94', 'Tue, 02 Dec 2008 14:19:28', '733378.59686042066')
(221, '58.77', '312.94', 'Tue, 02 Dec 2008 14:19:31', '733378.59689522651')
(222, '58.77', '313.63', 'Tue, 02 Dec 2008 14:19:34', '733378.59692985972')
(223, '58.77', '314.33', 'Tue, 02 Dec 2008 14:19:37', '733378.59696466569')
(224, '58.77', '313.63', 'Tue, 02 Dec 2008 14:19:40', '733378.59699929878')
(225, '58.77', '313.63', 'Tue, 02 Dec 2008 14:19:43', '733378.59703410510')
(226, '58.77', '313.63', 'Tue, 02 Dec 2008 14:19:46', '733378.59706873808')
(227, '58.77', '314.33', 'Tue, 02 Dec 2008 14:19:49', '733378.59710354405')
(228, '58.77', '314.33', 'Tue, 02 Dec 2008 14:19:52', '733378.59713817725')
(229, '58.77', '314.33', 'Tue, 02 Dec 2008 14:19:55', '733378.59717298322')
(230, '58.77', '314.33', 'Tue, 02 Dec 2008 14:19:58', '733378.59720780165')
(231, '58.55', '314.82', 'Tue, 02 Dec 2008 14:20:01', '733378.59724242170')
(232, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:04', '733378.59727724025')
(233, '58.77', '315.03', 'Tue, 02 Dec 2008 14:20:07', '733378.59731186100')
(234, '58.77', '315.03', 'Tue, 02 Dec 2008 14:20:10', '733378.59734666778')
(235, '58.77', '315.03', 'Tue, 02 Dec 2008 14:20:13', '733378.59738130018')
(236, '58.77', '315.03', 'Tue, 02 Dec 2008 14:20:16', '733378.59741610696')
(237, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:19', '733378.59745073924')
(238, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:22', '733378.59748554602')
(239, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:25', '733378.59752017842')
(240, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:28', '733378.59755498532')
(241, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:31', '733378.59758961760')
(242, '58.77', '315.72', 'Tue, 02 Dec 2008 14:20:34', '733378.59762442426')
(243, '58.77', '316.42', 'Tue, 02 Dec 2008 14:20:37', '733378.59765905666')
(244, '58.77', '316.42', 'Tue, 02 Dec 2008 14:20:40', '733378.59769386344')
(245, '58.55', '316.90', 'Tue, 02 Dec 2008 14:20:43', '733378.59772868128')
(246, '58.77', '316.42', 'Tue, 02 Dec 2008 14:20:46', '733378.59776330215')
(247, '58.55', '316.20', 'Tue, 02 Dec 2008 14:20:49', '733378.59779811965')
(248, '58.55', '316.20', 'Tue, 02 Dec 2008 14:20:52', '733378.59783274122')
(249, '58.77', '316.42', 'Tue, 02 Dec 2008 14:20:55', '733378.59786755883')
(250, '58.77', '317.10', 'Tue, 02 Dec 2008 14:20:58', '733378.59790218039')
(251, '58.77', '317.80', 'Tue, 02 Dec 2008 14:21:01', '733378.59793699777')
(252, '58.55', '317.59', 'Tue, 02 Dec 2008 14:21:04', '733378.59797161946')
(253, '58.77', '318.51', 'Tue, 02 Dec 2008 14:21:07', '733378.59800643695')
(254, '58.77', '318.51', 'Tue, 02 Dec 2008 14:21:10', '733378.59804105863')
(255, '58.77', '318.51', 'Tue, 02 Dec 2008 14:21:13', '733378.59807586472')
(256, '58.77', '318.51', 'Tue, 02 Dec 2008 14:21:16', '733378.59811049781')
(257, '58.77', '318.51', 'Tue, 02 Dec 2008 14:21:19', '733378.59814530378')
(258, '58.77', '319.19', 'Tue, 02 Dec 2008 14:21:22', '733378.59817993687')
(259, '58.77', '319.19', 'Tue, 02 Dec 2008 14:21:25', '733378.59821474284')
(260, '58.77', '319.19', 'Tue, 02 Dec 2008 14:21:28', '733378.59824937629')
(261, '58.77', '319.19', 'Tue, 02 Dec 2008 14:21:31', '733378.59828418167')
(262, '58.77', '319.19', 'Tue, 02 Dec 2008 14:21:34', '733378.59831881535')
(263, '58.77', '319.19', 'Tue, 02 Dec 2008 14:21:37', '733378.59835362085')
(264, '58.77', '319.89', 'Tue, 02 Dec 2008 14:21:40', '733378.59838825394')
(265, '58.77', '319.89', 'Tue, 02 Dec 2008 14:21:43', '733378.59842306003')
(266, '58.77', '319.89', 'Tue, 02 Dec 2008 14:21:46', '733378.59845769301')
(267, '58.77', '319.89', 'Tue, 02 Dec 2008 14:21:49', '733378.59849249909')
(268, '58.77', '319.89', 'Tue, 02 Dec 2008 14:21:52', '733378.59852713218')
(269, '58.55', '320.38', 'Tue, 02 Dec 2008 14:21:55', '733378.59856193827')
(270, '58.55', '319.68', 'Tue, 02 Dec 2008 14:21:58', '733378.59859657136')
(271, '58.77', '320.59', 'Tue, 02 Dec 2008 14:22:01', '733378.59863137722')
(272, '58.55', '321.06', 'Tue, 02 Dec 2008 14:22:04', '733378.59866618412')
(273, '58.77', '321.28', 'Tue, 02 Dec 2008 14:22:07', '733378.59870081639')
(274, '58.77', '321.98', 'Tue, 02 Dec 2008 14:22:10', '733378.59873562318')
(275, '58.77', '321.28', 'Tue, 02 Dec 2008 14:22:13', '733378.59877025580')
(276, '58.77', '321.28', 'Tue, 02 Dec 2008 14:22:16', '733378.59880506271')
(277, '58.77', '321.98', 'Tue, 02 Dec 2008 14:22:19', '733378.59883969487')
(278, '58.77', '321.98', 'Tue, 02 Dec 2008 14:22:22', '733378.59887450107')
(279, '58.77', '322.66', 'Tue, 02 Dec 2008 14:22:25', '733378.59890913346')
(280, '58.77', '322.66', 'Tue, 02 Dec 2008 14:22:28', '733378.59894394025')
(281, '58.77', '322.66', 'Tue, 02 Dec 2008 14:22:31', '733378.59897857241')
(282, '58.55', '322.47', 'Tue, 02 Dec 2008 14:22:34', '733378.59901337943')
(283, '58.77', '323.37', 'Tue, 02 Dec 2008 14:22:37', '733378.59904819692')
(284, '58.77', '323.37', 'Tue, 02 Dec 2008 14:22:40', '733378.59908281849')
(285, '58.77', '323.37', 'Tue, 02 Dec 2008 14:22:43', '733378.59911763610')
(286, '58.55', '323.85', 'Tue, 02 Dec 2008 14:22:46', '733378.59915225755')
(287, '58.77', '324.07', 'Tue, 02 Dec 2008 14:22:49', '733378.59918706364')
(288, '58.77', '323.37', 'Tue, 02 Dec 2008 14:22:52', '733378.59922169673')
(289, '58.77', '324.07', 'Tue, 02 Dec 2008 14:22:55', '733378.59925650270')
(290, '58.77', '324.07', 'Tue, 02 Dec 2008 14:22:58', '733378.59929113591')
(291, '58.77', '324.07', 'Tue, 02 Dec 2008 14:23:01', '733378.59932594199')
(292, '58.77', '324.07', 'Tue, 02 Dec 2008 14:23:04', '733378.59936057508')
(293, '58.77', '324.75', 'Tue, 02 Dec 2008 14:23:07', '733378.59939538094')
(294, '58.77', '324.07', 'Tue, 02 Dec 2008 14:23:10', '733378.59943001368')
(295, '58.77', '324.75', 'Tue, 02 Dec 2008 14:23:13', '733378.59946481988')
(296, '58.77', '324.75', 'Tue, 02 Dec 2008 14:23:16', '733378.59949945286')
(297, '58.55', '324.54', 'Tue, 02 Dec 2008 14:23:19', '733378.59953425894')
(298, '58.55', '324.54', 'Tue, 02 Dec 2008 14:23:22', '733378.59956889192')
(299, '58.77', '325.45', 'Tue, 02 Dec 2008 14:23:25', '733378.59960369801')
(300, '58.77', '325.45', 'Tue, 02 Dec 2008 14:23:28', '733378.59963833122')
(301, '58.77', '325.45', 'Tue, 02 Dec 2008 14:23:31', '733378.59967313695')
(302, '58.77', '326.16', 'Tue, 02 Dec 2008 14:23:34', '733378.59970777028')
(303, '58.77', '325.45', 'Tue, 02 Dec 2008 14:23:37', '733378.59974257613')
(304, '58.77', '325.45', 'Tue, 02 Dec 2008 14:23:40', '733378.59977738303')
(305, '58.77', '326.16', 'Tue, 02 Dec 2008 14:23:43', '733378.59981201554')
(306, '58.77', '326.16', 'Tue, 02 Dec 2008 14:23:46', '733378.59984682233')
(307, '58.55', '325.94', 'Tue, 02 Dec 2008 14:23:49', '733378.59988145449')
