Log Date and Time Sun, 01 Aug 2010 06:43:55
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '1034.1', '32.0', 'Sat, 31 Jul 2010 21:24:46', '733984.89220804733')
(25, '32.0', '1042.3', '32.0', 'Sat, 31 Jul 2010 21:37:16', '733984.90088953509')
(26, '32.0', '1009.8', '32.0', 'Sat, 31 Jul 2010 21:37:46', '733984.90123671095')
(27, '32.0', '1080.3', '32.0', 'Sat, 31 Jul 2010 21:38:16', '733984.90158407402')
(28, '32.0', '1063.6', '32.0', 'Sat, 31 Jul 2010 21:38:46', '733984.90193124802')
(29, '32.0', '1016.9', '32.0', 'Sat, 31 Jul 2010 21:39:16', '733984.90227860922')
(30, '32.0', '978.5', '32.0', 'Sat, 31 Jul 2010 21:39:46', '733984.90262578509')
(31, '32.0', '943.9', '32.0', 'Sat, 31 Jul 2010 21:40:16', '733984.90297314629')
(32, '32.0', '903.0', '32.0', 'Sat, 31 Jul 2010 21:40:46', '733984.90332032205')
(33, '32.0', '884.6', '32.0', 'Sat, 31 Jul 2010 21:41:16', '733984.90366768336')
(34, '32.0', '1047.0', '32.0', 'Sat, 31 Jul 2010 21:41:46', '733984.90401482861')
(35, '32.0', '1167.4', '32.0', 'Sat, 31 Jul 2010 21:42:16', '733984.90436217410')
(36, '32.0', '1127.7', '32.0', 'Sat, 31 Jul 2010 21:42:46', '733984.90470934997')
(37, '32.0', '1064.6', '32.0', 'Sat, 31 Jul 2010 21:43:16', '733984.90505671082')
(38, '32.0', '1000.1', '32.0', 'Sat, 31 Jul 2010 21:43:46', '733984.90540388692')
(39, '32.0', '947.9', '32.0', 'Sat, 31 Jul 2010 21:44:16', '733984.90575125639')
(40, '32.0', '905.3', '32.0', 'Sat, 31 Jul 2010 21:44:46', '733984.90609842353')
(41, '32.0', '935.8', '32.0', 'Sat, 31 Jul 2010 21:45:16', '733984.90644578484')
(42, '32.0', '1068.8', '32.0', 'Sat, 31 Jul 2010 21:45:46', '733984.90679296106')
(43, '32.0', '1118.1', '32.0', 'Sat, 31 Jul 2010 21:46:16', '733984.90714032215')
(44, '32.0', '1117.0', '32.0', 'Sat, 31 Jul 2010 21:46:46', '733984.90748749813')
(45, '32.0', '1096.1', '32.0', 'Sat, 31 Jul 2010 21:47:16', '733984.90783485898')
(46, '32.0', '1068.2', '32.0', 'Sat, 31 Jul 2010 21:47:46', '733984.90818203520')
(47, '32.0', '1031.5', '32.0', 'Sat, 31 Jul 2010 21:48:16', '733984.90852934972')
(48, '32.0', '993.6', '32.0', 'Sat, 31 Jul 2010 21:48:46', '733984.90887652559')
(49, '32.0', '942.4', '32.0', 'Sat, 31 Jul 2010 21:49:16', '733984.90922388691')
(50, '32.0', '954.3', '32.0', 'Sat, 31 Jul 2010 21:49:46', '733984.90957106301')
(51, '32.0', '998.1', '32.0', 'Sat, 31 Jul 2010 21:50:16', '733984.90991842374')
(52, '32.0', '1042.7', '32.0', 'Sat, 31 Jul 2010 21:50:46', '733984.91026559996')
(53, '32.0', '1064.8', '32.0', 'Sat, 31 Jul 2010 21:51:16', '733984.91061296081')
(54, '32.0', '1069.7', '32.0', 'Sat, 31 Jul 2010 21:51:46', '733984.91096013680')
(55, '32.0', '1080.2', '32.0', 'Sat, 31 Jul 2010 21:52:16', '733984.91130749800')
(56, '32.0', '1161.5', '32.0', 'Sat, 31 Jul 2010 21:52:46', '733984.91165467375')
(57, '32.0', '1195.4', '32.0', 'Sat, 31 Jul 2010 21:53:16', '733984.91200203507')
(58, '32.0', '1193.4', '32.0', 'Sat, 31 Jul 2010 21:53:46', '733984.91234921094')
(59, '32.0', '1173.1', '32.0', 'Sat, 31 Jul 2010 21:54:16', '733984.91269657214')
(60, '32.0', '1144.6', '32.0', 'Sat, 31 Jul 2010 21:54:46', '733984.91304374812')
(61, '32.0', '1115.1', '32.0', 'Sat, 31 Jul 2010 21:55:16', '733984.91339110897')
(62, '32.0', '1082.3', '32.0', 'Sat, 31 Jul 2010 21:55:46', '733984.91373828507')
(63, '32.0', '1051.8', '32.0', 'Sat, 31 Jul 2010 21:56:16', '733984.91408564569')
(64, '32.0', '1030.3', '32.0', 'Sat, 31 Jul 2010 21:56:46', '733984.91443282203')
(65, '32.0', '1012.5', '32.0', 'Sat, 31 Jul 2010 21:57:17', '733984.91478014074')
(66, '32.0', '988.4', '32.0', 'Sat, 31 Jul 2010 21:57:46', '733984.91512731265')
(67, '32.0', '955.2', '32.0', 'Sat, 31 Jul 2010 21:58:17', '733984.91547467571')
(68, '32.0', '913.1', '32.0', 'Sat, 31 Jul 2010 21:58:47', '733984.91582184983')
(69, '32.0', '875.5', '32.0', 'Sat, 31 Jul 2010 21:59:17', '733984.91616921104')
(70, '32.0', '846.4', '32.0', 'Sat, 31 Jul 2010 21:59:47', '733984.91651638667')
(71, '32.0', '823.4', '32.0', 'Sat, 31 Jul 2010 22:00:17', '733984.91686374822')
(72, '32.0', '804.0', '32.0', 'Sat, 31 Jul 2010 22:00:47', '733984.91721092840')
(73, '32.0', '790.0', '32.0', 'Sat, 31 Jul 2010 22:01:17', '733984.91755828494')
(74, '32.0', '818.6', '32.0', 'Sat, 31 Jul 2010 22:01:47', '733984.91790546093')
(75, '32.0', '973.0', '32.0', 'Sat, 31 Jul 2010 22:02:17', '733984.91825282201')
(76, '32.0', '1096.8', '32.0', 'Sat, 31 Jul 2010 22:02:47', '733984.91859999800')
(77, '32.0', '1095.7', '32.0', 'Sat, 31 Jul 2010 22:03:17', '733984.91894735896')
(78, '32.0', '1050.7', '32.0', 'Sat, 31 Jul 2010 22:03:47', '733984.91929453507')
(79, '32.0', '1030.9', '32.0', 'Sat, 31 Jul 2010 22:04:17', '733984.91964189627')
(80, '32.0', '1012.3', '32.0', 'Sat, 31 Jul 2010 22:04:47', '733984.91998902557')
(81, '32.0', '969.9', '32.0', 'Sat, 31 Jul 2010 22:05:17', '733984.92033638677')
(82, '32.0', '936.1', '32.0', 'Sat, 31 Jul 2010 22:05:47', '733984.92068356287')
(83, '32.0', '916.6', '32.0', 'Sat, 31 Jul 2010 22:06:17', '733984.92103092407')
(84, '32.0', '1005.3', '32.0', 'Sat, 31 Jul 2010 22:06:47', '733984.92137809983')
(85, '32.0', '1030.7', '32.0', 'Sat, 31 Jul 2010 22:07:17', '733984.92172546068')
(86, '32.0', '1023.7', '32.0', 'Sat, 31 Jul 2010 22:07:47', '733984.92207263678')
(87, '32.0', '996.5', '32.0', 'Sat, 31 Jul 2010 22:08:17', '733984.92241999786')
(88, '32.0', '963.1', '32.0', 'Sat, 31 Jul 2010 22:08:47', '733984.92276717385')
(89, '32.0', '926.2', '32.0', 'Sat, 31 Jul 2010 22:09:17', '733984.92311453482')
(90, '32.0', '899.0', '32.0', 'Sat, 31 Jul 2010 22:09:47', '733984.92346171068')
(91, '32.0', '879.2', '32.0', 'Sat, 31 Jul 2010 22:10:17', '733984.92380907200')
(92, '32.0', '944.4', '32.0', 'Sat, 31 Jul 2010 22:10:47', '733984.92415624799')
(93, '32.0', '1037.9', '32.0', 'Sat, 31 Jul 2010 22:11:17', '733984.92450360919')
(94, '32.0', '1052.6', '32.0', 'Sat, 31 Jul 2010 22:11:47', '733984.92485078506')
(95, '32.0', '1042.7', '32.0', 'Sat, 31 Jul 2010 22:12:17', '733984.92519810004')
(96, '32.0', '1025.6', '32.0', 'Sat, 31 Jul 2010 22:12:47', '733984.92554546183')
(97, '32.0', '1012.0', '32.0', 'Sat, 31 Jul 2010 22:13:17', '733984.92589263886')
(98, '32.0', '998.4', '32.0', 'Sat, 31 Jul 2010 22:13:47', '733984.92623999773')
(99, '32.0', '987.7', '32.0', 'Sat, 31 Jul 2010 22:14:17', '733984.92658717395')
(100, '32.0', '1030.0', '32.0', 'Sat, 31 Jul 2010 22:14:47', '733984.92693453503')
(101, '32.0', '1169.5', '32.0', 'Sat, 31 Jul 2010 22:15:17', '733984.92728171078')
(102, '32.0', '1173.7', '32.0', 'Sat, 31 Jul 2010 22:15:47', '733984.92762907199')
(103, '32.0', '1112.4', '32.0', 'Sat, 31 Jul 2010 22:16:17', '733984.92797624797')
(104, '32.0', '1063.4', '32.0', 'Sat, 31 Jul 2010 22:16:47', '733984.92832360917')
(105, '32.0', '1012.3', '32.0', 'Sat, 31 Jul 2010 22:17:17', '733984.92867078714')
(106, '32.0', '959.9', '32.0', 'Sat, 31 Jul 2010 22:17:47', '733984.92901814589')
(107, '32.0', '922.8', '32.0', 'Sat, 31 Jul 2010 22:18:17', '733984.92936527578')
(108, '32.0', '1004.2', '32.0', 'Sat, 31 Jul 2010 22:18:47', '733984.92971263709')
(109, '32.0', '1155.0', '32.0', 'Sat, 31 Jul 2010 22:19:17', '733984.93005981285')
(110, '32.0', '1182.7', '32.0', 'Sat, 31 Jul 2010 22:19:47', '733984.93040717498')
(111, '32.0', '1141.6', '32.0', 'Sat, 31 Jul 2010 22:20:17', '733984.93075434992')
(112, '32.0', '1090.7', '32.0', 'Sat, 31 Jul 2010 22:20:47', '733984.93110171100')
(113, '32.0', '1054.7', '32.0', 'Sat, 31 Jul 2010 22:21:17', '733984.93144888664')
(114, '32.0', '1011.7', '32.0', 'Sat, 31 Jul 2010 22:21:47', '733984.93179624819')
(115, '32.0', '998.1', '32.0', 'Sat, 31 Jul 2010 22:22:17', '733984.93214342394')
(116, '32.0', '1173.8', '32.0', 'Sat, 31 Jul 2010 22:22:47', '733984.93249084940')
(117, '32.0', '1218.3', '32.0', 'Sat, 31 Jul 2010 22:23:17', '733984.93283791468')
(118, '32.0', '1155.9', '32.0', 'Sat, 31 Jul 2010 22:23:47', '733984.93318527588')
(119, '32.0', '1088.5', '32.0', 'Sat, 31 Jul 2010 22:24:17', '733984.93353356270')
(120, '32.0', '1050.9', '32.0', 'Sat, 31 Jul 2010 22:24:47', '733984.93387981283')
(121, '32.0', '1047.9', '32.0', 'Sat, 31 Jul 2010 22:25:17', '733984.93422717368')
(122, '32.0', '1014.9', '32.0', 'Sat, 31 Jul 2010 22:25:47', '733984.93457434955')
(123, '32.0', '1015.6', '32.0', 'Sat, 31 Jul 2010 22:26:17', '733984.93492171098')
(124, '32.0', '1105.4', '32.0', 'Sat, 31 Jul 2010 22:26:47', '733984.93526888709')
(125, '32.0', '1143.1', '32.0', 'Sat, 31 Jul 2010 22:27:17', '733984.93561624805')
(126, '32.0', '1116.7', '32.0', 'Sat, 31 Jul 2010 22:27:47', '733984.93596342416')
(127, '32.0', '1120.2', '32.0', 'Sat, 31 Jul 2010 22:28:17', '733984.93631078524')
(128, '32.0', '1192.2', '32.0', 'Sat, 31 Jul 2010 22:28:47', '733984.93665796111')
(129, '32.0', '1188.8', '32.0', 'Sat, 31 Jul 2010 22:29:17', '733984.93700532196')
(130, '32.0', '1159.9', '32.0', 'Sat, 31 Jul 2010 22:29:47', '733984.93735245173')
(131, '32.0', '1140.4', '32.0', 'Sat, 31 Jul 2010 22:30:17', '733984.93769981270')
(132, '32.0', '1135.8', '32.0', 'Sat, 31 Jul 2010 22:30:47', '733984.93804698868')
(133, '32.0', '1108.7', '32.0', 'Sat, 31 Jul 2010 22:31:17', '733984.93839434988')
(134, '32.0', '1056.6', '32.0', 'Sat, 31 Jul 2010 22:31:47', '733984.93874152598')
(135, '32.0', '1006.6', '32.0', 'Sat, 31 Jul 2010 22:32:17', '733984.93908888672')
(136, '32.0', '966.7', '32.0', 'Sat, 31 Jul 2010 22:32:47', '733984.93943606270')
(137, '32.0', '1019.5', '32.0', 'Sat, 31 Jul 2010 22:33:17', '733984.93978342379')
(138, '32.0', '1115.1', '32.0', 'Sat, 31 Jul 2010 22:33:47', '733984.94013060001')
(139, '32.0', '1216.3', '32.0', 'Sat, 31 Jul 2010 22:34:17', '733984.94047796098')
(140, '32.0', '1199.9', '32.0', 'Sat, 31 Jul 2010 22:34:47', '733984.94082513708')
(141, '32.0', '1170.9', '32.0', 'Sat, 31 Jul 2010 22:35:17', '733984.94117249770')
(142, '32.0', '1149.0', '32.0', 'Sat, 31 Jul 2010 22:35:47', '733984.94151967415')
(143, '32.0', '1237.2', '32.0', 'Sat, 31 Jul 2010 22:36:17', '733984.94186703744')
(144, '32.0', '1275.7', '32.0', 'Sat, 31 Jul 2010 22:36:47', '733984.94221421122')
(145, '32.0', '1252.1', '32.0', 'Sat, 31 Jul 2010 22:37:17', '733984.94256157184')
(146, '32.0', '1218.0', '32.0', 'Sat, 31 Jul 2010 22:37:47', '733984.94290893292')
(147, '32.0', '1184.1', '32.0', 'Sat, 31 Jul 2010 22:38:17', '733984.94325606257')
(148, '32.0', '1150.3', '32.0', 'Sat, 31 Jul 2010 22:38:47', '733984.94360342389')
(149, '32.0', '1123.9', '32.0', 'Sat, 31 Jul 2010 22:39:17', '733984.94395059976')
(150, '32.0', '1110.7', '32.0', 'Sat, 31 Jul 2010 22:39:47', '733984.94429796108')
(151, '32.0', '1133.6', '32.0', 'Sat, 31 Jul 2010 22:40:17', '733984.94464513694')
(152, '32.0', '1168.7', '32.0', 'Sat, 31 Jul 2010 22:40:47', '733984.94499249803')
(153, '32.0', '1183.0', '32.0', 'Sat, 31 Jul 2010 22:41:17', '733984.94533967366')
(154, '32.0', '1179.5', '32.0', 'Sat, 31 Jul 2010 22:41:47', '733984.94568703498')
(155, '32.0', '1159.4', '32.0', 'Sat, 31 Jul 2010 22:42:17', '733984.94603421085')
(156, '32.0', '1134.7', '32.0', 'Sat, 31 Jul 2010 22:42:47', '733984.94638157217')
(157, '32.0', '1121.9', '32.0', 'Sat, 31 Jul 2010 22:43:17', '733984.94672874769')
(158, '32.0', '1097.9', '32.0', 'Sat, 31 Jul 2010 22:43:47', '733984.94707610901')
(159, '32.0', '1073.3', '32.0', 'Sat, 31 Jul 2010 22:44:17', '733984.94742328499')
(160, '32.0', '1216.1', '32.0', 'Sat, 31 Jul 2010 22:44:47', '733984.94777059974')
(161, '32.0', '1278.0', '32.0', 'Sat, 31 Jul 2010 22:45:17', '733984.94811777573')
(162, '32.0', '1243.0', '32.0', 'Sat, 31 Jul 2010 22:45:47', '733984.94846513669')
(163, '32.0', '1196.2', '32.0', 'Sat, 31 Jul 2010 22:46:17', '733984.94881231268')
(164, '32.0', '1159.5', '32.0', 'Sat, 31 Jul 2010 22:46:47', '733984.94915967318')
(165, '32.0', '1132.3', '32.0', 'Sat, 31 Jul 2010 22:47:17', '733984.94950684940')
(166, '32.0', '1111.8', '32.0', 'Sat, 31 Jul 2010 22:47:47', '733984.94985421060')
(167, '32.0', '1168.5', '32.0', 'Sat, 31 Jul 2010 22:48:17', '733984.95020138682')
(168, '32.0', '1184.4', '32.0', 'Sat, 31 Jul 2010 22:48:47', '733984.95054874755')
(169, '32.0', '1237.5', '32.0', 'Sat, 31 Jul 2010 22:49:17', '733984.95089592331')
(170, '32.0', '1212.8', '32.0', 'Sat, 31 Jul 2010 22:49:47', '733984.95124328451')
(171, '32.0', '1167.0', '32.0', 'Sat, 31 Jul 2010 22:50:17', '733984.95159046003')
(172, '32.0', '1131.9', '32.0', 'Sat, 31 Jul 2010 22:50:47', '733984.95193782134')
(173, '32.0', '1092.7', '32.0', 'Sat, 31 Jul 2010 22:51:17', '733984.95228499768')
(174, '32.0', '1055.8', '32.0', 'Sat, 31 Jul 2010 22:51:47', '733984.95263235853')
(175, '32.0', '1159.7', '32.0', 'Sat, 31 Jul 2010 22:52:17', '733984.95297953463')
(176, '32.0', '1261.5', '32.0', 'Sat, 31 Jul 2010 22:52:47', '733984.95332689560')
(177, '32.0', '1234.1', '32.0', 'Sat, 31 Jul 2010 22:53:17', '733984.95367407158')
(178, '32.0', '1196.0', '32.0', 'Sat, 31 Jul 2010 22:53:47', '733984.95402143279')
(179, '32.0', '1166.3', '32.0', 'Sat, 31 Jul 2010 22:54:17', '733984.95436874731')
(180, '32.0', '1134.8', '32.0', 'Sat, 31 Jul 2010 22:54:47', '733984.95471592317')
(181, '32.0', '1102.1', '32.0', 'Sat, 31 Jul 2010 22:55:17', '733984.95506328437')
(182, '32.0', '1077.7', '32.0', 'Sat, 31 Jul 2010 22:55:47', '733984.95541046036')
(183, '32.0', '1052.5', '32.0', 'Sat, 31 Jul 2010 22:56:17', '733984.95575782156')
(184, '32.0', '1038.8', '32.0', 'Sat, 31 Jul 2010 22:56:47', '733984.95610499755')
(185, '32.0', '1138.2', '32.0', 'Sat, 31 Jul 2010 22:57:17', '733984.95645217341')
(186, '32.0', '1205.9', '32.0', 'Sat, 31 Jul 2010 22:57:47', '733984.95679953462')
(187, '32.0', '1204.8', '32.0', 'Sat, 31 Jul 2010 22:58:17', '733984.95714671048')
(188, '32.0', '1191.4', '32.0', 'Sat, 31 Jul 2010 22:58:47', '733984.95749407134')
(189, '32.0', '1162.5', '32.0', 'Sat, 31 Jul 2010 22:59:17', '733984.95784124732')
(190, '32.0', '1137.3', '32.0', 'Sat, 31 Jul 2010 22:59:47', '733984.95818860852')
(191, '32.0', '1100.3', '32.0', 'Sat, 31 Jul 2010 23:00:17', '733984.95853578462')
(192, '32.0', '1065.1', '32.0', 'Sat, 31 Jul 2010 23:00:47', '733984.95888314571')
(193, '32.0', '1052.2', '32.0', 'Sat, 31 Jul 2010 23:01:17', '733984.95923027536')
(194, '32.0', '1082.5', '32.0', 'Sat, 31 Jul 2010 23:01:47', '733984.95957763621')
(195, '32.0', '1077.9', '32.0', 'Sat, 31 Jul 2010 23:02:17', '733984.95992499765')
(196, '32.0', '1060.1', '32.0', 'Sat, 31 Jul 2010 23:02:47', '733984.96027217316')
(197, '32.0', '1040.1', '32.0', 'Sat, 31 Jul 2010 23:03:17', '733984.96061953448')
(198, '32.0', '1023.2', '32.0', 'Sat, 31 Jul 2010 23:03:47', '733984.96096671023')
(199, '32.0', '1011.1', '32.0', 'Sat, 31 Jul 2010 23:04:17', '733984.96131407167')
(200, '32.0', '1056.3', '32.0', 'Sat, 31 Jul 2010 23:04:47', '733984.96166124765')
(201, '32.0', '1153.0', '32.0', 'Sat, 31 Jul 2010 23:05:17', '733984.96200860862')
(202, '32.0', '1172.6', '32.0', 'Sat, 31 Jul 2010 23:05:47', '733984.96235578542')
(203, '32.0', '1131.4', '32.0', 'Sat, 31 Jul 2010 23:06:17', '733984.96270296164')
(204, '32.0', '1081.0', '32.0', 'Sat, 31 Jul 2010 23:06:47', '733984.96305032203')
(205, '32.0', '1076.8', '32.0', 'Sat, 31 Jul 2010 23:07:17', '733984.96339749801')
(206, '32.0', '1079.9', '32.0', 'Sat, 31 Jul 2010 23:07:47', '733984.96374485875')
(207, '32.0', '1074.0', '32.0', 'Sat, 31 Jul 2010 23:08:17', '733984.96409203520')
(208, '32.0', '1077.0', '32.0', 'Sat, 31 Jul 2010 23:08:47', '733984.96443939628')
(209, '32.0', '1167.4', '32.0', 'Sat, 31 Jul 2010 23:09:17', '733984.96478675737')
(210, '32.0', '1206.3', '32.0', 'Sat, 31 Jul 2010 23:09:47', '733984.96513393347')
(211, '32.0', '1211.6', '32.0', 'Sat, 31 Jul 2010 23:10:17', '733984.96548124845')
(212, '32.0', '1170.3', '32.0', 'Sat, 31 Jul 2010 23:10:47', '733984.96582842397')
(213, '32.0', '1122.6', '32.0', 'Sat, 31 Jul 2010 23:11:17', '733984.96617578517')
(214, '32.0', '1112.7', '32.0', 'Sat, 31 Jul 2010 23:11:47', '733984.96652296069')
(215, '32.0', '1099.9', '32.0', 'Sat, 31 Jul 2010 23:12:17', '733984.96687032236')
(216, '32.0', '1066.1', '32.0', 'Sat, 31 Jul 2010 23:12:47', '733984.96721749858')
(217, '32.0', '1192.4', '32.0', 'Sat, 31 Jul 2010 23:13:17', '733984.96756485943')
(218, '32.0', '1266.2', '32.0', 'Sat, 31 Jul 2010 23:13:47', '733984.96791203495')
(219, '32.0', '1233.4', '32.0', 'Sat, 31 Jul 2010 23:14:17', '733984.96825939626')
(220, '32.0', '1200.1', '32.0', 'Sat, 31 Jul 2010 23:14:47', '733984.96860657190')
(221, '32.0', '1167.8', '32.0', 'Sat, 31 Jul 2010 23:15:17', '733984.96895393345')
(222, '32.0', '1138.5', '32.0', 'Sat, 31 Jul 2010 23:15:47', '733984.96930110932')
(223, '32.0', '1109.8', '32.0', 'Sat, 31 Jul 2010 23:16:17', '733984.96964846982')
(224, '32.0', '1082.8', '32.0', 'Sat, 31 Jul 2010 23:16:47', '733984.96999564639')
(225, '32.0', '1054.7', '32.0', 'Sat, 31 Jul 2010 23:17:17', '733984.97034300712')
(226, '32.0', '1024.8', '32.0', 'Sat, 31 Jul 2010 23:17:47', '733984.97069013736')
(227, '32.0', '1002.4', '32.0', 'Sat, 31 Jul 2010 23:18:17', '733984.97103749798')
(228, '32.0', '1154.5', '32.0', 'Sat, 31 Jul 2010 23:18:47', '733984.97138467419')
(229, '32.0', '1257.2', '32.0', 'Sat, 31 Jul 2010 23:19:17', '733984.97173203540')
(230, '32.0', '1249.8', '32.0', 'Sat, 31 Jul 2010 23:19:47', '733984.97207921150')
(231, '32.0', '1199.6', '32.0', 'Sat, 31 Jul 2010 23:20:17', '733984.97242657223')
(232, '32.0', '1163.3', '32.0', 'Sat, 31 Jul 2010 23:20:47', '733984.97277374775')
(233, '32.0', '1134.2', '32.0', 'Sat, 31 Jul 2010 23:21:17', '733984.97312110930')
(234, '32.0', '1098.5', '32.0', 'Sat, 31 Jul 2010 23:21:47', '733984.97346828540')
(235, '32.0', '1074.3', '32.0', 'Sat, 31 Jul 2010 23:22:17', '733984.97381601704')
(236, '32.0', '1156.6', '32.0', 'Sat, 31 Jul 2010 23:22:47', '733984.97416282247')
(237, '32.0', '1243.3', '32.0', 'Sat, 31 Jul 2010 23:23:17', '733984.97451018333')
(238, '32.0', '1215.3', '32.0', 'Sat, 31 Jul 2010 23:23:47', '733984.97485735954')
(239, '32.0', '1181.4', '32.0', 'Sat, 31 Jul 2010 23:24:17', '733984.97520472063')
(240, '32.0', '1154.9', '32.0', 'Sat, 31 Jul 2010 23:24:47', '733984.97555203480')
(241, '32.0', '1117.0', '32.0', 'Sat, 31 Jul 2010 23:25:17', '733984.97589921125')
(242, '32.0', '1080.4', '32.0', 'Sat, 31 Jul 2010 23:25:47', '733984.97624657233')
(243, '32.0', '1060.9', '32.0', 'Sat, 31 Jul 2010 23:26:17', '733984.97659374855')
(244, '32.0', '1038.7', '32.0', 'Sat, 31 Jul 2010 23:26:47', '733984.97694110882')
(245, '32.0', '1094.1', '32.0', 'Sat, 31 Jul 2010 23:27:17', '733984.97728828527')
(246, '32.0', '1118.6', '32.0', 'Sat, 31 Jul 2010 23:27:47', '733984.97763564636')
(247, '32.0', '1118.1', '32.0', 'Sat, 31 Jul 2010 23:28:17', '733984.97798282246')
(248, '32.0', '1108.2', '32.0', 'Sat, 31 Jul 2010 23:28:47', '733984.97833018308')
(249, '32.0', '1099.9', '32.0', 'Sat, 31 Jul 2010 23:29:17', '733984.97867736092')
(250, '32.0', '1092.2', '32.0', 'Sat, 31 Jul 2010 23:29:47', '733984.97902453481')
(251, '32.0', '1083.9', '32.0', 'Sat, 31 Jul 2010 23:30:17', '733984.97937189636')
(252, '32.0', '1098.1', '32.0', 'Sat, 31 Jul 2010 23:30:47', '733984.97971907223')
(253, '32.0', '1164.7', '32.0', 'Sat, 31 Jul 2010 23:31:17', '733984.98006643495')
(254, '32.0', '1166.5', '32.0', 'Sat, 31 Jul 2010 23:31:47', '733984.98041360965')
(255, '32.0', '1130.5', '32.0', 'Sat, 31 Jul 2010 23:32:17', '733984.98076097027')
(256, '32.0', '1115.1', '32.0', 'Sat, 31 Jul 2010 23:32:47', '733984.98110833124')
(257, '32.0', '1184.0', '32.0', 'Sat, 31 Jul 2010 23:33:17', '733984.98145550711')
(258, '32.0', '1175.1', '32.0', 'Sat, 31 Jul 2010 23:33:47', '733984.98180282174')
(259, '32.0', '1154.4', '32.0', 'Sat, 31 Jul 2010 23:34:17', '733984.98214999854')
(260, '32.0', '1143.8', '32.0', 'Sat, 31 Jul 2010 23:34:47', '733984.98249735916')
(261, '32.0', '1130.3', '32.0', 'Sat, 31 Jul 2010 23:35:17', '733984.98284453724')
(262, '32.0', '1119.1', '32.0', 'Sat, 31 Jul 2010 23:35:47', '733984.98319189623')
(263, '32.0', '1101.3', '32.0', 'Sat, 31 Jul 2010 23:36:17', '733984.98353907187')
(264, '32.0', '1082.2', '32.0', 'Sat, 31 Jul 2010 23:36:47', '733984.98388643307')
(265, '32.0', '1109.4', '32.0', 'Sat, 31 Jul 2010 23:37:17', '733984.98423360928')
(266, '32.0', '1267.3', '32.0', 'Sat, 31 Jul 2010 23:37:47', '733984.98458096979')
(267, '32.0', '1282.7', '32.0', 'Sat, 31 Jul 2010 23:38:17', '733984.98492814740')
(268, '32.0', '1242.1', '32.0', 'Sat, 31 Jul 2010 23:38:47', '733984.98527550756')
(269, '32.0', '1192.8', '32.0', 'Sat, 31 Jul 2010 23:39:17', '733984.98562268377')
(270, '32.0', '1151.7', '32.0', 'Sat, 31 Jul 2010 23:39:47', '733984.98596999852')
(271, '32.0', '1211.4', '32.0', 'Sat, 31 Jul 2010 23:40:17', '733984.98631717381')
