Log Date and Time Tue, 09 Oct 2012 21:14:08
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '51.8', '195.0', '209.5', 'Tue, 09 Oct 2012 09:34:04', '734785.41429565998')
(70, '53.4', '255.2', '271.2', 'Tue, 09 Oct 2012 10:09:05', '734785.43862064404')
(71, '53.4', '255.9', '272.8', 'Tue, 09 Oct 2012 10:09:35', '734785.43896789884')
(72, '53.4', '257.5', '273.5', 'Tue, 09 Oct 2012 10:10:05', '734785.43931535457')
(73, '53.4', '258.2', '274.9', 'Tue, 09 Oct 2012 10:10:35', '734785.43966266885')
(74, '53.4', '258.9', '275.6', 'Tue, 09 Oct 2012 10:11:05', '734785.44001020445')
(75, '53.1', '259.6', '277.0', 'Tue, 09 Oct 2012 10:11:35', '734785.44035771606')
(76, '53.4', '260.2', '278.3', 'Tue, 09 Oct 2012 10:12:05', '734785.44070523942')
(77, '53.4', '260.9', '279.0', 'Tue, 09 Oct 2012 10:12:35', '734785.44105276628')
(78, '53.4', '261.8', '280.4', 'Tue, 09 Oct 2012 10:13:05', '734785.44140029757')
(79, '53.4', '262.5', '281.3', 'Tue, 09 Oct 2012 10:13:35', '734785.44174769241')
(80, '53.4', '263.9', '281.8', 'Tue, 09 Oct 2012 10:14:06', '734785.44209520624')
(81, '53.4', '265.3', '284.6', 'Tue, 09 Oct 2012 10:14:36', '734785.44244248478')
(82, '53.4', '267.4', '286.7', 'Tue, 09 Oct 2012 10:15:06', '734785.44278999639')
(83, '53.4', '270.8', '288.8', 'Tue, 09 Oct 2012 10:15:36', '734785.44313751976')
(84, '53.4', '272.7', '291.6', 'Tue, 09 Oct 2012 10:16:06', '734785.44348506571')
(85, '53.6', '275.5', '294.4', 'Tue, 09 Oct 2012 10:16:36', '734785.44383257290')
(86, '53.6', '277.8', '296.4', 'Tue, 09 Oct 2012 10:17:06', '734785.44418010057')
(87, '53.6', '281.0', '298.5', 'Tue, 09 Oct 2012 10:17:36', '734785.44452762417')
(88, '53.6', '282.4', '301.3', 'Tue, 09 Oct 2012 10:18:06', '734785.44487512344')
(89, '53.6', '285.2', '303.4', 'Tue, 09 Oct 2012 10:18:36', '734785.44522262330')
(90, '53.6', '288.0', '304.8', 'Tue, 09 Oct 2012 10:19:06', '734785.44557014690')
(91, '53.6', '289.4', '307.6', 'Tue, 09 Oct 2012 10:19:36', '734785.44591768156')
(92, '53.6', '291.5', '309.7', 'Tue, 09 Oct 2012 10:20:06', '734785.44626519352')
(93, '53.6', '292.9', '311.8', 'Tue, 09 Oct 2012 10:20:36', '734785.44661273970')
(94, '53.8', '294.2', '313.0', 'Tue, 09 Oct 2012 10:21:06', '734785.44696023955')
(95, '53.8', '295.6', '315.1', 'Tue, 09 Oct 2012 10:21:36', '734785.44730777445')
(96, '53.8', '297.0', '316.7', 'Tue, 09 Oct 2012 10:22:06', '734785.44765529782')
(97, '53.8', '298.4', '318.6', 'Tue, 09 Oct 2012 10:22:36', '734785.44800282118')
(98, '53.8', '299.8', '320.0', 'Tue, 09 Oct 2012 10:23:06', '734785.44835034420')
(99, '54.0', '300.3', '321.4', 'Tue, 09 Oct 2012 10:23:36', '734785.44869785593')
(100, '54.0', '301.0', '322.8', 'Tue, 09 Oct 2012 10:24:06', '734785.44904540235')
(101, '54.0', '301.7', '324.0', 'Tue, 09 Oct 2012 10:24:36', '734785.44939292537')
(102, '54.0', '303.1', '325.6', 'Tue, 09 Oct 2012 10:25:06', '734785.44974046061')
(103, '54.3', '304.3', '326.8', 'Tue, 09 Oct 2012 10:25:36', '734785.45008796069')
(104, '54.3', '305.9', '327.5', 'Tue, 09 Oct 2012 10:26:06', '734785.45043549559')
(105, '54.3', '306.6', '328.2', 'Tue, 09 Oct 2012 10:26:36', '734785.45078300685')
(106, '54.3', '307.1', '329.6', 'Tue, 09 Oct 2012 10:27:06', '734785.45113054151')
(107, '54.3', '308.5', '330.8', 'Tue, 09 Oct 2012 10:27:36', '734785.45147806476')
(108, '54.3', '309.2', '331.5', 'Tue, 09 Oct 2012 10:28:06', '734785.45182558848')
(109, '54.5', '310.6', '332.4', 'Tue, 09 Oct 2012 10:28:36', '734785.45217311196')
(110, '54.5', '312.0', '333.6', 'Tue, 09 Oct 2012 10:29:06', '734785.45252063579')
(111, '54.5', '313.4', '334.3', 'Tue, 09 Oct 2012 10:29:36', '734785.45286815672')
(112, '54.7', '314.1', '335.0', 'Tue, 09 Oct 2012 10:30:06', '734785.45321569149')
(113, '54.7', '315.5', '335.7', 'Tue, 09 Oct 2012 10:30:36', '734785.45356320357')
(114, '54.7', '315.5', '337.3', 'Tue, 09 Oct 2012 10:31:06', '734785.45391076186')
(115, '54.7', '316.2', '338.0', 'Tue, 09 Oct 2012 10:31:36', '734785.45425829687')
(116, '55.0', '317.6', '338.7', 'Tue, 09 Oct 2012 10:32:06', '734785.45460580778')
(117, '55.0', '318.3', '340.1', 'Tue, 09 Oct 2012 10:32:36', '734785.45495331998')
(118, '55.0', '319.0', '340.6', 'Tue, 09 Oct 2012 10:33:06', '734785.45530083112')
(119, '55.0', '319.4', '341.5', 'Tue, 09 Oct 2012 10:33:36', '734785.45564837905')
(120, '55.0', '321.1', '342.2', 'Tue, 09 Oct 2012 10:34:06', '734785.45599590230')
(121, '55.0', '321.8', '342.7', 'Tue, 09 Oct 2012 10:34:36', '734785.45634340227')
(122, '55.0', '321.8', '344.1', 'Tue, 09 Oct 2012 10:35:06', '734785.45669094799')
(123, '55.0', '322.5', '344.4', 'Tue, 09 Oct 2012 10:35:36', '734785.45703846030')
(124, '55.2', '323.2', '345.5', 'Tue, 09 Oct 2012 10:36:06', '734785.45738598320')
(125, '55.0', '323.9', '346.5', 'Tue, 09 Oct 2012 10:36:37', '734785.45773350645')
(126, '55.0', '324.6', '347.2', 'Tue, 09 Oct 2012 10:37:07', '734785.45808102982')
(127, '55.0', '325.3', '347.9', 'Tue, 09 Oct 2012 10:37:37', '734785.45842831023')
(128, '55.0', '326.0', '348.6', 'Tue, 09 Oct 2012 10:38:07', '734785.45877583302')
(129, '55.0', '326.7', '348.6', 'Tue, 09 Oct 2012 10:38:37', '734785.45912334521')
(130, '55.0', '327.2', '350.0', 'Tue, 09 Oct 2012 10:39:07', '734785.45947087999')
(131, '55.0', '328.1', '350.7', 'Tue, 09 Oct 2012 10:39:37', '734785.45981841453')
(132, '55.0', '328.1', '350.7', 'Tue, 09 Oct 2012 10:40:07', '734785.46016590309')
(133, '55.0', '329.5', '352.3', 'Tue, 09 Oct 2012 10:40:37', '734785.46051344904')
(134, '55.0', '330.2', '352.1', 'Tue, 09 Oct 2012 10:41:07', '734785.46086096112')
(135, '55.0', '330.9', '353.0', 'Tue, 09 Oct 2012 10:41:37', '734785.46120850742')
(136, '55.0', '331.6', '353.7', 'Tue, 09 Oct 2012 10:42:07', '734785.46155606280')
(137, '55.0', '331.8', '354.4', 'Tue, 09 Oct 2012 10:42:37', '734785.46190361318')
(138, '55.0', '333.2', '355.1', 'Tue, 09 Oct 2012 10:43:07', '734785.46225117589')
(139, '54.7', '333.2', '356.5', 'Tue, 09 Oct 2012 10:43:37', '734785.46259857889')
(140, '54.7', '333.9', '356.5', 'Tue, 09 Oct 2012 10:44:07', '734785.46294609061')
(141, '55.0', '335.3', '357.2', 'Tue, 09 Oct 2012 10:44:37', '734785.46329359012')
(142, '54.7', '335.3', '357.9', 'Tue, 09 Oct 2012 10:45:07', '734785.46364113630')
(143, '54.7', '335.3', '359.3', 'Tue, 09 Oct 2012 10:45:37', '734785.46398865932')
(144, '54.7', '336.0', '360.1', 'Tue, 09 Oct 2012 10:46:07', '734785.46433591691')
(145, '54.7', '336.7', '360.1', 'Tue, 09 Oct 2012 10:46:37', '734785.46468342922')
(146, '54.5', '336.7', '361.0', 'Tue, 09 Oct 2012 10:47:07', '734785.46503095271')
(147, '54.7', '336.7', '361.7', 'Tue, 09 Oct 2012 10:47:37', '734785.46537847538')
(148, '54.5', '338.4', '362.4', 'Tue, 09 Oct 2012 10:48:07', '734785.46572599851')
(149, '54.5', '339.1', '362.4', 'Tue, 09 Oct 2012 10:48:37', '734785.46607352258')
(150, '54.5', '340.0', '363.1', 'Tue, 09 Oct 2012 10:49:07', '734785.46642112313')
(151, '54.5', '340.7', '363.8', 'Tue, 09 Oct 2012 10:49:37', '734785.46676856803')
(152, '54.3', '341.4', '364.5', 'Tue, 09 Oct 2012 10:50:07', '734785.46711588360')
(153, '54.3', '341.4', '364.5', 'Tue, 09 Oct 2012 10:50:37', '734785.46746311686')
(154, '54.5', '342.1', '365.9', 'Tue, 09 Oct 2012 10:51:07', '734785.46781038668')
(155, '54.3', '343.5', '368.7', 'Tue, 09 Oct 2012 10:51:37', '734785.46815762063')
(156, '54.3', '345.1', '373.6', 'Tue, 09 Oct 2012 10:52:07', '734785.46850488218')
(157, '54.3', '347.3', '379.5', 'Tue, 09 Oct 2012 10:52:37', '734785.46885209938')
(158, '54.3', '350.8', '385.8', 'Tue, 09 Oct 2012 10:53:07', '734785.46919938037')
(159, '54.5', '352.9', '392.8', 'Tue, 09 Oct 2012 10:53:37', '734785.46954664716')
(160, '54.5', '355.7', '399.2', 'Tue, 09 Oct 2012 10:54:07', '734785.46989394072')
(161, '54.5', '358.5', '404.8', 'Tue, 09 Oct 2012 10:54:37', '734785.47024116281')
(162, '54.5', '361.1', '409.0', 'Tue, 09 Oct 2012 10:55:07', '734785.47058843134')
(163, '54.3', '363.9', '414.6', 'Tue, 09 Oct 2012 10:55:37', '734785.47093571129')
(164, '54.5', '365.3', '419.1', 'Tue, 09 Oct 2012 10:56:08', '734785.47128294513')
(165, '54.5', '368.3', '423.0', 'Tue, 09 Oct 2012 10:56:38', '734785.47163026046')
(166, '54.3', '370.5', '427.2', 'Tue, 09 Oct 2012 10:57:08', '734785.47197750537')
(167, '54.3', '372.3', '432.4', 'Tue, 09 Oct 2012 10:57:38', '734785.47232475074')
(168, '54.5', '374.0', '435.1', 'Tue, 09 Oct 2012 10:58:08', '734785.47267200775')
(169, '54.3', '376.8', '439.3', 'Tue, 09 Oct 2012 10:58:38', '734785.47301928815')
(170, '54.5', '378.2', '442.1', 'Tue, 09 Oct 2012 10:59:08', '734785.47336653434')
(171, '54.5', '381.0', '444.7', 'Tue, 09 Oct 2012 10:59:38', '734785.47371379088')
(172, '54.5', '382.4', '447.7', 'Tue, 09 Oct 2012 11:00:08', '734785.47406108223')
(173, '54.5', '384.3', '449.8', 'Tue, 09 Oct 2012 11:00:38', '734785.47440832807')
(174, '54.5', '385.7', '451.9', 'Tue, 09 Oct 2012 11:01:08', '734785.47475556086')
(175, '54.5', '387.8', '453.3', 'Tue, 09 Oct 2012 11:01:38', '734785.47510280809')
(176, '54.5', '389.9', '454.9', 'Tue, 09 Oct 2012 11:02:08', '734785.47545005241')
(177, '54.5', '391.6', '455.4', 'Tue, 09 Oct 2012 11:02:38', '734785.47579728684')
(178, '54.7', '392.7', '457.7', 'Tue, 09 Oct 2012 11:03:08', '734785.47614455502')
(179, '54.5', '395.1', '459.5', 'Tue, 09 Oct 2012 11:03:38', '734785.47649181203')
(180, '54.7', '397.2', '461.8', 'Tue, 09 Oct 2012 11:04:08', '734785.47683903563')
(181, '54.7', '398.6', '463.7', 'Tue, 09 Oct 2012 11:04:38', '734785.47718629183')
(182, '54.7', '400.0', '466.5', 'Tue, 09 Oct 2012 11:05:08', '734785.47753352521')
(183, '54.7', '400.7', '468.8', 'Tue, 09 Oct 2012 11:05:38', '734785.47788104892')
(184, '54.7', '402.1', '470.2', 'Tue, 09 Oct 2012 11:06:08', '734785.47822858335')
(185, '54.7', '402.8', '471.3', 'Tue, 09 Oct 2012 11:06:38', '734785.47857609554')
(186, '54.7', '405.1', '472.9', 'Tue, 09 Oct 2012 11:07:08', '734785.47892362950')
(187, '54.7', '405.6', '473.6', 'Tue, 09 Oct 2012 11:07:38', '734785.47927114100')
(188, '54.7', '407.2', '475.0', 'Tue, 09 Oct 2012 11:08:08', '734785.47961841105')
(189, '54.7', '408.6', '475.7', 'Tue, 09 Oct 2012 11:08:38', '734785.47996595700')
(190, '54.7', '409.4', '477.1', 'Tue, 09 Oct 2012 11:09:08', '734785.48031344544')
(191, '55.0', '410.1', '477.8', 'Tue, 09 Oct 2012 11:09:38', '734785.48066097987')
(192, '55.0', '411.5', '478.5', 'Tue, 09 Oct 2012 11:10:08', '734785.48100849427')
(193, '55.0', '411.5', '479.2', 'Tue, 09 Oct 2012 11:10:38', '734785.48135604954')
(194, '55.0', '412.2', '479.2', 'Tue, 09 Oct 2012 11:11:08', '734785.48170358408')
(195, '55.0', '413.5', '480.6', 'Tue, 09 Oct 2012 11:11:38', '734785.48205109639')
(196, '55.0', '414.2', '481.2', 'Tue, 09 Oct 2012 11:12:08', '734785.48239861894')
(197, '55.0', '414.9', '482.6', 'Tue, 09 Oct 2012 11:12:38', '734785.48274615372')
(198, '55.0', '416.4', '483.3', 'Tue, 09 Oct 2012 11:13:08', '734785.48309344449')
(199, '55.0', '417.1', '484.7', 'Tue, 09 Oct 2012 11:13:38', '734785.48344097938')
(200, '55.0', '418.5', '486.1', 'Tue, 09 Oct 2012 11:14:08', '734785.48378849356')
(201, '55.0', '419.2', '487.0', 'Tue, 09 Oct 2012 11:14:38', '734785.48413603741')
(202, '55.2', '420.6', '488.2', 'Tue, 09 Oct 2012 11:15:08', '734785.48448354972')
(203, '55.2', '421.3', '488.9', 'Tue, 09 Oct 2012 11:15:38', '734785.48483107227')
(204, '55.2', '422.0', '489.5', 'Tue, 09 Oct 2012 11:16:08', '734785.48517860856')
(205, '55.2', '423.4', '490.9', 'Tue, 09 Oct 2012 11:16:38', '734785.48552611959')
(206, '55.2', '424.8', '492.3', 'Tue, 09 Oct 2012 11:17:08', '734785.48587365320')
(207, '55.2', '425.5', '493.7', 'Tue, 09 Oct 2012 11:17:38', '734785.48622116586')
(208, '55.2', '426.2', '493.7', 'Tue, 09 Oct 2012 11:18:08', '734785.48656871123')
(209, '55.4', '427.6', '495.1', 'Tue, 09 Oct 2012 11:18:38', '734785.48691616557')
(210, '55.2', '429.0', '496.4', 'Tue, 09 Oct 2012 11:19:08', '734785.48726370058')
(211, '55.2', '431.1', '499.9', 'Tue, 09 Oct 2012 11:19:38', '734785.48761123512')
(212, '55.4', '433.2', '504.0', 'Tue, 09 Oct 2012 11:20:08', '734785.48795874882')
(213, '55.4', '436.7', '509.5', 'Tue, 09 Oct 2012 11:20:38', '734785.48830626043')
(214, '55.4', '439.4', '515.0', 'Tue, 09 Oct 2012 11:21:08', '734785.48865379498')
(215, '55.4', '441.5', '520.0', 'Tue, 09 Oct 2012 11:21:38', '734785.48900131870')
(216, '55.2', '444.3', '523.9', 'Tue, 09 Oct 2012 11:22:08', '734785.48934885289')
(217, '55.4', '447.8', '527.3', 'Tue, 09 Oct 2012 11:22:38', '734785.48969638732')
(218, '55.4', '450.6', '530.8', 'Tue, 09 Oct 2012 11:23:08', '734785.49004390032')
(219, '55.4', '452.7', '533.5', 'Tue, 09 Oct 2012 11:23:38', '734785.49039143499')
(220, '55.4', '455.5', '536.9', 'Tue, 09 Oct 2012 11:24:08', '734785.49073893495')
(221, '55.6', '456.9', '542.4', 'Tue, 09 Oct 2012 11:24:38', '734785.49108646950')
(222, '55.4', '458.3', '551.2', 'Tue, 09 Oct 2012 11:25:08', '734785.49143401626')
(223, '55.6', '460.3', '553.5', 'Tue, 09 Oct 2012 11:25:38', '734785.49178151635')
(224, '55.4', '462.7', '555.5', 'Tue, 09 Oct 2012 11:26:08', '734785.49212900491')
(225, '55.6', '464.1', '557.6', 'Tue, 09 Oct 2012 11:26:38', '734785.49247655121')
(226, '55.4', '465.4', '558.9', 'Tue, 09 Oct 2012 11:27:08', '734785.49282407423')
(227, '55.4', '466.1', '561.0', 'Tue, 09 Oct 2012 11:27:38', '734785.49317160901')
(228, '55.6', '467.5', '562.3', 'Tue, 09 Oct 2012 11:28:08', '734785.49351913249')
(229, '55.6', '468.9', '563.7', 'Tue, 09 Oct 2012 11:28:38', '734785.49386664375')
(230, '55.4', '470.3', '566.4', 'Tue, 09 Oct 2012 11:29:08', '734785.49421419052')
(231, '55.6', '471.7', '568.5', 'Tue, 09 Oct 2012 11:29:38', '734785.49456172553')
(232, '55.6', '473.1', '570.0', 'Tue, 09 Oct 2012 11:30:09', '734785.49490922538')
(233, '55.6', '475.1', '572.7', 'Tue, 09 Oct 2012 11:30:39', '734785.49525676027')
(234, '55.6', '476.7', '574.1', 'Tue, 09 Oct 2012 11:31:09', '734785.49560428341')
(235, '55.6', '478.1', '576.1', 'Tue, 09 Oct 2012 11:31:39', '734785.49595181865')
(236, '55.6', '480.2', '577.5', 'Tue, 09 Oct 2012 11:32:09', '734785.49629934167')
(237, '55.6', '481.6', '579.0', 'Tue, 09 Oct 2012 11:32:39', '734785.49664685281')
(238, '55.6', '482.3', '581.1', 'Tue, 09 Oct 2012 11:33:09', '734785.49699436512')
(239, '55.6', '483.7', '581.8', 'Tue, 09 Oct 2012 11:33:39', '734785.49734188837')
(240, '55.6', '485.0', '583.1', 'Tue, 09 Oct 2012 11:34:09', '734785.49768941116')
(241, '55.6', '485.7', '583.1', 'Tue, 09 Oct 2012 11:34:39', '734785.49803693441')
(242, '55.6', '486.6', '584.5', 'Tue, 09 Oct 2012 11:35:09', '734785.49838448106')
(243, '55.6', '488.2', '584.5', 'Tue, 09 Oct 2012 11:35:39', '734785.49873199256')
(244, '55.6', '488.2', '584.5', 'Tue, 09 Oct 2012 11:36:09', '734785.49907950440')
(245, '55.6', '489.8', '586.0', 'Tue, 09 Oct 2012 11:36:39', '734785.49942705082')
(246, '55.9', '491.2', '586.5', 'Tue, 09 Oct 2012 11:37:09', '734785.49977456266')
(247, '55.6', '491.9', '588.1', 'Tue, 09 Oct 2012 11:37:39', '734785.50012207392')
(248, '55.6', '492.8', '590.1', 'Tue, 09 Oct 2012 11:38:09', '734785.50046960870')
(249, '55.6', '494.0', '590.1', 'Tue, 09 Oct 2012 11:38:39', '734785.50081713207')
(250, '55.6', '494.9', '592.1', 'Tue, 09 Oct 2012 11:39:09', '734785.50116464368')
(251, '55.6', '496.3', '593.5', 'Tue, 09 Oct 2012 11:39:39', '734785.50151219009')
(252, '55.6', '497.6', '594.1', 'Tue, 09 Oct 2012 11:40:09', '734785.50185970159')
(253, '55.6', '499.2', '596.4', 'Tue, 09 Oct 2012 11:40:39', '734785.50220721366')
(254, '55.6', '500.6', '599.1', 'Tue, 09 Oct 2012 11:41:09', '734785.50255474960')
(255, '55.6', '502.0', '600.4', 'Tue, 09 Oct 2012 11:41:39', '734785.50290223875')
(256, '55.6', '503.4', '601.8', 'Tue, 09 Oct 2012 11:42:09', '734785.50324979611')
(257, '55.6', '504.8', '603.1', 'Tue, 09 Oct 2012 11:42:39', '734785.50359706441')
(258, '55.6', '506.1', '604.7', 'Tue, 09 Oct 2012 11:43:09', '734785.50394465693')
(259, '55.6', '507.5', '606.0', 'Tue, 09 Oct 2012 11:43:39', '734785.50429213408')
(260, '55.9', '508.9', '606.7', 'Tue, 09 Oct 2012 11:44:09', '734785.50463965791')
(261, '55.6', '509.6', '607.4', 'Tue, 09 Oct 2012 11:44:39', '734785.50498716871')
(262, '55.6', '510.3', '608.3', 'Tue, 09 Oct 2012 11:45:09', '734785.50533468137')
(263, '55.6', '511.1', '609.0', 'Tue, 09 Oct 2012 11:45:39', '734785.50568222709')
(264, '55.6', '512.5', '609.8', 'Tue, 09 Oct 2012 11:46:09', '734785.50602958153')
(265, '55.6', '513.9', '611.2', 'Tue, 09 Oct 2012 11:46:39', '734785.50637709338')
(266, '55.6', '514.6', '611.2', 'Tue, 09 Oct 2012 11:47:09', '734785.50672461500')
(267, '55.6', '516.9', '615.5', 'Tue, 09 Oct 2012 11:47:39', '734785.50707188342')
(268, '55.9', '519.6', '619.5', 'Tue, 09 Oct 2012 11:48:09', '734785.50741942972')
(269, '55.9', '523.0', '625.8', 'Tue, 09 Oct 2012 11:48:39', '734785.50776692992')
(270, '55.9', '526.0', '631.1', 'Tue, 09 Oct 2012 11:49:09', '734785.50811445352')
(271, '55.9', '530.1', '637.2', 'Tue, 09 Oct 2012 11:49:39', '734785.50846197631')
(272, '55.9', '532.8', '641.9', 'Tue, 09 Oct 2012 11:50:10', '734785.50880951108')
(273, '55.9', '536.5', '646.6', 'Tue, 09 Oct 2012 11:50:40', '734785.50915703445')
(274, '55.9', '539.2', '652.2', 'Tue, 09 Oct 2012 11:51:10', '734785.50950455654')
(275, '55.9', '541.9', '655.6', 'Tue, 09 Oct 2012 11:51:40', '734785.50985197688')
