Log Date and Time Sun, 05 Apr 2009 12:28:00
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '119.3', '2124.7', '2072.3', 'Sat, 04 Apr 2009 21:28:59', '733501.91249749751')
(24, '118.0', '2130.8', '2090.2', 'Sat, 04 Apr 2009 21:52:59', '733501.92916426517')
(25, '118.2', '2128.5', '2097.5', 'Sat, 04 Apr 2009 21:53:59', '733501.92985862109')
(26, '117.7', '2122.7', '2088.7', 'Sat, 04 Apr 2009 21:54:59', '733501.93055320205')
(27, '117.5', '2119.2', '2085.1', 'Sat, 04 Apr 2009 21:55:59', '733501.93124755437')
(28, '117.0', '2116.9', '2086.4', 'Sat, 04 Apr 2009 21:56:59', '733501.93194209121')
(29, '116.6', '2110.6', '2077.6', 'Sat, 04 Apr 2009 21:57:59', '733501.93263648904')
(30, '116.6', '2104.8', '2070.1', 'Sat, 04 Apr 2009 21:58:59', '733501.93333083892')
(31, '117.7', '2104.2', '2067.1', 'Sat, 04 Apr 2009 21:59:59', '733501.93402542383')
(32, '118.4', '2118.4', '2073.1', 'Sat, 04 Apr 2009 22:00:59', '733501.93471977592')
(33, '118.4', '2108.3', '2068.8', 'Sat, 04 Apr 2009 22:01:59', '733501.93541435909')
(34, '118.6', '2105.8', '2064.1', 'Sat, 04 Apr 2009 22:02:59', '733501.93610867835')
(35, '118.8', '2115.6', '2069.8', 'Sat, 04 Apr 2009 22:03:59', '733501.93680306233')
(36, '118.4', '2122.5', '2062.3', 'Sat, 04 Apr 2009 22:04:59', '733501.93749759928')
(37, '117.7', '2133.1', '2074.1', 'Sat, 04 Apr 2009 22:05:59', '733501.93819199759')
(38, '117.0', '2123.2', '2072.1', 'Sat, 04 Apr 2009 22:06:59', '733501.93888653489')
(39, '116.4', '2120.9', '2074.4', 'Sat, 04 Apr 2009 22:07:59', '733501.93958093261')
(40, '116.8', '2115.6', '2072.6', 'Sat, 04 Apr 2009 22:08:59', '733501.94027528504')
(41, '117.5', '2109.6', '2064.6', 'Sat, 04 Apr 2009 22:09:59', '733501.94096986880')
(42, '117.7', '2116.1', '2065.4', 'Sat, 04 Apr 2009 22:10:59', '733501.94166426640')
(43, '118.0', '2125.8', '2072.4', 'Sat, 04 Apr 2009 22:11:59', '733501.94235861790')
(44, '118.6', '2115.1', '2064.8', 'Sat, 04 Apr 2009 22:12:59', '733501.94305320119')
(45, '119.1', '2118.7', '2063.8', 'Sat, 04 Apr 2009 22:13:59', '733501.94374755316')
(46, '118.8', '2126.3', '2070.9', 'Sat, 04 Apr 2009 22:14:59', '733501.94444213633')
(47, '118.4', '2126.0', '2070.6', 'Sat, 04 Apr 2009 22:15:59', '733501.94513648807')
(48, '118.4', '2128.3', '2080.6', 'Sat, 04 Apr 2009 22:16:59', '733501.94583088695')
(49, '118.0', '2125.3', '2079.6', 'Sat, 04 Apr 2009 22:17:59', '733501.94652542495')
(50, '117.0', '2120.5', '2081.9', 'Sat, 04 Apr 2009 22:18:59', '733501.94721982081')
(51, '117.3', '2117.9', '2077.4', 'Sat, 04 Apr 2009 22:19:59', '733501.94791417301')
(52, '116.8', '2111.1', '2067.9', 'Sat, 04 Apr 2009 22:20:59', '733501.94860875653')
(53, '116.6', '2116.9', '2068.3', 'Sat, 04 Apr 2009 22:21:59', '733501.94930310873')
(54, '117.5', '2125.8', '2073.9', 'Sat, 04 Apr 2009 22:22:59', '733501.94999769190')
(55, '118.2', '2116.5', '2068.1', 'Sat, 04 Apr 2009 22:23:59', '733501.95069204434')
(56, '118.2', '2115.4', '2066.4', 'Sat, 04 Apr 2009 22:24:59', '733501.95138644148')
(57, '117.5', '2137.2', '2074.4', 'Sat, 04 Apr 2009 22:25:59', '733501.95208098018')
(58, '118.4', '2144.4', '2077.1', 'Sat, 04 Apr 2009 22:26:59', '733501.95277537708')
(59, '118.2', '2137.5', '2089.9', 'Sat, 04 Apr 2009 22:27:59', '733501.95346972882')
(60, '118.0', '2129.9', '2089.7', 'Sat, 04 Apr 2009 22:28:59', '733501.95416431210')
(61, '118.6', '2124.6', '2087.0', 'Sat, 04 Apr 2009 22:29:59', '733501.95485866466')
(62, '118.4', '2118.5', '2078.6', 'Sat, 04 Apr 2009 22:30:59', '733501.95555324713')
(63, '118.0', '2112.2', '2071.4', 'Sat, 04 Apr 2009 22:31:59', '733501.95624760014')
(64, '117.3', '2115.0', '2069.4', 'Sat, 04 Apr 2009 22:32:59', '733501.95694199728')
(65, '117.0', '2127.4', '2073.4', 'Sat, 04 Apr 2009 22:33:59', '733501.95763653493')
(66, '117.3', '2129.9', '2074.4', 'Sat, 04 Apr 2009 22:34:59', '733501.95833093254')
(67, '116.6', '2132.4', '2086.7', 'Sat, 04 Apr 2009 22:35:59', '733501.95902528509')
(68, '116.2', '2129.6', '2081.7', 'Sat, 04 Apr 2009 22:36:59', '733501.95971986779')
(69, '116.8', '2122.8', '2076.6', 'Sat, 04 Apr 2009 22:37:59', '733501.96041422046')
(70, '116.6', '2121.3', '2072.9', 'Sat, 04 Apr 2009 22:38:59', '733501.96110880305')
(71, '116.2', '2132.2', '2080.9', 'Sat, 04 Apr 2009 22:39:59', '733501.96180315479')
(72, '116.6', '2120.0', '2074.4', 'Sat, 04 Apr 2009 22:40:59', '733501.96249755321')
(73, '116.2', '2120.2', '2073.1', 'Sat, 04 Apr 2009 22:41:59', '733501.96319209062')
(74, '115.9', '2137.2', '2082.1', 'Sat, 04 Apr 2009 22:42:59', '733501.96388648835')
(75, '115.9', '2148.9', '2083.1', 'Sat, 04 Apr 2009 22:43:59', '733501.96458083880')
(76, '115.9', '2149.2', '2107.3', 'Sat, 04 Apr 2009 22:44:59', '733501.96527542360')
(77, '116.2', '2142.1', '2113.6', 'Sat, 04 Apr 2009 22:45:59', '733501.96596977569')
(78, '115.9', '2137.0', '2102.8', 'Sat, 04 Apr 2009 22:46:59', '733501.96666436037')
(79, '115.5', '2132.4', '2100.5', 'Sat, 04 Apr 2009 22:47:59', '733501.96735871071')
(80, '115.7', '2130.1', '2099.0', 'Sat, 04 Apr 2009 22:48:59', '733501.96805310855')
(81, '115.5', '2125.3', '2088.4', 'Sat, 04 Apr 2009 22:49:59', '733501.96874764620')
(82, '115.2', '2131.9', '2089.4', 'Sat, 04 Apr 2009 22:50:59', '733501.96944204369')
(83, '115.0', '2130.9', '2087.4', 'Sat, 04 Apr 2009 22:51:59', '733501.97013639542')
(84, '115.0', '2120.7', '2079.9', 'Sat, 04 Apr 2009 22:52:59', '733501.97083097964')
(85, '114.8', '2118.5', '2077.4', 'Sat, 04 Apr 2009 22:53:59', '733501.97152533091')
(86, '114.3', '2129.9', '2083.4', 'Sat, 04 Apr 2009 22:54:59', '733501.97221991455')
(87, '115.0', '2148.2', '2084.6', 'Sat, 04 Apr 2009 22:55:59', '733501.97291426593')
(88, '115.2', '2147.4', '2077.6', 'Sat, 04 Apr 2009 22:56:59', '733501.97360866447')
(89, '114.8', '2162.5', '2085.4', 'Sat, 04 Apr 2009 22:57:59', '733501.97430320154')
(90, '115.0', '2151.5', '2096.5', 'Sat, 04 Apr 2009 22:58:59', '733501.97499760077')
(91, '115.2', '2139.8', '2095.2', 'Sat, 04 Apr 2009 22:59:59', '733501.97569195100')
(92, '115.5', '2133.2', '2087.7', 'Sat, 04 Apr 2009 23:00:59', '733501.97638653510')
(93, '115.7', '2124.6', '2081.1', 'Sat, 04 Apr 2009 23:01:59', '733501.97708088660')
(94, '116.6', '2130.7', '2084.4', 'Sat, 04 Apr 2009 23:02:59', '733501.97777528444')
(95, '116.6', '2124.1', '2080.1', 'Sat, 04 Apr 2009 23:03:59', '733501.97846982162')
(96, '117.0', '2124.3', '2079.6', 'Sat, 04 Apr 2009 23:04:59', '733501.97916422004')
(97, '118.0', '2139.0', '2089.4', 'Sat, 04 Apr 2009 23:05:59', '733501.97985875723')
(98, '118.2', '2141.6', '2093.9', 'Sat, 04 Apr 2009 23:06:59', '733501.98055315553')
(99, '118.2', '2142.6', '2099.8', 'Sat, 04 Apr 2009 23:07:59', '733501.98124750669')
(100, '118.4', '2138.2', '2098.0', 'Sat, 04 Apr 2009 23:08:59', '733501.98194209009')
(101, '118.4', '2135.2', '2099.0', 'Sat, 04 Apr 2009 23:09:59', '733501.98263644206')
(102, '118.0', '2131.1', '2091.2', 'Sat, 04 Apr 2009 23:10:59', '733501.98333084071')
(103, '117.7', '2125.1', '2085.1', 'Sat, 04 Apr 2009 23:11:59', '733501.98402537697')
(104, '117.0', '2120.3', '2079.1', 'Sat, 04 Apr 2009 23:12:59', '733501.98471977585')
(105, '117.0', '2127.1', '2084.6', 'Sat, 04 Apr 2009 23:13:59', '733501.98541431339')
(106, '117.0', '2128.6', '2087.9', 'Sat, 04 Apr 2009 23:14:59', '733501.98610871076')
(107, '116.6', '2124.6', '2086.7', 'Sat, 04 Apr 2009 23:15:59', '733501.98680306249')
(108, '116.8', '2121.5', '2086.2', 'Sat, 04 Apr 2009 23:16:59', '733501.98749764590')
(109, '117.5', '2121.5', '2091.7', 'Sat, 04 Apr 2009 23:17:59', '733501.98819199810')
(110, '118.0', '2118.2', '2086.7', 'Sat, 04 Apr 2009 23:18:59', '733501.98888639617')
(111, '118.0', '2112.7', '2077.6', 'Sat, 04 Apr 2009 23:19:59', '733501.98958093324')
(112, '118.4', '2116.0', '2076.6', 'Sat, 04 Apr 2009 23:20:59', '733501.99027533084')
(113, '118.8', '2125.6', '2084.9', 'Sat, 04 Apr 2009 23:21:59', '733501.99096986919')
(114, '118.4', '2115.0', '2076.9', 'Sat, 04 Apr 2009 23:22:59', '733501.99166426598')
(115, '118.2', '2110.4', '2073.8', 'Sat, 04 Apr 2009 23:23:59', '733501.99235861783')
(116, '117.7', '2118.0', '2082.9', 'Sat, 04 Apr 2009 23:24:59', '733501.99305320112')
(117, '117.0', '2128.6', '2077.1', 'Sat, 04 Apr 2009 23:25:59', '733501.99374755402')
(118, '117.3', '2133.2', '2080.6', 'Sat, 04 Apr 2009 23:26:59', '733501.99444195116')
(119, '116.8', '2130.2', '2087.7', 'Sat, 04 Apr 2009 23:27:59', '733501.99513648893')
(120, '117.0', '2124.8', '2084.4', 'Sat, 04 Apr 2009 23:28:59', '733501.99583088630')
(121, '117.3', '2122.1', '2089.2', 'Sat, 04 Apr 2009 23:29:59', '733501.99652542372')
(122, '117.3', '2115.7', '2078.9', 'Sat, 04 Apr 2009 23:30:59', '733501.99721982109')
(123, '117.3', '2110.4', '2072.3', 'Sat, 04 Apr 2009 23:31:59', '733501.99791417411')
(124, '117.0', '2118.8', '2074.4', 'Sat, 04 Apr 2009 23:32:59', '733501.99860875669')
(125, '116.8', '2118.8', '2074.1', 'Sat, 04 Apr 2009 23:33:59', '733501.99930310936')
(126, '116.4', '2108.1', '2070.3', 'Sat, 04 Apr 2009 23:34:59', '733501.99999750673')
(127, '116.2', '2114.7', '2070.8', 'Sat, 04 Apr 2009 23:35:59', '733502.00069204380')
(128, '116.8', '2127.6', '2079.1', 'Sat, 04 Apr 2009 23:36:59', '733502.00138644176')
(129, '116.8', '2129.7', '2076.6', 'Sat, 04 Apr 2009 23:37:59', '733502.00208097929')
(130, '116.4', '2144.9', '2092.7', 'Sat, 04 Apr 2009 23:38:59', '733502.00277537724')
(131, '116.6', '2136.8', '2094.5', 'Sat, 04 Apr 2009 23:39:59', '733502.00346973026')
(132, '116.2', '2129.2', '2092.5', 'Sat, 04 Apr 2009 23:40:59', '733502.00416431215')
(133, '115.7', '2120.5', '2082.1', 'Sat, 04 Apr 2009 23:41:59', '733502.00485871115')
(134, '115.9', '2114.5', '2074.9', 'Sat, 04 Apr 2009 23:42:59', '733502.00555306219')
(135, '116.2', '2125.9', '2082.9', 'Sat, 04 Apr 2009 23:43:59', '733502.00624764583')
(136, '116.8', '2115.8', '2075.1', 'Sat, 04 Apr 2009 23:44:59', '733502.00694199733')
(137, '116.6', '2110.4', '2071.6', 'Sat, 04 Apr 2009 23:45:59', '733502.00763658120')
(138, '115.9', '2116.5', '2075.4', 'Sat, 04 Apr 2009 23:46:59', '733502.00833093270')
(139, '116.8', '2133.2', '2084.2', 'Sat, 04 Apr 2009 23:47:59', '733502.00902533159')
(140, '116.8', '2138.3', '2073.9', 'Sat, 04 Apr 2009 23:48:59', '733502.00971986877')
(141, '116.8', '2141.6', '2075.6', 'Sat, 04 Apr 2009 23:49:59', '733502.01041426649')
(142, '117.0', '2137.3', '2096.0', 'Sat, 04 Apr 2009 23:50:59', '733502.01110861800')
(143, '116.8', '2131.2', '2103.8', 'Sat, 04 Apr 2009 23:51:59', '733502.01180320140')
(144, '116.4', '2126.4', '2100.3', 'Sat, 04 Apr 2009 23:52:59', '733502.01249755314')
(145, '116.2', '2122.3', '2093.0', 'Sat, 04 Apr 2009 23:53:59', '733502.01319213491')
(146, '115.7', '2116.3', '2082.4', 'Sat, 04 Apr 2009 23:54:59', '733502.01388648921')
(147, '116.6', '2117.0', '2080.4', 'Sat, 04 Apr 2009 23:55:59', '733502.01458088611')
(148, '116.8', '2127.1', '2089.2', 'Sat, 04 Apr 2009 23:56:59', '733502.01527542470')
(149, '116.6', '2130.4', '2098.0', 'Sat, 04 Apr 2009 23:57:59', '733502.01596982195')
(150, '117.0', '2120.5', '2085.9', 'Sat, 04 Apr 2009 23:58:59', '733502.01666417357')
(151, '117.0', '2114.5', '2079.4', 'Sat, 04 Apr 2009 23:59:59', '733502.01735871471')
(152, '116.8', '2122.8', '2082.7', 'Sun, 05 Apr 2009 00:00:59', '733502.01805302978')
(153, '116.2', '2131.2', '2086.2', 'Sun, 05 Apr 2009 00:01:59', '733502.01874760096')
(154, '115.9', '2132.2', '2084.9', 'Sun, 05 Apr 2009 00:02:59', '733502.01944199926')
(155, '115.5', '2130.9', '2082.7', 'Sun, 05 Apr 2009 00:03:59', '733502.02013653622')
(156, '115.0', '2132.4', '2091.7', 'Sun, 05 Apr 2009 00:04:59', '733502.02083088818')
(157, '114.6', '2137.2', '2088.7', 'Sun, 05 Apr 2009 00:05:59', '733502.02152542409')
(158, '115.5', '2137.2', '2097.5', 'Sun, 05 Apr 2009 00:06:59', '733502.02221982169')
(159, '115.7', '2133.2', '2092.2', 'Sun, 05 Apr 2009 00:07:59', '733502.02291417425')
(160, '115.5', '2125.3', '2083.9', 'Sun, 05 Apr 2009 00:08:59', '733502.02360875707')
(161, '115.9', '2127.9', '2084.1', 'Sun, 05 Apr 2009 00:09:59', '733502.02430310904')
(162, '115.5', '2136.0', '2089.4', 'Sun, 05 Apr 2009 00:10:59', '733502.02499769360')
(163, '114.8', '2138.1', '2088.9', 'Sun, 05 Apr 2009 00:11:59', '733502.02569204406')
(164, '114.6', '2129.2', '2082.1', 'Sun, 05 Apr 2009 00:12:59', '733502.02638639661')
(165, '114.8', '2134.5', '2088.7', 'Sun, 05 Apr 2009 00:13:59', '733502.02708093473')
(166, '115.0', '2136.0', '2090.4', 'Sun, 05 Apr 2009 00:14:59', '733502.02777546993')
(167, '115.0', '2134.5', '2086.7', 'Sun, 05 Apr 2009 00:15:59', '733502.02846977965')
(168, '114.6', '2129.7', '2081.7', 'Sun, 05 Apr 2009 00:16:59', '733502.02916435967')
(169, '114.1', '2137.8', '2088.7', 'Sun, 05 Apr 2009 00:17:59', '733502.02985871118')
(170, '114.3', '2138.3', '2092.7', 'Sun, 05 Apr 2009 00:18:59', '733502.03055310913')
(171, '115.0', '2136.8', '2088.4', 'Sun, 05 Apr 2009 00:19:59', '733502.03124764585')
(172, '115.2', '2135.3', '2082.9', 'Sun, 05 Apr 2009 00:20:59', '733502.03194204404')
(173, '115.0', '2141.6', '2086.2', 'Sun, 05 Apr 2009 00:21:59', '733502.03263653559')
(174, '115.5', '2137.0', '2096.2', 'Sun, 05 Apr 2009 00:22:59', '733502.03333093354')
(175, '116.2', '2143.4', '2093.7', 'Sun, 05 Apr 2009 00:23:59', '733502.03402528528')
(176, '116.4', '2157.2', '2101.5', 'Sun, 05 Apr 2009 00:24:59', '733502.03471982316')
(177, '116.6', '2151.8', '2097.5', 'Sun, 05 Apr 2009 00:25:59', '733502.03541423113')
(178, '116.4', '2135.3', '2086.9', 'Sun, 05 Apr 2009 00:26:59', '733502.03610875702')
(179, '116.6', '2139.3', '2084.1', 'Sun, 05 Apr 2009 00:27:59', '733502.03680315544')
(180, '116.6', '2138.5', '2093.7', 'Sun, 05 Apr 2009 00:28:59', '733502.03749750939')
(181, '116.6', '2130.4', '2085.7', 'Sun, 05 Apr 2009 00:29:59', '733502.03819205018')
(182, '117.3', '2136.0', '2084.1', 'Sun, 05 Apr 2009 00:30:59', '733502.03888639610')
(183, '117.0', '2149.2', '2090.2', 'Sun, 05 Apr 2009 00:31:59', '733502.03958098067')
(184, '117.0', '2137.5', '2084.6', 'Sun, 05 Apr 2009 00:32:59', '733502.04027533112')
(185, '117.0', '2142.3', '2082.6', 'Sun, 05 Apr 2009 00:33:59', '733502.04096991441')
(186, '116.6', '2140.8', '2090.4', 'Sun, 05 Apr 2009 00:34:59', '733502.04166426533')
(187, '115.9', '2154.0', '2088.7', 'Sun, 05 Apr 2009 00:35:59', '733502.04235866445')
(188, '116.2', '2155.6', '2088.2', 'Sun, 05 Apr 2009 00:36:59', '733502.04305320070')
(189, '116.2', '2150.2', '2083.9', 'Sun, 05 Apr 2009 00:37:59', '733502.04374759959')
(190, '115.9', '2160.2', '2094.4', 'Sun, 05 Apr 2009 00:38:59', '733502.04444195179')
(191, '116.2', '2154.3', '2089.7', 'Sun, 05 Apr 2009 00:39:59', '733502.04513653496')
(192, '116.2', '2156.9', '2093.2', 'Sun, 05 Apr 2009 00:40:59', '733502.04583088716')
(193, '115.7', '2149.0', '2087.2', 'Sun, 05 Apr 2009 00:41:59', '733502.04652547173')
(194, '115.2', '2148.2', '2093.7', 'Sun, 05 Apr 2009 00:42:59', '733502.04721982218')
(195, '114.8', '2139.8', '2087.4', 'Sun, 05 Apr 2009 00:43:59', '733502.04791421990')
(196, '115.0', '2134.2', '2082.7', 'Sun, 05 Apr 2009 00:44:59', '733502.04860875732')
(197, '115.5', '2146.4', '2088.2', 'Sun, 05 Apr 2009 00:45:59', '733502.04930315388')
(198, '115.7', '2151.3', '2088.9', 'Sun, 05 Apr 2009 00:46:59', '733502.04999750643')
(199, '115.9', '2155.3', '2091.2', 'Sun, 05 Apr 2009 00:47:59', '733502.05069208948')
(200, '116.4', '2142.1', '2083.9', 'Sun, 05 Apr 2009 00:48:59', '733502.05138644227')
(201, '115.9', '2155.8', '2090.2', 'Sun, 05 Apr 2009 00:49:59', '733502.05208102590')
(202, '115.7', '2149.5', '2097.5', 'Sun, 05 Apr 2009 00:50:59', '733502.05277537741')
(203, '116.4', '2146.9', '2099.3', 'Sun, 05 Apr 2009 00:51:59', '733502.05346977478')
(204, '116.6', '2144.1', '2092.7', 'Sun, 05 Apr 2009 00:52:59', '733502.05416431278')
(205, '116.4', '2146.2', '2087.9', 'Sun, 05 Apr 2009 00:53:59', '733502.05485871120')
(206, '116.6', '2154.8', '2094.0', 'Sun, 05 Apr 2009 00:54:59', '733502.05555306270')
(207, '116.6', '2149.3', '2089.9', 'Sun, 05 Apr 2009 00:55:59', '733502.05624764587')
(208, '116.6', '2155.1', '2089.2', 'Sun, 05 Apr 2009 00:56:59', '733502.05694199947')
(209, '117.0', '2177.1', '2100.3', 'Sun, 05 Apr 2009 00:57:59', '733502.05763639591')
(210, '117.3', '2160.2', '2095.0', 'Sun, 05 Apr 2009 00:58:59', '733502.05833093403')
(211, '116.8', '2157.9', '2095.2', 'Sun, 05 Apr 2009 00:59:59', '733502.05902533105')
(212, '117.3', '2181.0', '2109.9', 'Sun, 05 Apr 2009 01:00:59', '733502.05971986824')
(213, '117.5', '2172.7', '2103.5', 'Sun, 05 Apr 2009 01:01:59', '733502.06041426666')
(214, '117.7', '2159.9', '2095.5', 'Sun, 05 Apr 2009 01:02:59', '733502.06110861874')
(215, '117.7', '2156.3', '2100.0', 'Sun, 05 Apr 2009 01:03:59', '733502.06180320168')
(216, '117.5', '2149.4', '2098.8', 'Sun, 05 Apr 2009 01:04:59', '733502.06249755388')
(217, '117.3', '2147.1', '2093.5', 'Sun, 05 Apr 2009 01:05:59', '733502.06319195172')
(218, '116.6', '2164.0', '2099.3', 'Sun, 05 Apr 2009 01:06:59', '733502.06388648867')
(219, '115.7', '2164.2', '2104.3', 'Sun, 05 Apr 2009 01:07:59', '733502.06458088662')
(220, '115.5', '2157.8', '2097.3', 'Sun, 05 Apr 2009 01:08:59', '733502.06527542404')
(221, '115.2', '2160.7', '2097.3', 'Sun, 05 Apr 2009 01:09:59', '733502.06596982235')
(222, '114.8', '2164.0', '2105.6', 'Sun, 05 Apr 2009 01:10:59', '733502.06666417455')
(223, '114.8', '2160.2', '2103.0', 'Sun, 05 Apr 2009 01:11:59', '733502.06735875737')
(224, '114.8', '2151.8', '2095.2', 'Sun, 05 Apr 2009 01:12:59', '733502.06805310911')
(225, '115.7', '2152.8', '2093.2', 'Sun, 05 Apr 2009 01:13:59', '733502.06874750764')
(226, '115.9', '2159.6', '2099.5', 'Sun, 05 Apr 2009 01:14:59', '733502.06944204436')
(227, '115.7', '2171.4', '2102.5', 'Sun, 05 Apr 2009 01:15:59', '733502.07013644220')
(228, '115.2', '2184.5', '2109.6', 'Sun, 05 Apr 2009 01:16:59', '733502.07083102560')
(229, '115.5', '2177.0', '2105.0', 'Sun, 05 Apr 2009 01:17:59', '733502.07152537769')
(230, '115.2', '2162.4', '2096.5', 'Sun, 05 Apr 2009 01:18:59', '733502.07221977436')
(231, '114.6', '2169.1', '2100.5', 'Sun, 05 Apr 2009 01:19:59', '733502.07291431306')
(232, '115.0', '2176.8', '2112.4', 'Sun, 05 Apr 2009 01:20:59', '733502.07360871101')
(233, '115.0', '2177.8', '2103.8', 'Sun, 05 Apr 2009 01:21:59', '733502.07430306380')
(234, '114.8', '2181.2', '2111.4', 'Sun, 05 Apr 2009 01:22:59', '733502.07499764615')
(235, '115.5', '2169.1', '2103.0', 'Sun, 05 Apr 2009 01:23:59', '733502.07569199800')
(236, '115.7', '2183.5', '2112.9', 'Sun, 05 Apr 2009 01:24:59', '733502.07638658106')
(237, '115.2', '2181.7', '2109.9', 'Sun, 05 Apr 2009 01:25:59', '733502.07708093431')
(238, '115.7', '2187.9', '2115.7', 'Sun, 05 Apr 2009 01:26:59', '733502.07777533145')
(239, '115.9', '2172.7', '2108.1', 'Sun, 05 Apr 2009 01:27:59', '733502.07846987038')
(240, '115.2', '2159.7', '2100.0', 'Sun, 05 Apr 2009 01:28:59', '733502.07916426647')
(241, '114.8', '2151.3', '2094.4', 'Sun, 05 Apr 2009 01:29:59', '733502.07985861867')
(242, '115.5', '2145.9', '2091.7', 'Sun, 05 Apr 2009 01:30:59', '733502.08055320161')
(243, '115.2', '2145.9', '2092.4', 'Sun, 05 Apr 2009 01:31:59', '733502.08124755393')
(244, '115.0', '2143.6', '2093.9', 'Sun, 05 Apr 2009 01:32:59', '733502.08194213698')
(245, '114.8', '2137.3', '2088.9', 'Sun, 05 Apr 2009 01:33:59', '733502.08263648988')
(246, '114.8', '2132.5', '2085.4', 'Sun, 05 Apr 2009 01:34:59', '733502.08333088690')
(247, '114.8', '2130.7', '2085.9', 'Sun, 05 Apr 2009 01:35:59', '733502.08402542432')
(248, '115.2', '2129.2', '2083.2', 'Sun, 05 Apr 2009 01:36:59', '733502.08471982204')
(249, '115.7', '2129.9', '2085.9', 'Sun, 05 Apr 2009 01:37:59', '733502.08541417564')
(250, '115.9', '2126.4', '2080.9', 'Sun, 05 Apr 2009 01:38:59', '733502.08610875730')
(251, '116.2', '2128.9', '2080.4', 'Sun, 05 Apr 2009 01:39:59', '733502.08680310950')
(252, '116.2', '2132.7', '2085.9', 'Sun, 05 Apr 2009 01:40:59', '733502.08749769221')
(253, '116.4', '2134.7', '2081.9', 'Sun, 05 Apr 2009 01:41:59', '733502.08819204557')
(254, '117.0', '2135.5', '2086.2', 'Sun, 05 Apr 2009 01:42:59', '733502.08888644248')
(255, '117.5', '2138.3', '2099.3', 'Sun, 05 Apr 2009 01:43:59', '733502.08958097955')
(256, '117.7', '2145.2', '2099.3', 'Sun, 05 Apr 2009 01:44:59', '733502.09027537773')
(257, '117.5', '2138.1', '2090.2', 'Sun, 05 Apr 2009 01:45:59', '733502.09096973075')
(258, '117.3', '2137.3', '2097.5', 'Sun, 05 Apr 2009 01:46:59', '733502.09166431287')
(259, '116.6', '2138.1', '2100.0', 'Sun, 05 Apr 2009 01:47:59', '733502.09235866473')
(260, '115.9', '2133.5', '2091.5', 'Sun, 05 Apr 2009 01:48:59', '733502.09305306280')
(261, '115.2', '2133.2', '2090.2', 'Sun, 05 Apr 2009 01:49:59', '733502.09374760033')
(262, '115.2', '2135.5', '2094.2', 'Sun, 05 Apr 2009 01:50:59', '733502.09444199782')
(263, '115.7', '2136.5', '2094.0', 'Sun, 05 Apr 2009 01:51:59', '733502.09513653500')
(264, '116.4', '2129.7', '2085.6', 'Sun, 05 Apr 2009 01:52:59', '733502.09583093331')
(265, '117.3', '2127.1', '2081.9', 'Sun, 05 Apr 2009 01:53:59', '733502.09652528528')
