Log Date and Time Sat, 11 Apr 2009 09:18:50
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '570.4', '32.0', 'Fri, 10 Apr 2009 10:21:46', '733507.43178818526')
(19, '32.0', '588.4', '32.0', 'Fri, 10 Apr 2009 10:31:16', '733507.43838544853')
(20, '32.0', '589.7', '32.0', 'Fri, 10 Apr 2009 10:31:46', '733507.43873258494')
(21, '32.0', '591.1', '32.0', 'Fri, 10 Apr 2009 10:32:16', '733507.43907976081')
(22, '32.0', '591.8', '32.0', 'Fri, 10 Apr 2009 10:32:46', '733507.43942698324')
(23, '32.0', '594.7', '32.0', 'Fri, 10 Apr 2009 10:33:16', '733507.43977415888')
(24, '32.0', '596.7', '32.0', 'Fri, 10 Apr 2009 10:33:46', '733507.44012152043')
(25, '32.0', '601.3', '32.0', 'Fri, 10 Apr 2009 10:34:16', '733507.44046874309')
(26, '32.0', '602.9', '32.0', 'Fri, 10 Apr 2009 10:34:46', '733507.44081591826')
(27, '32.0', '604.2', '32.0', 'Fri, 10 Apr 2009 10:35:16', '733507.44116314035')
(28, '32.0', '605.6', '32.0', 'Fri, 10 Apr 2009 10:35:46', '733507.44151031633')
(29, '32.0', '606.9', '32.0', 'Fri, 10 Apr 2009 10:36:16', '733507.44185749220')
(30, '32.0', '607.4', '32.0', 'Fri, 10 Apr 2009 10:36:46', '733507.44220471452')
(31, '32.0', '609.0', '32.0', 'Fri, 10 Apr 2009 10:37:16', '733507.44255207549')
(32, '32.0', '610.3', '32.0', 'Fri, 10 Apr 2009 10:37:46', '733507.44289925159')
(33, '32.0', '610.3', '32.0', 'Fri, 10 Apr 2009 10:38:16', '733507.44324647379')
(34, '32.0', '611.0', '32.0', 'Fri, 10 Apr 2009 10:38:46', '733507.44359364978')
(35, '32.0', '612.4', '32.0', 'Fri, 10 Apr 2009 10:39:16', '733507.44394082576')
(36, '32.0', '613.7', '32.0', 'Fri, 10 Apr 2009 10:39:46', '733507.44428804773')
(37, '32.0', '614.4', '32.0', 'Fri, 10 Apr 2009 10:40:16', '733507.44463540893')
(38, '32.0', '615.1', '32.0', 'Fri, 10 Apr 2009 10:40:46', '733507.44498258480')
(39, '32.0', '616.4', '32.0', 'Fri, 10 Apr 2009 10:41:16', '733507.44532980723')
(40, '32.0', '617.8', '32.0', 'Fri, 10 Apr 2009 10:41:46', '733507.44567698310')
(41, '32.0', '617.8', '32.0', 'Fri, 10 Apr 2009 10:42:16', '733507.44602415850')
(42, '32.0', '618.5', '32.0', 'Fri, 10 Apr 2009 10:42:46', '733507.44637138175')
(43, '32.0', '619.2', '32.0', 'Fri, 10 Apr 2009 10:43:16', '733507.44671874249')
(44, '32.0', '620.5', '32.0', 'Fri, 10 Apr 2009 10:43:46', '733507.44706591836')
(45, '32.0', '621.9', '32.0', 'Fri, 10 Apr 2009 10:44:16', '733507.44741314056')
(46, '32.0', '622.5', '32.0', 'Fri, 10 Apr 2009 10:44:46', '733507.44776031643')
(47, '32.0', '622.8', '32.0', 'Fri, 10 Apr 2009 10:45:16', '733507.44810749230')
(48, '32.0', '623.9', '32.0', 'Fri, 10 Apr 2009 10:45:46', '733507.44845471450')
(49, '32.0', '624.8', '32.0', 'Fri, 10 Apr 2009 10:46:16', '733507.44880207558')
(50, '32.0', '625.3', '32.0', 'Fri, 10 Apr 2009 10:46:46', '733507.44914929790')
(51, '32.0', '626.6', '32.0', 'Fri, 10 Apr 2009 10:47:16', '733507.44949647388')
(52, '32.0', '628.2', '32.0', 'Fri, 10 Apr 2009 10:47:46', '733507.44984364975')
(53, '32.0', '628.9', '32.0', 'Fri, 10 Apr 2009 10:48:16', '733507.45019087207')
(54, '32.0', '630.2', '32.0', 'Fri, 10 Apr 2009 10:48:46', '733507.45053804817')
(55, '32.0', '630.9', '32.0', 'Fri, 10 Apr 2009 10:49:16', '733507.45088540902')
(56, '32.0', '631.6', '32.0', 'Fri, 10 Apr 2009 10:49:46', '733507.45123263111')
(57, '32.0', '632.3', '32.0', 'Fri, 10 Apr 2009 10:50:16', '733507.45157980709')
(58, '32.0', '632.9', '32.0', 'Fri, 10 Apr 2009 10:50:46', '733507.45192702941')
(59, '32.0', '634.3', '32.0', 'Fri, 10 Apr 2009 10:51:16', '733507.45227420528')
(60, '32.0', '635.0', '32.0', 'Fri, 10 Apr 2009 10:51:46', '733507.45262138115')
(61, '32.0', '635.6', '32.0', 'Fri, 10 Apr 2009 10:52:16', '733507.45296860347')
(62, '32.0', '636.3', '32.0', 'Fri, 10 Apr 2009 10:52:46', '733507.45331596455')
(63, '32.0', '637.7', '32.0', 'Fri, 10 Apr 2009 10:53:16', '733507.45366314042')
(64, '32.0', '638.3', '32.0', 'Fri, 10 Apr 2009 10:53:46', '733507.45401036285')
(65, '32.0', '639.7', '32.0', 'Fri, 10 Apr 2009 10:54:16', '733507.45435753919')
(66, '32.0', '640.4', '32.0', 'Fri, 10 Apr 2009 10:54:46', '733507.45470471447')
(67, '32.0', '641.1', '32.0', 'Fri, 10 Apr 2009 10:55:16', '733507.45505193667')
(68, '32.0', '641.9', '32.0', 'Fri, 10 Apr 2009 10:55:46', '733507.45539929776')
(69, '32.0', '643.3', '32.0', 'Fri, 10 Apr 2009 10:56:16', '733507.45574647374')
(70, '32.0', '643.3', '32.0', 'Fri, 10 Apr 2009 10:56:46', '733507.45609369571')
(71, '32.0', '645.1', '32.0', 'Fri, 10 Apr 2009 10:57:16', '733507.45644087193')
(72, '32.0', '646.0', '32.0', 'Fri, 10 Apr 2009 10:57:46', '733507.45678804792')
(73, '32.0', '646.7', '32.0', 'Fri, 10 Apr 2009 10:58:16', '733507.45713527012')
(74, '32.0', '647.3', '32.0', 'Fri, 10 Apr 2009 10:58:46', '733507.45748263132')
(75, '32.0', '648.0', '32.0', 'Fri, 10 Apr 2009 10:59:16', '733507.45782980719')
(76, '32.0', '648.7', '32.0', 'Fri, 10 Apr 2009 10:59:46', '733507.45817702950')
(77, '32.0', '650.1', '32.0', 'Fri, 10 Apr 2009 11:00:16', '733507.45852420537')
(78, '32.0', '650.7', '32.0', 'Fri, 10 Apr 2009 11:00:46', '733507.45887142757')
(79, '32.0', '652.1', '32.0', 'Fri, 10 Apr 2009 11:01:16', '733507.45921860344')
(80, '32.0', '652.1', '32.0', 'Fri, 10 Apr 2009 11:01:46', '733507.45956596464')
(81, '32.0', '655.5', '32.0', 'Fri, 10 Apr 2009 11:02:16', '733507.45991318673')
(82, '32.0', '658.2', '32.0', 'Fri, 10 Apr 2009 11:02:46', '733507.46026036271')
(83, '32.0', '661.8', '32.0', 'Fri, 10 Apr 2009 11:03:16', '733507.46060753858')
(84, '32.0', '664.9', '32.0', 'Fri, 10 Apr 2009 11:03:46', '733507.46095476078')
(85, '32.0', '667.8', '32.0', 'Fri, 10 Apr 2009 11:04:16', '733507.46130193665')
(86, '32.0', '670.5', '32.0', 'Fri, 10 Apr 2009 11:04:46', '733507.46164929797')
(87, '32.0', '672.5', '32.0', 'Fri, 10 Apr 2009 11:05:16', '733507.46199652017')
(88, '32.0', '675.2', '32.0', 'Fri, 10 Apr 2009 11:05:46', '733507.46234369674')
(89, '32.0', '677.9', '32.0', 'Fri, 10 Apr 2009 11:06:16', '733507.46269091836')
(90, '32.0', '680.0', '32.0', 'Fri, 10 Apr 2009 11:06:46', '733507.46303809411')
(91, '32.0', '682.6', '32.0', 'Fri, 10 Apr 2009 11:07:16', '733507.46338527009')
(92, '32.0', '684.7', '32.0', 'Fri, 10 Apr 2009 11:07:46', '733507.46373249183')
(93, '32.0', '686.7', '32.0', 'Fri, 10 Apr 2009 11:08:16', '733507.46407985338')
(94, '32.0', '688.7', '32.0', 'Fri, 10 Apr 2009 11:08:46', '733507.46442702936')
(95, '32.0', '690.0', '32.0', 'Fri, 10 Apr 2009 11:09:16', '733507.46477425145')
(96, '32.0', '692.1', '32.0', 'Fri, 10 Apr 2009 11:09:46', '733507.46512142755')
(97, '32.0', '694.1', '32.0', 'Fri, 10 Apr 2009 11:10:16', '733507.46546860342')
(98, '32.0', '696.1', '32.0', 'Fri, 10 Apr 2009 11:10:46', '733507.46581582562')
(99, '32.0', '697.4', '32.0', 'Fri, 10 Apr 2009 11:11:16', '733507.46616318624')
(100, '32.0', '699.7', '32.0', 'Fri, 10 Apr 2009 11:11:46', '733507.46651036269')
(101, '32.0', '700.8', '32.0', 'Fri, 10 Apr 2009 11:12:16', '733507.46685758501')
(102, '32.0', '703.0', '32.0', 'Fri, 10 Apr 2009 11:12:46', '733507.46720476076')
(103, '32.0', '705.0', '32.0', 'Fri, 10 Apr 2009 11:13:16', '733507.46755198261')
(104, '32.0', '707.1', '32.0', 'Fri, 10 Apr 2009 11:13:46', '733507.46789915906')
(105, '32.0', '708.4', '32.0', 'Fri, 10 Apr 2009 11:14:16', '733507.46824652015')
(106, '32.0', '710.4', '32.0', 'Fri, 10 Apr 2009 11:14:46', '733507.46859374247')
(107, '32.0', '711.8', '32.0', 'Fri, 10 Apr 2009 11:15:16', '733507.46894091833')
(108, '32.0', '713.8', '32.0', 'Fri, 10 Apr 2009 11:15:46', '733507.46928809432')
(109, '32.0', '715.1', '32.0', 'Fri, 10 Apr 2009 11:16:16', '733507.46963531629')
(110, '32.0', '716.4', '32.0', 'Fri, 10 Apr 2009 11:16:46', '733507.46998249227')
(111, '32.0', '717.8', '32.0', 'Fri, 10 Apr 2009 11:17:16', '733507.47032985347')
(112, '32.0', '719.8', '32.0', 'Fri, 10 Apr 2009 11:17:46', '733507.47067707579')
(113, '32.0', '721.1', '32.0', 'Fri, 10 Apr 2009 11:18:16', '733507.47102425178')
(114, '32.0', '722.5', '32.0', 'Fri, 10 Apr 2009 11:18:46', '733507.47137142764')
(115, '32.0', '724.5', '32.0', 'Fri, 10 Apr 2009 11:19:16', '733507.47171864961')
(116, '32.0', '726.0', '32.0', 'Fri, 10 Apr 2009 11:19:46', '733507.47206582560')
(117, '32.0', '727.4', '32.0', 'Fri, 10 Apr 2009 11:20:16', '733507.47241318680')
(118, '32.0', '728.7', '32.0', 'Fri, 10 Apr 2009 11:20:46', '733507.47276040900')
(119, '32.0', '730.7', '32.0', 'Fri, 10 Apr 2009 11:21:16', '733507.47310758487')
(120, '32.0', '732.1', '32.0', 'Fri, 10 Apr 2009 11:21:46', '733507.47345476085')
(121, '32.0', '734.1', '32.0', 'Fri, 10 Apr 2009 11:22:16', '733507.47380198317')
(122, '32.0', '735.4', '32.0', 'Fri, 10 Apr 2009 11:22:46', '733507.47414915916')
(123, '32.0', '737.4', '32.0', 'Fri, 10 Apr 2009 11:23:16', '733507.47449638136')
(124, '32.0', '738.1', '32.0', 'Fri, 10 Apr 2009 11:23:46', '733507.47484374233')
(125, '32.0', '739.4', '32.0', 'Fri, 10 Apr 2009 11:24:16', '733507.47519091831')
(126, '32.0', '740.8', '32.0', 'Fri, 10 Apr 2009 11:24:46', '733507.47553814074')
(127, '32.0', '742.1', '32.0', 'Fri, 10 Apr 2009 11:25:16', '733507.47588531638')
(128, '32.0', '743.4', '32.0', 'Fri, 10 Apr 2009 11:25:46', '733507.47623249225')
(129, '32.0', '745.6', '32.0', 'Fri, 10 Apr 2009 11:26:16', '733507.47657971457')
(130, '32.0', '746.3', '32.0', 'Fri, 10 Apr 2009 11:26:46', '733507.47692707565')
(131, '32.0', '747.6', '32.0', 'Fri, 10 Apr 2009 11:27:16', '733507.47727429774')
(132, '32.0', '749.7', '32.0', 'Fri, 10 Apr 2009 11:27:46', '733507.47762147395')
(133, '32.0', '750.3', '32.0', 'Fri, 10 Apr 2009 11:28:16', '733507.47796864982')
(134, '32.0', '752.3', '32.0', 'Fri, 10 Apr 2009 11:28:46', '733507.47831587202')
(135, '32.0', '753.0', '32.0', 'Fri, 10 Apr 2009 11:29:16', '733507.47866304743')
(136, '32.0', '754.3', '32.0', 'Fri, 10 Apr 2009 11:29:46', '733507.47901040898')
(137, '32.0', '756.3', '32.0', 'Fri, 10 Apr 2009 11:30:16', '733507.47935763118')
(138, '32.0', '757.0', '32.0', 'Fri, 10 Apr 2009 11:30:46', '733507.47970480728')
(139, '32.0', '759.0', '32.0', 'Fri, 10 Apr 2009 11:31:16', '733507.48005198315')
(140, '32.0', '759.7', '32.0', 'Fri, 10 Apr 2009 11:31:46', '733507.48039920500')
(141, '32.0', '761.0', '32.0', 'Fri, 10 Apr 2009 11:32:16', '733507.48074638122')
(142, '32.0', '762.5', '32.0', 'Fri, 10 Apr 2009 11:32:46', '733507.48109374242')
(143, '32.0', '764.3', '32.0', 'Fri, 10 Apr 2009 11:33:16', '733507.48144096474')
(144, '32.0', '765.7', '32.0', 'Fri, 10 Apr 2009 11:33:46', '733507.48178814061')
(145, '32.0', '767.0', '32.0', 'Fri, 10 Apr 2009 11:34:16', '733507.48213531659')
(146, '32.0', '768.6', '32.0', 'Fri, 10 Apr 2009 11:34:46', '733507.48248253867')
(147, '32.0', '769.2', '32.0', 'Fri, 10 Apr 2009 11:35:16', '733507.48282971466')
(148, '32.0', '770.6', '32.0', 'Fri, 10 Apr 2009 11:35:46', '733507.48317707586')
(149, '32.0', '771.9', '32.0', 'Fri, 10 Apr 2009 11:36:16', '733507.48352429760')
(150, '32.0', '773.9', '32.0', 'Fri, 10 Apr 2009 11:36:46', '733507.48387147393')
(151, '32.0', '774.6', '32.0', 'Fri, 10 Apr 2009 11:37:16', '733507.48421869625')
(152, '32.0', '775.9', '32.0', 'Fri, 10 Apr 2009 11:37:46', '733507.48456587212')
(153, '32.0', '777.2', '32.0', 'Fri, 10 Apr 2009 11:38:16', '733507.48491304868')
(154, '32.0', '777.9', '32.0', 'Fri, 10 Apr 2009 11:38:46', '733507.48526026972')
(155, '32.0', '780.1', '32.0', 'Fri, 10 Apr 2009 11:39:16', '733507.48560763127')
(156, '32.0', '781.9', '32.0', 'Fri, 10 Apr 2009 11:39:46', '733507.48595480726')
(157, '32.0', '782.5', '32.0', 'Fri, 10 Apr 2009 11:40:16', '733507.48630202946')
(158, '32.0', '784.1', '32.0', 'Fri, 10 Apr 2009 11:40:46', '733507.48664920544')
(159, '32.0', '785.4', '32.0', 'Fri, 10 Apr 2009 11:41:16', '733507.48699638189')
(160, '32.0', '786.1', '32.0', 'Fri, 10 Apr 2009 11:41:46', '733507.48734360468')
(161, '32.0', '788.1', '32.0', 'Fri, 10 Apr 2009 11:42:16', '733507.48769096448')
(162, '32.0', '789.4', '32.0', 'Fri, 10 Apr 2009 11:42:46', '733507.48803818668')
(163, '32.0', '790.1', '32.0', 'Fri, 10 Apr 2009 11:43:16', '733507.48838536278')
(164, '32.0', '791.4', '32.0', 'Fri, 10 Apr 2009 11:43:46', '733507.48873253854')
(165, '32.0', '792.7', '32.0', 'Fri, 10 Apr 2009 11:44:16', '733507.48907976097')
(166, '32.0', '794.0', '32.0', 'Fri, 10 Apr 2009 11:44:46', '733507.48942693672')
(167, '32.0', '794.7', '32.0', 'Fri, 10 Apr 2009 11:45:16', '733507.48977429792')
(168, '32.0', '796.0', '32.0', 'Fri, 10 Apr 2009 11:45:46', '733507.49012151954')
(169, '32.0', '797.4', '32.0', 'Fri, 10 Apr 2009 11:46:16', '733507.49046869611')
(170, '32.0', '798.7', '32.0', 'Fri, 10 Apr 2009 11:46:46', '733507.49081587198')
(171, '32.0', '800.3', '32.0', 'Fri, 10 Apr 2009 11:47:16', '733507.49116309418')
(172, '32.0', '800.7', '32.0', 'Fri, 10 Apr 2009 11:47:46', '733507.49151027005')
(173, '32.0', '802.0', '32.0', 'Fri, 10 Apr 2009 11:48:16', '733507.49185763125')
(174, '32.0', '802.9', '32.0', 'Fri, 10 Apr 2009 11:48:46', '733507.49220485322')
(175, '32.0', '804.2', '32.0', 'Fri, 10 Apr 2009 11:49:16', '733507.49255202932')
(176, '32.0', '805.6', '32.0', 'Fri, 10 Apr 2009 11:49:46', '733507.49289920588')
(177, '32.0', '806.9', '32.0', 'Fri, 10 Apr 2009 11:50:16', '733507.49324642750')
(178, '32.0', '808.2', '32.0', 'Fri, 10 Apr 2009 11:50:46', '733507.49359360337')
(179, '32.0', '808.9', '32.0', 'Fri, 10 Apr 2009 11:51:16', '733507.49394077924')
(180, '32.0', '809.5', '32.0', 'Fri, 10 Apr 2009 11:51:46', '733507.49428818678')
(181, '32.0', '810.9', '32.0', 'Fri, 10 Apr 2009 11:52:16', '733507.49463536276')
(182, '32.0', '812.2', '32.0', 'Fri, 10 Apr 2009 11:52:46', '733507.49498258496')
(183, '32.0', '813.7', '32.0', 'Fri, 10 Apr 2009 11:53:16', '733507.49532976095')
(184, '32.0', '815.1', '32.0', 'Fri, 10 Apr 2009 11:53:46', '733507.49567693681')
(185, '32.0', '815.7', '32.0', 'Fri, 10 Apr 2009 11:54:16', '733507.49602415890')
(186, '32.0', '817.1', '32.0', 'Fri, 10 Apr 2009 11:54:46', '733507.49637152010')
(187, '32.0', '818.2', '32.0', 'Fri, 10 Apr 2009 11:55:16', '733507.49671869597')
(188, '32.0', '818.8', '32.0', 'Fri, 10 Apr 2009 11:55:46', '733507.49706591829')
(189, '32.0', '820.4', '32.0', 'Fri, 10 Apr 2009 11:56:16', '733507.49741309416')
(190, '32.0', '824.3', '32.0', 'Fri, 10 Apr 2009 11:56:46', '733507.49776031647')
(191, '32.0', '828.3', '32.0', 'Fri, 10 Apr 2009 11:57:16', '733507.49810749246')
(192, '32.0', '831.6', '32.0', 'Fri, 10 Apr 2009 11:57:46', '733507.49845485343')
(193, '32.0', '834.9', '32.0', 'Fri, 10 Apr 2009 11:58:16', '733507.49880207563')
(194, '32.0', '837.6', '32.0', 'Fri, 10 Apr 2009 11:58:46', '733507.49914925173')
(195, '32.0', '840.2', '32.0', 'Fri, 10 Apr 2009 11:59:16', '733507.49949642748')
(196, '32.0', '842.2', '32.0', 'Fri, 10 Apr 2009 11:59:46', '733507.49984364980')
(197, '32.0', '845.1', '32.0', 'Fri, 10 Apr 2009 12:00:16', '733507.50019082555')
(198, '32.0', '847.5', '32.0', 'Fri, 10 Apr 2009 12:00:46', '733507.50053818675')
(199, '32.0', '849.7', '32.0', 'Fri, 10 Apr 2009 12:01:16', '733507.50088540895')
(200, '32.0', '851.7', '32.0', 'Fri, 10 Apr 2009 12:01:46', '733507.50123258459')
(201, '32.0', '854.4', '32.0', 'Fri, 10 Apr 2009 12:02:16', '733507.50157976104')
(202, '32.0', '856.3', '32.0', 'Fri, 10 Apr 2009 12:02:46', '733507.50192698312')
(203, '32.0', '857.7', '32.0', 'Fri, 10 Apr 2009 12:03:16', '733507.50227415899')
(204, '32.0', '860.3', '32.0', 'Fri, 10 Apr 2009 12:03:46', '733507.50262152019')
(205, '32.0', '861.0', '32.0', 'Fri, 10 Apr 2009 12:04:16', '733507.50296874216')
(206, '32.0', '863.6', '32.0', 'Fri, 10 Apr 2009 12:04:46', '733507.50331591815')
(207, '32.0', '866.3', '32.0', 'Fri, 10 Apr 2009 12:05:16', '733507.50366314035')
(208, '32.0', '866.9', '32.0', 'Fri, 10 Apr 2009 12:05:46', '733507.50401031645')
(209, '32.0', '869.6', '32.0', 'Fri, 10 Apr 2009 12:06:16', '733507.50435749232')
(210, '32.0', '870.9', '32.0', 'Fri, 10 Apr 2009 12:06:46', '733507.50470471464')
(211, '32.0', '872.9', '32.0', 'Fri, 10 Apr 2009 12:07:16', '733507.50505207560')
(212, '32.0', '875.0', '32.0', 'Fri, 10 Apr 2009 12:07:46', '733507.50539925171')
(213, '32.0', '876.4', '32.0', 'Fri, 10 Apr 2009 12:08:16', '733507.50574647391')
(214, '32.0', '878.4', '32.0', 'Fri, 10 Apr 2009 12:08:46', '733507.50609364989')
(215, '32.0', '879.7', '32.0', 'Fri, 10 Apr 2009 12:09:16', '733507.50644087198')
(216, '32.0', '881.7', '32.0', 'Fri, 10 Apr 2009 12:09:46', '733507.50678804785')
(217, '32.0', '883.0', '32.0', 'Fri, 10 Apr 2009 12:10:16', '733507.50713540893')
(218, '32.0', '885.0', '32.0', 'Fri, 10 Apr 2009 12:10:46', '733507.50748263113')
(219, '32.0', '886.3', '32.0', 'Fri, 10 Apr 2009 12:11:16', '733507.50782980712')
(220, '32.0', '887.6', '32.0', 'Fri, 10 Apr 2009 12:11:46', '733507.50817698298')
(221, '32.0', '889.6', '32.0', 'Fri, 10 Apr 2009 12:12:16', '733507.50852420519')
(222, '32.0', '890.9', '32.0', 'Fri, 10 Apr 2009 12:12:46', '733507.50887138117')
(223, '32.0', '892.9', '32.0', 'Fri, 10 Apr 2009 12:13:16', '733507.50921874237')
(224, '32.0', '894.4', '32.0', 'Fri, 10 Apr 2009 12:13:46', '733507.50956596457')
(225, '32.0', '895.7', '32.0', 'Fri, 10 Apr 2009 12:14:16', '733507.50991314056')
(226, '32.0', '898.2', '32.0', 'Fri, 10 Apr 2009 12:14:46', '733507.51026031643')
(227, '32.0', '899.0', '32.0', 'Fri, 10 Apr 2009 12:15:16', '733507.51060753851')
(228, '32.0', '901.0', '32.0', 'Fri, 10 Apr 2009 12:15:46', '733507.51095471450')
(229, '32.0', '902.3', '32.0', 'Fri, 10 Apr 2009 12:16:16', '733507.51130207570')
(230, '32.0', '903.6', '32.0', 'Fri, 10 Apr 2009 12:16:46', '733507.51164929802')
(231, '32.0', '905.6', '32.0', 'Fri, 10 Apr 2009 12:17:16', '733507.51199647365')
(232, '32.0', '906.3', '32.0', 'Fri, 10 Apr 2009 12:17:46', '733507.51234364964')
(233, '32.0', '908.3', '32.0', 'Fri, 10 Apr 2009 12:18:16', '733507.51269087207')
(234, '32.0', '910.3', '32.0', 'Fri, 10 Apr 2009 12:18:46', '733507.51303804771')
(235, '32.0', '911.6', '32.0', 'Fri, 10 Apr 2009 12:19:16', '733507.51338527002')
(236, '32.0', '912.9', '32.0', 'Fri, 10 Apr 2009 12:19:46', '733507.51373263111')
(237, '32.0', '915.1', '32.0', 'Fri, 10 Apr 2009 12:20:16', '733507.51407980698')
(238, '32.0', '915.7', '32.0', 'Fri, 10 Apr 2009 12:20:46', '733507.51442702918')
(239, '32.0', '917.7', '32.0', 'Fri, 10 Apr 2009 12:21:16', '733507.51477420528')
(240, '32.0', '919.0', '32.0', 'Fri, 10 Apr 2009 12:21:46', '733507.51512138103')
(241, '32.0', '920.3', '32.0', 'Fri, 10 Apr 2009 12:22:16', '733507.51546860323')
(242, '32.0', '922.3', '32.0', 'Fri, 10 Apr 2009 12:22:46', '733507.51581596443')
(243, '32.0', '923.6', '32.0', 'Fri, 10 Apr 2009 12:23:16', '733507.51616314019')
(244, '32.0', '924.9', '32.0', 'Fri, 10 Apr 2009 12:23:46', '733507.51651036262')
(245, '32.0', '926.3', '32.0', 'Fri, 10 Apr 2009 12:24:16', '733507.51685753849')
(246, '32.0', '927.6', '32.0', 'Fri, 10 Apr 2009 12:24:46', '733507.51720476069')
(247, '32.0', '928.9', '32.0', 'Fri, 10 Apr 2009 12:25:16', '733507.51755193656')
(248, '32.0', '930.9', '32.0', 'Fri, 10 Apr 2009 12:25:46', '733507.51789929776')
(249, '32.0', '931.8', '32.0', 'Fri, 10 Apr 2009 12:26:16', '733507.51824651996')
(250, '32.0', '933.5', '32.0', 'Fri, 10 Apr 2009 12:26:46', '733507.51859369583')
(251, '32.0', '935.1', '32.0', 'Fri, 10 Apr 2009 12:27:16', '733507.51894087181')
(252, '32.0', '935.7', '32.0', 'Fri, 10 Apr 2009 12:27:46', '733507.51928809413')
(253, '32.0', '937.7', '32.0', 'Fri, 10 Apr 2009 12:28:16', '733507.51963527000')
(254, '32.0', '939.0', '32.0', 'Fri, 10 Apr 2009 12:28:46', '733507.51998263109')
(255, '32.0', '940.3', '32.0', 'Fri, 10 Apr 2009 12:29:16', '733507.52032985340')
(256, '32.0', '942.3', '32.0', 'Fri, 10 Apr 2009 12:29:46', '733507.52067702950')
(257, '32.0', '943.2', '32.0', 'Fri, 10 Apr 2009 12:30:16', '733507.52102425147')
(258, '32.0', '943.6', '32.0', 'Fri, 10 Apr 2009 12:30:46', '733507.52137142746')
(259, '32.0', '946.5', '32.0', 'Fri, 10 Apr 2009 12:31:16', '733507.52171860333')
(260, '32.0', '947.8', '32.0', 'Fri, 10 Apr 2009 12:31:46', '733507.52206601074')
(261, '32.0', '949.1', '32.0', 'Fri, 10 Apr 2009 12:32:16', '733507.52241318661')
(262, '32.0', '950.4', '32.0', 'Fri, 10 Apr 2009 12:32:46', '733507.52276036248')
(263, '32.0', '951.7', '32.0', 'Fri, 10 Apr 2009 12:33:16', '733507.52310758480')
(264, '32.0', '953.0', '32.0', 'Fri, 10 Apr 2009 12:33:46', '733507.52345476067')
(265, '32.0', '954.4', '32.0', 'Fri, 10 Apr 2009 12:34:16', '733507.52380193677')
(266, '32.0', '955.7', '32.0', 'Fri, 10 Apr 2009 12:34:46', '733507.52414911264')
(267, '32.0', '957.6', '32.0', 'Fri, 10 Apr 2009 12:35:16', '733507.52449652005')
(268, '32.0', '959.0', '32.0', 'Fri, 10 Apr 2009 12:35:46', '733507.52484369592')
(269, '32.0', '960.3', '32.0', 'Fri, 10 Apr 2009 12:36:16', '733507.52519091836')
(270, '32.0', '961.6', '32.0', 'Fri, 10 Apr 2009 12:36:46', '733507.52553809364')
(271, '32.0', '962.9', '32.0', 'Fri, 10 Apr 2009 12:37:16', '733507.52588526998')
(272, '32.0', '964.2', '32.0', 'Fri, 10 Apr 2009 12:37:46', '733507.52623249230')
(273, '32.0', '965.1', '32.0', 'Fri, 10 Apr 2009 12:38:16', '733507.52657985338')
(274, '32.0', '967.1', '32.0', 'Fri, 10 Apr 2009 12:38:46', '733507.52692702936')
(275, '32.0', '968.4', '32.0', 'Fri, 10 Apr 2009 12:39:16', '733507.52727425157')
