Log Date and Time Sun, 01 Aug 2010 15:01:39
Fields:Ambient KilnFront KilnBack Date Date2Num

(0, '32.0', '2168.2', '32.0', 'Sun, 01 Aug 2010 14:18:37', '733985.59626517654')
(46, '32.0', '2147.6', '32.0', 'Sun, 01 Aug 2010 14:41:37', '733985.61223913601')
(47, '32.0', '2139.2', '32.0', 'Sun, 01 Aug 2010 14:42:07', '733985.61258649686')
(48, '32.0', '2152.2', '32.0', 'Sun, 01 Aug 2010 14:42:37', '733985.61293367285')
(49, '32.0', '2160.6', '32.0', 'Sun, 01 Aug 2010 14:43:07', '733985.61328103393')
(50, '32.0', '2166.0', '32.0', 'Sun, 01 Aug 2010 14:43:37', '733985.61362820992')
(51, '32.0', '2158.0', '32.0', 'Sun, 01 Aug 2010 14:44:07', '733985.61397557124')
(52, '32.0', '2152.4', '32.0', 'Sun, 01 Aug 2010 14:44:37', '733985.61432274710')
(53, '32.0', '2157.5', '32.0', 'Sun, 01 Aug 2010 14:45:07', '733985.61467010819')
(54, '32.0', '2155.0', '32.0', 'Sun, 01 Aug 2010 14:45:37', '733985.61501728441')
(55, '32.0', '2125.7', '32.0', 'Sun, 01 Aug 2010 14:46:07', '733985.61536464537')
(56, '32.0', '2103.5', '32.0', 'Sun, 01 Aug 2010 14:46:37', '733985.61571200623')
(57, '32.0', '2101.7', '32.0', 'Sun, 01 Aug 2010 14:47:07', '733985.61605913599')
(58, '32.0', '2095.2', '32.0', 'Sun, 01 Aug 2010 14:47:37', '733985.61640649708')
(59, '32.0', '2084.1', '32.0', 'Sun, 01 Aug 2010 14:48:07', '733985.61675367318')
(60, '32.0', '2071.3', '32.0', 'Sun, 01 Aug 2010 14:48:37', '733985.61710103415')
(61, '32.0', '2059.5', '32.0', 'Sun, 01 Aug 2010 14:49:07', '733985.61744821013')
(62, '32.0', '2049.5', '32.0', 'Sun, 01 Aug 2010 14:49:37', '733985.61779557110')
(63, '32.0', '2040.1', '32.0', 'Sun, 01 Aug 2010 14:50:07', '733985.61814274709')
(64, '32.0', '2033.4', '32.0', 'Sun, 01 Aug 2010 14:50:37', '733985.61849010794')
(65, '32.0', '2024.7', '32.0', 'Sun, 01 Aug 2010 14:51:07', '733985.61883728404')
(66, '32.0', '2018.2', '32.0', 'Sun, 01 Aug 2010 14:51:37', '733985.61918464513')
(67, '32.0', '2012.8', '32.0', 'Sun, 01 Aug 2010 14:52:07', '733985.61953182099')
(68, '32.0', '2006.6', '32.0', 'Sun, 01 Aug 2010 14:52:37', '733985.61987918231')
(69, '32.0', '2001.6', '32.0', 'Sun, 01 Aug 2010 14:53:07', '733985.62022635830')
(70, '32.0', '1994.2', '32.0', 'Sun, 01 Aug 2010 14:53:37', '733985.62057371926')
(71, '32.0', '1987.8', '32.0', 'Sun, 01 Aug 2010 14:54:07', '733985.62092089525')
(72, '32.0', '1982.1', '32.0', 'Sun, 01 Aug 2010 14:54:37', '733985.62126825657')
(73, '32.0', '1973.3', '32.0', 'Sun, 01 Aug 2010 14:55:07', '733985.62161543220')
(74, '32.0', '1970.1', '32.0', 'Sun, 01 Aug 2010 14:55:37', '733985.62196274707')
(75, '32.0', '1963.9', '32.0', 'Sun, 01 Aug 2010 14:56:07', '733985.62230992294')
(76, '32.0', '1957.1', '32.0', 'Sun, 01 Aug 2010 14:56:37', '733985.62265728391')
(77, '32.0', '1952.2', '32.0', 'Sun, 01 Aug 2010 14:57:07', '733985.62300446013')
(78, '32.0', '1946.8', '32.0', 'Sun, 01 Aug 2010 14:57:37', '733985.62335182121')
(79, '32.0', '1942.1', '32.0', 'Sun, 01 Aug 2010 14:58:07', '733985.62369899708')
(80, '32.0', '1937.2', '32.0', 'Sun, 01 Aug 2010 14:58:37', '733985.62404635828')
(81, '32.0', '1932.6', '32.0', 'Sun, 01 Aug 2010 14:59:07', '733985.62439353392')
(82, '32.0', '1956.1', '32.0', 'Sun, 01 Aug 2010 14:59:37', '733985.62474089512')
(83, '32.0', '1952.2', '32.0', 'Sun, 01 Aug 2010 15:00:07', '733985.62508807110')
(84, '32.0', '1953.9', '32.0', 'Sun, 01 Aug 2010 15:00:37', '733985.62543543230')
(85, '32.0', '1958.1', '32.0', 'Sun, 01 Aug 2010 15:01:07', '733985.62578260829')
(86, '32.0', '1958.5', '32.0', 'Sun, 01 Aug 2010 15:01:37', '733985.62612996926')
